Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,C-NULL,10:05:00,103.7,Bottom-Long-Red-Green,-1.0174,102.64,106.34,10:20:00,102.645,Bottom-Upper-Red-Red,0,102.665,None,0.0,Bottom-Upper-Red-Red,0,-1,-1.0174,0
2022-10-04,C-PUT,10:40:00,110.1,Upper-Long-Green-Green,-0.73569,109.29,112.12,13:20:00,109.29,Long-Long-Red-Red,0,108.73,13:55:00,109.69,Long-Long-Green-Green,-0.88292,0,-1.6186,0
2022-10-05,CALL,12:50:00,109.71,Long-Long-Green-Green,1.4128,109.09,111.26,15:05:00,111.25999999999996,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,1.4128,1
2022-10-06,C-PUT,11:20:00,112.1373,Upper-Long-Red-Green,-0.60114,111.46,113.82,12:00:00,111.4632,Bottom-Long-Red-Red,0,111.1,13:20:00,112.26,Long-Long-Green-Green,-1.0441,0,-1.6452,0
2022-10-07,PUT,11:10:00,108.28,Bottom-Long-Green-Red,-0.046177,109,106.48,15:55:00,108.33,Bottom-Bottom-Red-Red,0,0.0,None,0.0,Bottom-Bottom-Red-Red,0,-1,-0.046177,0
2022-10-10,P-NULL,09:55:00,108.96,Bottom-Long-Red-Red,-1.5969,110.7,104.61,15:10:00,110.7,Long-Bottom-Green-Red,0,110.54,None,0.0,Long-Bottom-Green-Red,0,-1,-1.5969,0
2022-10-11,CALL,10:45:00,105.865,Long-Long-Green-Green,2.8456,104.66,108.88,12:25:00,108.8775,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,2.8456,1
2022-10-12,CALL,11:05:00,108.16,Bottom-Long-Red-Green,0.42761,107.79,108.62,11:10:00,108.62249999999999,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,0.42761,1
2022-10-13,CALL,10:40:00,107.7199,Long-Long-Green-Green,1.9145,106.89,109.78,11:15:00,109.78215,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,1.9145,1
2022-10-18,P-CALL,09:55:00,118.695,Upper-Long-Red-Red,-0.92253,119.79,115.96,10:10:00,119.79,Upper-Upper-Green-Green,0,119.75,10:20:00,119.12,Bottom-Long-Red-Red,-0.5261,0,-1.4486,0
