Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,CALL,09:50:00,279.92,Upper-Long-Red-Green,1.9506,277,287.22,15:55:00,285.38,Bottom-Upper-Green-Green,1,0.0,None,0.0,Bottom-Upper-Green-Green,0,-1,1.9506,1
2022-10-04,CALL,09:55:00,292.28,Upper-Long-Green-Green,0.7356,290.18,297.53,15:55:00,294.43,Bottom-Long-Red-Green,1,0.0,None,0.0,Bottom-Long-Red-Green,0,-1,0.7356,1
2022-10-05,CALL,11:30:00,291.48,Upper-Long-Green-Green,0.1844,291.05,292.02,12:00:00,292.01750000000004,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,0.1844,1
2022-10-06,PUT,10:00:00,300.12,Bottom-Long-Green-Red,0.41983,305.5,286.67,15:55:00,298.86,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,0.41983,1
2022-10-07,C-NULL,10:25:00,292.265,Bottom-Long-Green-Green,-0.55087,290.65,296.29,11:20:00,290.655,Upper-Long-Red-Red,0,290.46,None,0.0,Upper-Long-Red-Red,0,-1,-0.55087,0
2022-10-10,P-CALL,11:30:00,285.15,Bottom-Long-Green-Red,-0.37524,286.22,283.81,11:40:00,286.22,Long-Long-Green-Red,0,285.67,11:55:00,286.77000000000004,Upper-Long-Green-Green,0.38506,1,0.0098186,1
2022-10-12,C-NULL,10:20:00,286.73,Upper-Long-Red-Green,-0.35954,285.7,288.02,10:25:00,285.6991,Long-Upper-Green-Red,0,286.2499,None,0.0,Long-Upper-Green-Red,0,-1,-0.35954,0
2022-10-13,CALL,09:50:00,280.73,Bottom-Long-Red-Green,2.7127,277.68,288.35,11:10:00,288.3455,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,2.7127,1
2022-10-17,P-CALL,10:00:00,296.16,Upper-Long-Green-Red,-0.44908,297.49,294.5,10:15:00,297.49,Long-Long-Green-Green,0,297.85,10:25:00,296.0,Long-Long-Red-Red,-0.62112,0,-1.0702,0
2022-10-19,CALL,09:55:00,296.65,Bottom-Long-Red-Green,1.9046,294.39,302.3,10:30:00,302.29999999999995,Long-Upper-Green-Green,1,0.0,None,0.0,Long-Upper-Green-Green,0,-1,1.9046,1
