Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,P-NULL,09:55:00,113.2,Long-Long-Green-Red,-0.61837,113.9,111.45,10:05:00,113.9,Long-Long-Red-Green,0,113.6,None,0.0,Long-Long-Red-Green,0,-1,-0.61837,0
2022-10-04,CALL,09:50:00,121.0695,Long-Long-Red-Green,0.61896,120.47,121.82,10:00:00,121.81887500000002,Bottom-Long-Green-Green,1,0.0,None,0.0,Bottom-Long-Green-Green,0,-1,0.61896,1
2022-10-05,P-NULL,10:05:00,118.94,Long-Long-Green-Red,-0.78191,119.87,116.61,12:15:00,119.87,Long-Bottom-Green-Green,0,119.73,None,0.0,Long-Bottom-Green-Green,0,-1,-0.78191,0
2022-10-06,PUT,09:50:00,120.4,Bottom-Long-Red-Red,-0.098837,121.5,117.65,15:55:00,120.519,Long-Upper-Red-Green,0,0.0,None,0.0,Long-Upper-Red-Green,0,-1,-0.098837,0
2022-10-10,PUT,09:55:00,115.15,Bottom-Long-Green-Red,0.9987,116.25,112.4,15:55:00,114.0,Long-Upper-Green-Green,1,0.0,None,0.0,Long-Upper-Green-Green,0,-1,0.9987,1
2022-10-11,PUT,14:55:00,112.685,Long-Long-Red-Red,0.51915,113.56,110.5,15:55:00,112.1,Long-Upper-Green-Red,1,0.0,None,0.0,Long-Upper-Green-Red,0,-1,0.51915,1
2022-10-12,P-CALL,10:10:00,112.38,Long-Long-Red-Red,-0.63179,113.09,110.6,12:00:00,113.09,Long-Upper-Green-Green,0,113.055,12:30:00,112.72,Long-Long-Red-Red,-0.29632,0,-0.9281,0
2022-10-13,CALL,09:50:00,107.61,Long-Long-Green-Green,5.2621,105.34,113.27,11:40:00,113.27250000000001,Bottom-Long-Red-Green,1,0.0,None,0.0,Bottom-Long-Red-Green,0,-1,5.2621,1
2022-10-17,P-CALL,11:20:00,112.04,Long-Long-Green-Red,-0.50875,112.61,110.62,11:30:00,112.61,Long-Long-Green-Green,0,112.94,15:55:00,113.9,Long-Bottom-Green-Red,1.6601,1,1.1514,1
2022-10-18,PUT,12:50:00,116.465,Bottom-Long-Green-Red,0.50981,116.94,115.87,13:05:00,115.87125,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,0.50981,1
2022-10-19,CALL,09:55:00,114.35,Long-Long-Red-Green,0.5247,113.22,117.17,15:55:00,114.95,Upper-Long-Green-Green,1,0.0,None,0.0,Upper-Long-Green-Green,0,-1,0.5247,1
2022-10-21,CALL,09:55:00,116.25,Bottom-Long-Red-Green,2.6452,115.02,119.33,15:30:00,119.32500000000002,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,2.6452,1
