Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,CALL,09:50:00,122.561,Upper-Long-Green-Green,2.7652,122.56,131.81,15:55:00,125.95,Upper-Long-Green-Red,1,0.0,None,0.0,Upper-Long-Green-Red,0,-1,2.7652,1
2022-10-04,C-NULL,09:50:00,130.8001,Upper-Long-Red-Green,0,130.8,135.9,10:25:00,130.8001,Long-Upper-Red-Green,0,131.31,None,0.0,Long-Upper-Red-Green,0,-1,0,0
2022-10-05,CALL,11:20:00,129.6799,Long-Long-Green-Green,2.1207,129.68,133.82,15:55:00,132.43,Bottom-Long-Red-Red,1,0.0,None,0.0,Bottom-Long-Red-Red,0,-1,2.1207,1
2022-10-06,PUT,09:50:00,132.2169,Long-Long-Green-Red,-0.070415,133.31,125.66,15:55:00,132.31,Long-Long-Green-Red,0,0.0,None,0.0,Long-Long-Green-Red,0,-1,-0.070415,0
2022-10-07,P-NULL,11:20:00,129.1,Long-Long-Red-Red,-0.51898,129.77,125.08,15:55:00,129.77,Bottom-Bottom-Red-Green,0,129.36,None,0.0,Bottom-Bottom-Red-Green,0,-1,-0.51898,0
2022-10-11,C-PUT,14:30:00,132.68,Long-Long-Green-Green,-0.3467,132.22,134.06,14:50:00,132.22,Long-Long-Red-Red,0,131.68,15:55:00,131.3588,Long-Upper-Green-Red,0.99578,1,0.64908,1
2022-10-12,P-CALL,09:55:00,129.6154,Long-Bottom-Red-Red,-0.96794,130.87,122.09,10:05:00,130.87,Long-Long-Green-Red,0,130.35,10:10:00,129.62,Long-Long-Red-Red,-0.56003,0,-1.528,0
2022-10-13,CALL,09:50:00,127.39,Long-Long-Green-Green,4.4923,127.39,146.71,15:55:00,133.1128,Upper-Upper-Green-Green,1,0.0,None,0.0,Upper-Upper-Green-Green,0,-1,4.4923,1
2022-10-14,C-PUT,12:45:00,133.73,Long-Long-Green-Green,-0.673,132.83,139.13,13:05:00,132.83,Upper-Long-Red-Green,0,133.22,13:10:00,133.67000000000002,Long-Upper-Green-Red,-0.33779,1,-1.0108,0
2022-10-17,C-NULL,10:25:00,135.6799,Long-Long-Green-Green,-1.0834,134.21,144.5,11:00:00,134.21,Long-Upper-Red-Red,0,134.3092,None,0.0,Long-Upper-Red-Red,0,-1,-1.0834,0
2022-10-18,PUT,13:05:00,136.95,Long-Long-Red-Red,-0.29208,137.8,131.85,15:55:00,137.35,Upper-Upper-Green-Green,0,0.0,None,0.0,Upper-Upper-Green-Green,0,-1,-0.29208,0
2022-10-19,C-PUT,09:55:00,138.46,Long-Long-Red-Green,0,138.46,145.12,13:05:00,138.46,Upper-Long-Red-Red,0,138.5016,15:55:00,138.27,Upper-Long-Red-Green,0.13722,1,0.13722,1
2022-10-21,P-CALL,10:35:00,138.54,Long-Bottom-Red-Red,-0.49877,139.23,136.47,11:35:00,139.231,Long-Long-Green-Green,0,139.3559,15:55:00,141.1299,Upper-Upper-Red-Green,1.8694,1,1.3707,1
2022-10-25,CALL,10:20:00,144.3,Long-Long-Red-Green,1.4761,144.3,146.43,12:15:00,146.43000000000004,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,1.4761,1
2022-10-27,C-PUT,13:10:00,141.54,Upper-Long-Red-Green,-0.80543,140.4,148.38,14:00:00,140.4,Long-Long-Red-Red,0,140.43,15:55:00,139.74,Upper-Long-Green-Red,1.2717,1,0.4663,1
2022-10-28,P-CALL,09:50:00,142.09,Long-Long-Red-Red,-1.7378,144.56,127.27,13:25:00,144.5592,Upper-Long-Green-Green,0,144.64,14:30:00,144.13,Bottom-Long-Green-Red,-0.3526,0,-2.0904,0
2022-11-01,PUT,10:00:00,143.79,Bottom-Bottom-Red-Red,1.1266,144.33,142.17,10:15:00,142.16999999999993,Bottom-Long-Green-Red,1,0.0,None,0.0,Bottom-Long-Green-Red,0,-1,1.1266,1
2022-11-02,P-CALL,09:55:00,142.24,Bottom-Long-Red-Red,-0.52025,142.24,137.8,10:05:00,142.98,Upper-Long-Green-Green,0,143.2701,11:25:00,151.61070000000012,Long-Long-Green-Green,5.8216,1,5.3013,1
2022-11-03,P-CALL,09:50:00,149.4938,Bottom-Long-Green-Red,-1.4691,151.69,136.32,10:20:00,151.69,Long-Long-Green-Green,0,152.01,15:55:00,157.015,Long-Upper-Red-Red,5.0311,1,3.562,1
2022-11-04,P-CALL,09:50:00,157.86,Long-Bottom-Red-Red,-1.2036,159.76,146.46,10:15:00,159.76,Long-Long-Green-Green,0,159.982,11:40:00,158.38,Long-Long-Green-Red,-1.0014,0,-2.205,0
2022-11-07,CALL,10:00:00,163.1089,Upper-Long-Green-Green,1.3985,163.11,171.5,15:55:00,165.39,Upper-Long-Red-Red,1,0.0,None,0.0,Upper-Long-Red-Red,0,-1,1.3985,1
2022-11-08,P-CALL,09:50:00,165.61,Bottom-Long-Green-Red,-0.64006,166.67,159.25,09:55:00,166.67,Long-Long-Red-Green,0,166.86,10:05:00,165.61,Long-Long-Red-Red,-0.74913,0,-1.3892,0
2022-11-09,CALL,10:05:00,169.17,Long-Long-Green-Green,-0.54679,167.1,181.59,15:55:00,168.245,Bottom-Bottom-Green-Red,0,0.0,None,0.0,Bottom-Bottom-Green-Red,0,-1,-0.54679,0
2022-11-10,P-NULL,09:50:00,174.05,Long-Long-Red-Red,-0.99397,175.78,163.67,10:05:00,175.78,Long-Long-Green-Green,0,176.19,None,0.0,Long-Long-Green-Green,0,-1,-0.99397,0
2022-11-11,C-PUT,10:25:00,175.8201,Long-Long-Green-Green,-0.83955,174.34,184.68,11:10:00,174.344,Upper-Long-Red-Red,0,173.79,11:45:00,175.05,Upper-Bottom-Green-Green,-0.72501,0,-1.5646,0
2022-11-14,C-PUT,10:10:00,177.0385,Long-Long-Green-Green,-0.51311,176.13,182.49,10:35:00,176.1301,Long-Long-Red-Red,0,176.13,11:40:00,177.1,Long-Bottom-Green-Green,-0.55073,0,-1.0638,0
2022-11-15,PUT,10:10:00,174.76,Bottom-Long-Green-Red,-0.32044,176.06,166.96,15:55:00,175.32,Long-Upper-Red-Red,0,0.0,None,0.0,Long-Upper-Red-Red,0,-1,-0.32044,0
2022-11-16,P-NULL,09:50:00,173.08,Long-Long-Green-Red,-0.71643,174.32,165.64,10:15:00,174.32,Upper-Bottom-Green-Green,0,174.185,None,0.0,Upper-Bottom-Green-Green,0,-1,-0.71643,0
2022-11-17,P-CALL,10:00:00,170.305,Long-Long-Green-Red,-0.68994,171.48,163.26,11:45:00,171.48,Long-Long-Green-Red,0,170.9,11:50:00,170.51000000000002,Long-Bottom-Red-Red,-0.2282,1,-0.91814,0
2022-11-18,P-NULL,11:40:00,173.15,Bottom-Long-Red-Red,-0.32914,173.15,171.44,14:10:00,173.7199,Long-Long-Green-Green,0,174.05,None,0.0,Long-Long-Green-Green,0,-1,-0.32914,0
2022-11-21,PUT,10:00:00,173.74,Long-Long-Green-Red,0.34534,174.72,167.86,15:55:00,173.14,Long-Upper-Green-Green,1,0.0,None,0.0,Long-Upper-Green-Green,0,-1,0.34534,1
2022-11-23,P-CALL,09:55:00,172.85,Bottom-Long-Red-Red,-0.4917,172.85,170.3,10:15:00,173.6999,Long-Long-Green-Green,0,173.94,15:55:00,174.765,Upper-Bottom-Red-Red,1.1079,1,0.6162,1
2022-11-29,C-PUT,10:10:00,173.9,Long-Long-Green-Green,0,173.9,176,11:05:00,173.9,Long-Long-Red-Red,0,173.8,12:45:00,174.72,Long-Bottom-Green-Red,-0.52934,0,-0.52934,0
2022-12-01,PUT,12:05:00,176.47,Bottom-Long-Green-Red,0.40517,177.11,174.55,15:55:00,175.755,Long-Bottom-Red-Red,1,0.0,None,0.0,Long-Bottom-Red-Red,0,-1,0.40517,1
2022-12-02,CALL,09:50:00,174.115,Upper-Long-Green-Green,4.3592,174.12,181.71,12:25:00,181.7050000000001,Upper-Bottom-Green-Green,1,0.0,None,0.0,Upper-Bottom-Green-Green,0,-1,4.3592,1
