Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,P-CALL,10:30:00,65.6067555,Bottom-Long-Red-Red,-0.29523,65.8,65.026,10:50:00,65.800449,Long-Long-Green-Green,0,65.837343,11:05:00,65.505297,Long-Long-Red-Red,-0.50434,0,-0.79958,0
2022-10-04,CALL,11:05:00,65.80506075,Long-Long-Green-Green,-0.22426,65.381,68.351,15:55:00,65.65748475,Long-Bottom-Red-Red,0,0.0,None,0.0,Long-Bottom-Red-Red,0,-1,-0.22426,0
2022-10-05,P-CALL,09:50:00,65.43612075,Bottom-Long-Green-Red,-0.27486,65.616,64.897,12:30:00,65.615979,Upper-Long-Green-Green,0,65.615979,15:55:00,65.86040175,Upper-Long-Red-Red,0.64839,1,0.37353,1
2022-10-06,PUT,09:50:00,65.5670535,Bottom-Bottom-Green-Red,0.76541,65.734,65.065,11:05:00,65.06519370000001,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,0.76541,1
2022-10-07,C-PUT,10:25:00,65.06054685,Long-Long-Green-Green,0,65.061,65.758,14:25:00,65.06054685,Long-Long-Red-Red,0,65.01407835,15:30:00,64.51221855000001,Bottom-Upper-Red-Green,0.77192,1,0.77192,1
2022-10-10,PUT,10:00:00,64.12653,Long-Long-Green-Red,0.95652,64.331,63.513,13:30:00,63.513145800000004,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,0.95652,1
2022-10-12,C-PUT,10:35:00,65.3997669,Upper-Long-Red-Green,-0.38369,65.149,66.153,11:25:00,65.148837,Bottom-Long-Green-Red,0,65.1302496,13:35:00,64.62838980000001,Long-Long-Red-Red,0.77055,1,0.38686,1
2022-10-13,P-CALL,09:50:00,63.9871245,Bottom-Long-Red-Red,-0.79884,64.498,60.92,10:35:00,64.498278,Long-Long-Green-Green,0,64.54009965,15:55:00,65.82263025,Bottom-Upper-Green-Green,2.8686,1,2.0697,1
2022-10-14,PUT,10:00:00,66.30590265,Bottom-Bottom-Red-Red,0.98816,66.524,65.651,11:55:00,65.65069679999999,Upper-Long-Red-Red,1,0.0,None,0.0,Upper-Long-Red-Red,0,-1,0.98816,1
2022-10-17,P-NULL,09:55:00,66.1804377,Long-Long-Green-Red,-0.35107,66.413,65.483,10:20:00,66.4127802,Long-Bottom-Green-Green,0,66.42672075,None,0.0,Long-Bottom-Green-Green,0,-1,-0.35107,0
2022-10-18,PUT,11:30:00,66.92858055,Long-Long-Red-Red,0.44435,67.351,64.391,15:55:00,66.63118215,Long-Bottom-Red-Red,1,0.0,None,0.0,Long-Bottom-Red-Red,0,-1,0.44435,1
2022-10-19,C-PUT,10:50:00,66.22225935,Upper-Long-Red-Green,-0.42804,65.939,67.073,12:10:00,65.9388015,Long-Long-Red-Red,0,65.892333,13:30:00,66.06426645,Long-Long-Green-Green,-0.26093,0,-0.68897,0
2022-10-20,C-PUT,10:10:00,65.91556725,Upper-Long-Green-Green,-0.59217,65.525,68.258,12:05:00,65.52523185,Long-Long-Red-Red,0,65.4741165,15:55:00,65.334711,Long-Bottom-Green-Red,0.88121,1,0.28904,1
2022-10-24,P-CALL,11:20:00,67.7603667,Bottom-Long-Green-Red,-0.2606,67.937,67.231,11:50:00,67.936947,Long-Long-Green-Green,0,67.9648281,14:20:00,67.7696604,Long-Long-Red-Red,-0.28716,0,-0.54776,0
2022-10-25,CALL,09:55:00,67.5930801,Upper-Long-Red-Green,0,67.193,69.991,15:55:00,67.5930801,Long-Long-Red-Red,0,0.0,None,0.0,Long-Long-Red-Red,0,-1,0,0
2022-10-26,CALL,09:50:00,68.123843307,Upper-Long-Green-Green,1.5878,68.124,71.476,15:55:00,69.20553705,Upper-Bottom-Green-Red,1,0.0,None,0.0,Upper-Bottom-Green-Red,0,-1,1.5878,1
2022-10-28,CALL,09:50:00,70.0280295,Long-Long-Red-Green,0.97545,70.028,70.711,10:30:00,70.71111645,Long-Bottom-Red-Red,1,0.0,None,0.0,Long-Bottom-Red-Red,0,-1,0.97545,1
2022-11-01,P-NULL,10:20:00,71.7194829,Long-Bottom-Green-Red,-0.10367,71.794,71.496,10:25:00,71.7938325,Bottom-Bottom-Red-Green,0,71.77989195,None,0.0,Bottom-Bottom-Red-Green,0,-1,-0.10367,0
2022-11-02,C-NULL,09:50:00,72.3328671,Upper-Long-Green-Green,0,72.333,75.679,14:40:00,72.3328671,Long-Upper-Red-Red,0,72.6209718,None,0.0,Long-Upper-Red-Red,0,-1,0,0
2022-11-03,P-CALL,09:55:00,72.0726435,Long-Long-Green-Red,-0.54159,72.463,69.731,10:05:00,72.4629789,Bottom-Long-Red-Green,0,72.4350978,15:55:00,72.90442965,Upper-Long-Green-Red,1.1541,1,0.61251,1
2022-11-04,P-NULL,09:55:00,72.6860277,Long-Long-Green-Red,-0.44751,72.686,71.71,10:05:00,73.0113072,Long-Long-Green-Green,0,73.1228316,None,0.0,Long-Long-Green-Green,0,-1,-0.44751,0
2022-11-07,C-PUT,12:20:00,73.6711599,Upper-Long-Red-Green,-0.20184,73.522,74.117,12:45:00,73.5224607,Long-Long-Red-Red,0,73.48993275,14:25:00,73.6339851,Long-Long-Green-Green,-0.19602,0,-0.39786,0
2022-11-08,C-PUT,12:30:00,74.463261951,Long-Long-Red-Green,0,74.463,74.86,13:30:00,74.463261951,Long-Long-Red-Red,0,74.4053622,15:30:00,74.63305785,Upper-Long-Red-Green,-0.30602,0,-0.30602,0
2022-11-09,PUT,13:35:00,74.9536905,Long-Long-Red-Red,0.81835,75.158,74.34,15:40:00,74.3403063,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,0.81835,1
2022-11-10,C-NULL,09:55:00,74.507964648,Long-Long-Red-Green,-0.44331,74.178,75.499,10:40:00,74.17766655,Long-Long-Red-Red,0,74.1358449,None,0.0,Long-Long-Red-Red,0,-1,-0.44331,0
2022-11-11,PUT,12:55:00,70.36910829,Bottom-Long-Red-Red,-0.28791,70.641,69.552,15:55:00,70.57171095,Long-Long-Green-Green,0,0.0,None,0.0,Long-Long-Green-Green,0,-1,-0.28791,0
2022-11-14,C-PUT,09:55:00,71.6451333,Long-Long-Red-Green,-0.53185,71.264,73.931,10:05:00,71.2640916,Upper-Long-Red-Red,0,71.3384412,10:25:00,71.6730144,Long-Long-Green-Green,-0.46899,0,-1.0008,0
2022-11-15,PUT,09:50:00,70.8551688,Bottom-Long-Red-Red,0.14428,71.348,67.9,15:55:00,70.7529381,Upper-Long-Red-Red,1,0.0,None,0.0,Upper-Long-Red-Red,0,-1,0.14428,1
2022-11-16,C-PUT,09:50:00,72.0540561,Long-Long-Red-Green,-0.42564,71.747,72.974,10:00:00,71.747364,Long-Long-Red-Red,0,71.7752451,13:35:00,70.72970385000002,Long-Long-Red-Red,1.4567,1,1.031,1
2022-11-17,P-CALL,11:20:00,71.4499656,Long-Long-Red-Red,-0.5333,71.831,69.164,12:05:00,71.8310073,Long-Long-Green-Green,0,71.840301,15:55:00,71.5986648,Long-Long-Green-Red,0.20812,1,-0.32518,0
2022-11-23,P-CALL,09:55:00,73.1135379,Bottom-Long-Green-Red,-0.38134,73.392,72.277,11:10:00,73.3923489,Long-Long-Green-Green,0,73.429430763,12:00:00,73.2901182,Long-Long-Red-Green,-0.18972,0,-0.57106,0
2022-11-28,CALL,10:30:00,73.6897473,Upper-Long-Green-Green,-0.22701,73.388,74.596,15:55:00,73.5224607,Long-Upper-Red-Green,0,0.0,None,0.0,Long-Upper-Red-Green,0,-1,-0.22701,0
2022-11-29,P-NULL,11:10:00,73.12747845,Bottom-Long-Red-Red,-0.19699,73.272,72.695,13:25:00,73.2715308,Long-Long-Green-Green,0,73.2994119,None,0.0,Long-Long-Green-Green,0,-1,-0.19699,0
