Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-05,P-CALL,10:05:00,170.7312595,Bottom-Long-Green-Red,-0.73772,171.99,163.17,12:10:00,171.9907721,Long-Long-Red-Green,0,171.94702567,15:55:00,171.8417458,Long-Long-Red-Red,0.65043,1,-0.087287,0
2022-10-06,P-CALL,10:30:00,172.3993926,Long-Long-Green-Red,-0.28164,172.88,170.94,10:45:00,172.8849299,Long-Long-Green-Green,0,172.822435,12:05:00,172.0196159,Long-Bottom-Red-Red,-0.46453,0,-0.74617,0
2022-10-07,CALL,10:45:00,170.4476288,Upper-Long-Green-Green,0.039486,169.37,176.9,15:55:00,170.514931,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,0.039486,1
2022-10-10,PUT,09:55:00,173.0003051,Long-Long-Green-Red,0.23064,174,167.03,15:55:00,172.6012992,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,0.23064,1
2022-10-11,P-CALL,10:00:00,170.8418274,Long-Bottom-Red-Red,-0.66971,171.99,163.98,10:30:00,171.9859648,Upper-Long-Green-Green,0,172.1301838,15:55:00,172.774362,Upper-Upper-Green-Red,1.1312,1,0.46148,1
2022-10-12,C-PUT,10:30:00,173.2262482,Upper-Long-Red-Green,-0.37187,172.58,175.16,10:45:00,172.58207,Long-Long-Red-Red,0,172.51236415,11:20:00,173.4569986,Bottom-Bottom-Green-Green,-0.54757,0,-0.91945,0
2022-10-13,CALL,09:50:00,168.0391715,Long-Long-Red-Green,4.975,168.04,179.98,15:55:00,176.3990662,Bottom-Upper-Green-Green,1,0.0,None,0.0,Bottom-Upper-Green-Green,0,-1,4.975,1
2022-10-17,C-NULL,12:35:00,174.2742396,Long-Long-Green-Green,-0.4248,173.53,176.5,12:50:00,173.5339154,Long-Upper-Red-Red,0,173.783895,None,0.0,Long-Upper-Red-Red,0,-1,-0.4248,0
2022-10-18,C-PUT,10:05:00,177.5047452,Long-Long-Green-Green,-0.77727,176.13,185.78,10:20:00,176.1250501,Long-Long-Red-Red,0,176.187545,15:55:00,176.3990662,Long-Upper-Red-Green,0.6229,1,-0.15437,0
2022-10-19,P-NULL,09:50:00,175.8221902,Long-Long-Red-Red,-1.0581,177.68,164.66,10:25:00,177.6826153,Bottom-Bottom-Red-Green,0,177.1345831,None,0.0,Bottom-Bottom-Red-Green,0,-1,-1.0581,0
2022-10-24,CALL,10:35:00,184.8089166,Long-Long-Green-Green,0.078559,182.47,198.86,15:55:00,184.9541001,Long-Bottom-Red-Red,1,0.0,None,0.0,Long-Bottom-Red-Red,0,-1,0.078559,1
2022-10-26,P-CALL,13:00:00,190.5968988,Long-Long-Red-Red,-0.33516,191.24,188.68,13:45:00,191.2357062,Long-Long-Green-Green,0,191.25022455,14:30:00,190.577541,Long-Long-Red-Red,-0.35173,0,-0.68689,0
2022-10-27,C-PUT,12:05:00,207.0219921,Upper-Long-Red-Green,-0.75226,205.46,216.37,12:45:00,205.46465709,Long-Long-Red-Red,0,205.483047,12:55:00,206.4219003,Long-Long-Green-Green,-0.4569,0,-1.2092,0
2022-10-28,P-CALL,10:45:00,208.483506,Long-Long-Red-Red,-0.47354,209.47,205.52,10:55:00,209.4707538,Upper-Long-Green-Green,0,209.6546529,15:55:00,212.2873137,Bottom-Long-Green-Green,1.8245,1,1.351,1
2022-11-01,C-PUT,10:25:00,212.0840568,Long-Long-Red-Green,-0.22362,211.61,213.51,10:35:00,211.6097907,Upper-Long-Green-Red,0,211.6291485,11:25:00,209.77254190200006,Long-Bottom-Red-Green,0.87729,1,0.65367,1
2022-11-02,C-PUT,10:05:00,210.9516255,Upper-Long-Green-Green,0,210.95,219.26,14:55:00,210.9516255,Long-Long-Red-Red,0,209.74660245,15:55:00,207.198632025,Upper-Long-Green-Red,1.7791,1,1.7791,1
2022-11-03,CALL,10:05:00,207.3801114,Long-Long-Red-Green,2.4713,207.38,216.47,15:55:00,212.50508895,Bottom-Long-Red-Red,1,0.0,None,0.0,Bottom-Long-Red-Red,0,-1,2.4713,1
2022-11-04,P-NULL,11:30:00,219.71103,Bottom-Long-Green-Red,-0.56828,220.96,212.22,15:50:00,220.9596081,Long-Bottom-Green-Red,0,220.5434154,None,0.0,Long-Bottom-Green-Red,0,-1,-0.56828,0
2022-11-09,C-PUT,10:50:00,221.2886907,Upper-Long-Green-Green,-0.59047,219.98,229.13,11:25:00,219.9820392,Bottom-Long-Green-Red,0,219.7884612,11:45:00,220.969287,Long-Long-Green-Green,-0.53726,0,-1.1277,0
2022-11-10,P-NULL,09:50:00,221.8307091,Long-Long-Red-Red,-1.0952,224.26,207.25,11:45:00,224.260113,Upper-Bottom-Green-Red,0,223.9794249,None,0.0,Upper-Bottom-Green-Red,0,-1,-1.0952,0
2022-11-11,C-NULL,11:20:00,228.7704804,Long-Long-Red-Green,-0.32154,228.03,230.98,11:25:00,228.034884,Long-Long-Green-Red,0,227.9187372,None,0.0,Long-Long-Green-Red,0,-1,-0.32154,0
2022-11-14,CALL,10:00:00,228.9156639,Upper-Long-Red-Green,1.2684,228.92,231.82,12:55:00,231.81933390000003,Upper-Bottom-Green-Green,1,0.0,None,0.0,Upper-Bottom-Green-Green,0,-1,1.2684,1
2022-11-15,PUT,10:10:00,230.164242,Bottom-Long-Red-Red,1.1606,231.05,227.49,11:30:00,227.4928656,Bottom-Long-Green-Red,1,0.0,None,0.0,Bottom-Long-Green-Red,0,-1,1.1606,1
2022-11-16,PUT,10:35:00,225.6538746,Bottom-Long-Red-Red,0.45895,226.51,223.1,15:55:00,224.6182323,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,0.45895,1
2022-11-17,P-CALL,09:55:00,220.2820851,Long-Long-Green-Red,-0.56241,221.52,212.85,13:15:00,221.5209843,Long-Long-Green-Green,0,221.5306632,15:20:00,221.5306632,Long-Long-Red-Red,0,0,-0.56241,0
2022-11-21,P-CALL,12:00:00,221.5209843,Long-Long-Green-Red,-0.37576,221.52,219.02,12:05:00,222.3533697,Long-Long-Red-Green,0,222.7502046,15:55:00,224.7924525,Long-Bottom-Green-Green,1.4768,1,1.1011,1
2022-11-22,CALL,12:35:00,228.07843905,Long-Long-Red-Green,0.3883,228.08,228.96,15:10:00,228.96405839999997,Long-Bottom-Green-Green,1,0.0,None,0.0,Long-Bottom-Green-Green,0,-1,0.3883,1
2022-11-23,PUT,09:50:00,230.744976,Bottom-Long-Red-Red,0.53062,231.94,223.6,15:55:00,229.52059515,Long-Bottom-Red-Red,1,0.0,None,0.0,Long-Bottom-Red-Red,0,-1,0.53062,1
2022-11-28,C-PUT,09:50:00,226.6411224,Upper-Long-Red-Green,-0.49539,225.52,230.01,14:00:00,225.51837,Long-Long-Red-Red,0,225.14573235,15:55:00,224.7247002,Long-Long-Red-Green,0.84558,1,0.35019,1
2022-11-29,C-NULL,10:30:00,226.44270495,Upper-Long-Red-Green,-0.23693,225.91,228.05,11:10:00,225.906203523,Bottom-Long-Red-Red,0,225.67807185,None,0.0,Bottom-Long-Red-Red,0,-1,-0.23693,0
2022-12-01,P-CALL,10:05:00,227.0863518,Long-Long-Green-Red,-0.52425,228.28,219.94,14:40:00,228.2768565,Upper-Long-Green-Green,0,228.3446088,15:50:00,228.0252051,Long-Long-Green-Red,-0.13988,0,-0.66413,0
2022-12-02,C-NULL,11:40:00,228.8575905,Long-Long-Red-Green,-0.31715,228.13,231.04,12:50:00,228.131769789,Long-Upper-Red-Red,0,228.2768565,None,0.0,Long-Upper-Red-Red,0,-1,-0.31715,0
2022-12-05,P-CALL,11:10:00,227.260572,Bottom-Long-Red-Red,-0.085179,227.26,226.68,11:15:00,227.45415,Long-Long-Red-Green,0,227.5606179,11:20:00,227.2024986,Long-Long-Green-Red,-0.15737,0,-0.24255,0
2022-12-07,P-CALL,09:50:00,219.227085,Long-Long-Green-Red,-0.45033,220.21,216.27,10:05:00,220.2143328,Bottom-Long-Red-Green,0,220.3014429,10:15:00,219.68683275,Bottom-Upper-Red-Red,-0.27899,0,-0.72932,0
2022-12-12,CALL,10:00:00,220.582131,Upper-Long-Green-Green,1.1584,220.58,223.14,14:25:00,223.13736060000005,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,1.1584,1
