Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-04,P-CALL,10:00:00,104.004372,Long-Long-Red-Red,-0.60531,104.63,100.23,10:15:00,104.633916,Upper-Upper-Green-Green,0,104.532078,15:55:00,107.19838200000001,Long-Long-Green-Green,2.5507,1,1.9454,1
2022-10-05,CALL,10:45:00,107.235414,Long-Long-Green-Green,0.19857,107.24,111.51,15:55:00,107.448348,Upper-Long-Green-Red,1,0.0,None,0.0,Upper-Long-Green-Red,0,-1,0.19857,1
2022-10-06,C-PUT,11:20:00,108.485244,Long-Long-Red-Green,-0.28162,108.18,109.4,12:00:00,108.17973,Bottom-Long-Green-Red,0,107.976054,12:45:00,108.753726,Upper-Long-Red-Green,-0.72023,0,-1.0018,0
2022-10-07,P-NULL,09:50:00,110.35536,Long-Bottom-Red-Red,-0.58725,111,106.47,10:35:00,111.00342,Long-Bottom-Green-Red,0,110.8960272,None,0.0,Long-Bottom-Green-Red,0,-1,-0.58725,0
2022-10-10,PUT,09:55:00,109.355496,Bottom-Long-Red-Red,0.8466,111.5,96.468,15:55:00,108.429696,Long-Bottom-Green-Red,1,0.0,None,0.0,Long-Bottom-Green-Red,0,-1,0.8466,1
2022-10-12,CALL,10:35:00,106.587354,Long-Long-Green-Green,1.0944,106.59,111.86,15:55:00,107.753862,Long-Upper-Red-Red,1,0.0,None,0.0,Long-Upper-Red-Red,0,-1,1.0944,1
2022-10-14,P-NULL,12:10:00,109.93875,Long-Long-Green-Red,-0.80421,110.82,104.63,12:45:00,110.822889,Long-Bottom-Green-Red,0,110.707164,None,0.0,Long-Bottom-Green-Red,0,-1,-0.80421,0
2022-10-17,PUT,10:40:00,111.123774,Bottom-Bottom-Red-Red,1.3497,111.62,109.62,14:15:00,109.623978,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,1.3497,1
2022-10-18,C-PUT,12:40:00,108.934257,Long-Long-Green-Green,0,108.93,113.29,14:10:00,108.934257,Bottom-Long-Red-Red,0,108.994434,14:50:00,108.02234399999998,Long-Upper-Red-Green,0.89187,1,0.89187,1
2022-10-19,P-CALL,10:05:00,110.100765,Long-Long-Green-Red,-0.4666,110.61,108.56,10:15:00,110.61449142,Long-Upper-Green-Green,0,110.734938,15:55:00,111.8995944,Upper-Bottom-Green-Green,1.6338,1,1.1672,1
2022-10-20,CALL,09:55:00,113.470677,Long-Long-Red-Green,0.94236,113.47,114.54,10:20:00,114.53997599999998,Bottom-Long-Green-Green,1,0.0,None,0.0,Bottom-Long-Green-Green,0,-1,0.94236,1
2022-10-21,C-PUT,10:05:00,114.19743,Long-Long-Red-Green,-0.36887,113.78,115.46,10:25:00,113.776191,Long-Bottom-Red-Red,0,113.660466,11:45:00,114.271494,Long-Long-Red-Green,-0.53759,0,-0.90646,0
2022-10-24,C-PUT,11:50:00,116.09532,Long-Long-Red-Green,-0.311,115.73,117.18,15:50:00,115.734258,Long-Long-Red-Red,0,115.669452,15:55:00,115.613904,Long-Bottom-Red-Red,0.41467,1,0.10367,1
2022-10-25,PUT,11:30:00,115.317648,Bottom-Long-Red-Red,0.47768,115.87,113.65,15:55:00,114.766797,Upper-Bottom-Red-Red,1,0.0,None,0.0,Upper-Bottom-Red-Red,0,-1,0.47768,1
2022-10-26,PUT,13:30:00,117.363666,Bottom-Long-Red-Red,0.25243,118.07,113.11,15:55:00,117.06741,Bottom-Upper-Red-Red,1,0.0,None,0.0,Bottom-Upper-Red-Red,0,-1,0.25243,1
