Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,P-NULL,11:00:00,455.9936403,Long-Long-Red-Red,-0.40073,457.82,450.51,11:15:00,457.82093195,Long-Long-Green-Green,0,457.8450387,None,0.0,Long-Long-Green-Green,0,-1,-0.40073,0
2022-10-04,C-PUT,10:00:00,468.48575815,Long-Long-Red-Green,-0.38387,466.69,473.88,11:50:00,466.6873946,Bottom-Long-Green-Red,0,466.494733454,12:20:00,467.8734467,Long-Long-Green-Green,-0.29555,0,-0.67941,0
2022-10-05,P-CALL,11:50:00,460.535352,Long-Long-Red-Red,-0.24079,461.64,457.21,12:10:00,461.6442625,Upper-Long-Red-Green,0,461.3839096,15:55:00,462.7821011,Upper-Long-Red-Red,0.48786,1,0.24707,1
2022-10-06,PUT,12:00:00,471.1230366,Bottom-Long-Red-Red,1.0971,473.98,454,15:55:00,465.9545494,Bottom-Upper-Green-Green,1,0.0,None,0.0,Bottom-Upper-Green-Green,0,-1,1.0971,1
2022-10-07,PUT,10:30:00,456.8229125,Long-Bottom-Green-Red,0.71557,457.91,453.55,12:55:00,453.55403719999987,Long-Bottom-Red-Green,1,0.0,None,0.0,Long-Bottom-Red-Green,0,-1,0.71557,1
2022-10-10,P-CALL,10:40:00,448.802789629,Bottom-Long-Red-Red,-0.74415,452.14,428.76,14:00:00,452.142538774,Long-Long-Green-Red,0,451.3555016,14:05:00,450.9215801,Long-Upper-Red-Red,-0.096137,0,-0.84028,0
2022-10-11,CALL,09:50:00,450.919169425,Long-Long-Green-Green,0.93932,450.92,469.65,15:55:00,455.1547254,Upper-Upper-Green-Green,1,0.0,None,0.0,Upper-Upper-Green-Green,0,-1,0.93932,1
2022-10-13,P-NULL,10:00:00,438.734364424,Bottom-Long-Green-Red,-0.63491,441.52,422.02,11:25:00,441.5199476,Long-Bottom-Green-Green,0,440.864244,None,0.0,Long-Bottom-Green-Green,0,-1,-0.63491,0
2022-10-17,CALL,11:25:00,448.0576982,Long-Long-Red-Green,0.2066,446.29,453.35,15:55:00,448.9833974,Long-Bottom-Red-Green,1,0.0,None,0.0,Long-Bottom-Red-Green,0,-1,0.2066,1
2022-10-18,C-NULL,10:25:00,457.2182632,Upper-Long-Green-Green,0,457.22,460.72,11:05:00,457.2182632,Long-Upper-Red-Red,0,457.4882588,None,0.0,Long-Upper-Red-Red,0,-1,0,0
2022-10-19,P-NULL,10:10:00,454.460451,Long-Long-Green-Red,-0.25674,455.63,450.96,10:20:00,455.6272177,Long-Bottom-Green-Red,0,455.67060985,None,0.0,Long-Bottom-Green-Red,0,-1,-0.25674,0
2022-10-20,P-CALL,10:00:00,451.97745575,Long-Long-Green-Red,-0.45549,454.04,445.8,10:10:00,454.0361722,Long-Long-Green-Green,0,454.3447386,10:45:00,452.02566925,Long-Upper-Red-Red,-0.51042,0,-0.96591,0
2022-10-21,P-CALL,11:00:00,450.0344517,Long-Long-Red-Red,-0.59352,452.71,434.01,11:35:00,452.7054796,Long-Long-Green-Green,0,452.917619,15:55:00,461.62979845,Upper-Long-Red-Green,2.5765,1,1.983,1
2022-10-25,CALL,09:50:00,478.2586346,Upper-Long-Green-Green,0.60083,472.97,509.96,15:55:00,481.1321592,Upper-Long-Red-Red,1,0.0,None,0.0,Upper-Long-Red-Red,0,-1,0.60083,1
2022-10-26,C-PUT,14:05:00,484.9603111,Upper-Long-Green-Green,-0.16901,484.14,487.42,14:20:00,484.1406816,Bottom-Long-Red-Red,0,483.9188995,15:55:00,482.0675011,Bottom-Upper-Red-Red,0.5965,1,0.42749,1
2022-10-27,P-CALL,10:35:00,481.3048224,Long-Long-Green-Red,-0.20572,482.29,478.33,14:55:00,482.29498265,Bottom-Long-Green-Green,0,482.22736195,15:50:00,481.13577065,Bottom-Upper-Green-Green,-0.22636,0,-0.43209,0
2022-10-28,P-CALL,10:05:00,483.3624237,Long-Long-Red-Red,-0.57258,483.36,466.76,10:30:00,486.13004235,Upper-Long-Green-Green,0,487.8447101,15:55:00,493.5151888,Bottom-Bottom-Red-Red,2.1004,1,1.5279,1
2022-11-01,C-NULL,10:35:00,487.1105425,Long-Long-Green-Green,-0.50768,484.64,501.95,10:45:00,484.6375569,Long-Upper-Red-Red,0,484.7051776,None,0.0,Long-Upper-Red-Red,0,-1,-0.50768,0
2022-11-03,P-CALL,09:55:00,466.90644335,Bottom-Long-Red-Red,-0.40932,466.91,461.17,10:05:00,468.817597534,Bottom-Long-Green-Green,0,470.640072,15:55:00,470.7559932,Upper-Long-Green-Red,0.82448,1,0.41516,1
2022-11-04,P-NULL,10:05:00,471.1906977,Long-Bottom-Green-Red,-0.22962,471.19,467.94,10:10:00,472.2726289,Bottom-Long-Red-Green,0,472.765294,None,0.0,Bottom-Long-Red-Green,0,-1,-0.22962,0
2022-11-07,P-CALL,10:00:00,461.3953563,Long-Long-Red-Red,-0.58937,464.11,445.08,11:10:00,464.11467445,Long-Upper-Green-Red,0,463.491598,11:45:00,463.491598,Long-Long-Green-Red,0,0,-0.58937,0
2022-11-08,CALL,09:55:00,474.2239691,Long-Long-Red-Green,1.2956,474.22,480.37,13:10:00,480.3677926999999,Long-Bottom-Green-Green,1,0.0,None,0.0,Long-Bottom-Green-Green,0,-1,1.2956,1
2022-11-09,PUT,10:30:00,477.21377005,Long-Long-Red-Red,0.76416,480.01,460.43,15:55:00,473.5670823,Long-Bottom-Red-Green,1,0.0,None,0.0,Long-Bottom-Red-Green,0,-1,0.76416,1
2022-11-10,P-NULL,09:55:00,486.482636,Bottom-Long-Red-Red,-1.0326,491.51,456.34,15:00:00,491.505888,Long-Bottom-Green-Green,0,491.3030259,None,0.0,Long-Bottom-Green-Green,0,-1,-1.0326,0
2022-11-11,P-NULL,10:10:00,494.6454205,Bottom-Long-Red-Red,-0.74602,498.34,472.5,15:50:00,498.3355787,Long-Long-Green-Green,0,498.7992635,None,0.0,Long-Long-Green-Green,0,-1,-0.74602,0
2022-11-14,C-PUT,14:25:00,498.46116,Upper-Long-Green-Green,-0.17636,497.58,501.1,14:50:00,497.5820909,Long-Long-Red-Red,0,497.2922879,15:55:00,493.39443755000013,Long-Long-Red-Red,0.78381,1,0.60746,1
2022-11-15,P-CALL,10:10:00,506.9234076,Bottom-Long-Green-Red,-0.54941,509.71,490.21,10:50:00,509.708511031,Upper-Upper-Green-Red,0,508.9230483,11:05:00,508.9230483,Bottom-Long-Green-Red,0,0,-0.54941,0
2022-11-17,P-NULL,09:50:00,498.0940762,Long-Long-Green-Red,-0.25018,499.34,494.36,12:10:00,499.3402291,Long-Bottom-Green-Red,0,499.1277069,None,0.0,Long-Bottom-Green-Red,0,-1,-0.25018,0
2022-11-21,P-CALL,10:05:00,505.899437,Long-Long-Green-Red,-0.41531,505.9,499.6,11:00:00,508.00050875,Bottom-Long-Red-Green,0,508.8167872,11:30:00,507.4160727,Bottom-Long-Green-Red,-0.27529,0,-0.6906,0
2022-11-22,CALL,10:00:00,510.12379873,Upper-Long-Green-Green,0.79137,510.12,514.16,14:40:00,514.16075452,Upper-Long-Red-Green,1,0.0,None,0.0,Upper-Long-Red-Green,0,-1,0.79137,1
2022-11-23,PUT,11:55:00,515.84934,Long-Long-Red-Red,0.039326,518.2,508.81,15:55:00,515.6464779,Long-Bottom-Red-Red,1,0.0,None,0.0,Long-Bottom-Red-Red,0,-1,0.039326,1
2022-11-28,C-PUT,13:40:00,515.08136205,Upper-Long-Red-Green,-0.10784,514.53,516.75,13:45:00,514.5259063,Long-Long-Green-Red,0,513.9366402,15:55:00,512.5842262,Long-Long-Red-Green,0.4848,1,0.37697,1
2022-11-29,C-PUT,10:00:00,512.445507164,Long-Long-Green-Green,0,512.45,517.54,11:10:00,512.445507164,Bottom-Long-Red-Red,0,511.995056701,15:55:00,510.922689,Upper-Long-Red-Red,0.29717,1,0.29717,1
2022-12-01,C-NULL,10:10:00,485.9223502,Upper-Long-Green-Green,0,485.92,506.56,14:05:00,485.9223502,Bottom-Long-Red-Red,0,485.8643896,None,0.0,Bottom-Long-Red-Red,0,-1,0,0
2022-12-02,C-PUT,09:50:00,480.7928371,Upper-Long-Red-Green,-0.8298,476.8,504.73,11:20:00,476.8032158,Long-Long-Red-Red,0,476.725935,11:25:00,477.9624278,Long-Long-Red-Green,-0.25937,0,-1.0892,0
2022-12-05,C-PUT,11:30:00,471.9538456,Upper-Long-Green-Green,-0.35079,470.3,476.92,12:00:00,470.298297662,Bottom-Long-Red-Red,0,470.0991064,12:20:00,471.1906977,Long-Long-Green-Green,-0.2322,0,-0.58299,0
2022-12-07,C-PUT,10:00:00,464.5735292,Long-Long-Green-Green,0,464.57,470.51,15:20:00,464.5735292,Long-Long-Red-Red,0,464.52039865,15:55:00,465.3366771,Bottom-Long-Green-Green,-0.17572,0,-0.17572,0
2022-12-08,C-PUT,09:50:00,461.5209376,Long-Long-Red-Green,0,461.52,476.88,11:25:00,461.5209376,Long-Bottom-Red-Red,0,461.8397209,11:35:00,463.34186645,Long-Long-Green-Green,-0.32525,0,-0.32525,0
