Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,P-CALL,10:00:00,166.8,Long-Long-Red-Red,-1.0552,168.56,156.24,13:50:00,168.56,Long-Long-Green-Green,0,168.86,15:55:00,169.76,Bottom-Upper-Red-Red,1.7746,1,0.71942,1
2022-10-04,C-NULL,09:55:00,177.015,Upper-Long-Red-Green,-0.49171,176.14,179.63,10:25:00,176.1446,Long-Upper-Red-Red,0,176.71,None,0.0,Long-Upper-Red-Red,0,-1,-0.49171,0
2022-10-06,PUT,09:50:00,180.0,Bottom-Long-Green-Red,0.875,181.84,168.96,15:55:00,178.425,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,0.875,1
2022-10-07,C-PUT,10:10:00,173.68,Long-Long-Green-Green,0,173.68,179.35,11:25:00,173.68,Bottom-Long-Red-Red,0,173.815,15:55:00,171.765,Long-Bottom-Red-Green,1.1026,1,1.1026,1
2022-10-11,C-PUT,14:25:00,156.78,Long-Long-Red-Green,-0.26151,156.37,158.01,14:50:00,156.37,Long-Long-Red-Red,0,155.685,15:55:00,155.63,Long-Upper-Green-Green,0.73351,1,0.472,1
2022-10-13,CALL,09:50:00,147.2916,Long-Long-Green-Green,3.9299,147.29,156.75,15:55:00,153.08,Bottom-Long-Red-Green,1,0.0,None,0.0,Bottom-Long-Red-Green,0,-1,3.9299,1
2022-10-18,P-CALL,09:55:00,158.1699,Long-Long-Green-Red,-1.2203,158.17,146.59,10:15:00,160.1,Long-Long-Green-Green,0,160.77,10:35:00,158.75,Long-Upper-Red-Red,-1.2565,0,-2.4767,0
2022-10-19,P-CALL,10:00:00,153.81,Long-Long-Green-Red,-1.2093,153.81,142.65,10:25:00,155.67,Bottom-Long-Green-Green,0,156.43,11:00:00,154.75,Upper-Long-Green-Red,-1.074,0,-2.2832,0
2022-10-20,P-CALL,09:50:00,153.44,Bottom-Long-Green-Red,-0.42362,154.09,151.49,09:55:00,154.09,Long-Long-Red-Green,0,153.9051,10:20:00,156.4404,Bottom-Long-Red-Green,1.6473,1,1.2237,1
2022-10-21,P-CALL,11:00:00,149.91,Long-Long-Green-Red,-0.67367,150.92,143.85,11:10:00,150.9199,Upper-Long-Green-Green,0,151.07,15:55:00,156.74,Bottom-Upper-Red-Red,4.5561,1,3.8824,1
2022-10-25,PUT,10:45:00,162.705,Long-Bottom-Red-Red,1.2077,163.36,160.74,13:20:00,160.74,Long-Upper-Red-Green,1,0.0,None,0.0,Long-Upper-Red-Green,0,-1,1.2077,1
2022-10-26,PUT,13:00:00,163.62,Long-Long-Red-Red,0.97482,164.7,157.12,15:55:00,162.025,Long-Upper-Green-Red,1,0.0,None,0.0,Long-Upper-Green-Red,0,-1,0.97482,1
2022-10-27,PUT,10:50:00,165.62,Long-Bottom-Red-Red,0.94192,166.68,159.26,15:55:00,164.06,Upper-Long-Red-Red,1,0.0,None,0.0,Upper-Long-Red-Red,0,-1,0.94192,1
2022-10-28,P-CALL,10:05:00,161.19,Long-Long-Red-Red,-1.3338,163.34,148.29,13:40:00,163.34,Long-Long-Green-Green,0,163.27,14:00:00,162.795,Upper-Long-Red-Red,-0.29093,0,-1.6248,0
2022-11-02,C-PUT,14:05:00,154.48,Upper-Long-Red-Green,-1.2016,152.62,165.62,14:20:00,152.6238,Upper-Long-Red-Red,0,153.145,14:30:00,154.36,Long-Long-Green-Green,-0.79337,0,-1.9949,0
2022-11-03,CALL,10:30:00,143.55,Long-Long-Green-Green,-1.3166,140.65,160.95,15:55:00,141.66,Long-Long-Red-Red,0,0.0,None,0.0,Long-Long-Red-Red,0,-1,-1.3166,0
2022-11-07,C-PUT,10:00:00,126.5165,Long-Long-Green-Green,-2.1906,123.75,143.15,12:05:00,123.745,Long-Long-Red-Red,0,123.58,14:15:00,124.3689,Upper-Bottom-Red-Green,-0.63837,0,-2.829,0
2022-11-08,CALL,09:55:00,124.325,Upper-Long-Green-Green,2.1476,124.33,131.5,15:55:00,126.995,Bottom-Upper-Green-Red,1,0.0,None,0.0,Bottom-Upper-Green-Red,0,-1,2.1476,1
2022-11-09,P-CALL,09:50:00,122.6325,Bottom-Long-Green-Red,-0.9928,123.85,115.33,10:25:00,123.85,Bottom-Long-Green-Green,0,123.9186,10:35:00,123.022,Long-Long-Red-Red,-0.72354,0,-1.7163,0
2022-11-10,CALL,09:50:00,134.525,Long-Long-Red-Green,0.85858,130.68,157.59,15:55:00,135.68,Bottom-Long-Green-Green,1,0.0,None,0.0,Bottom-Long-Green-Green,0,-1,0.85858,1
2022-11-14,P-CALL,10:20:00,140.66,Bottom-Bottom-Red-Red,-0.42656,141.26,138.86,12:05:00,141.26,Bottom-Long-Green-Green,0,141.1408,12:25:00,140.54,Long-Upper-Red-Green,-0.42567,0,-0.85223,0
2022-11-15,P-NULL,12:35:00,149.075,Long-Long-Red-Red,-0.47292,149.78,146.96,12:55:00,149.78,Long-Bottom-Green-Red,0,149.37,None,0.0,Long-Bottom-Green-Red,0,-1,-0.47292,0
2022-11-16,P-CALL,11:30:00,144.23,Long-Bottom-Green-Red,-0.12369,144.23,143.69,11:35:00,144.4084,Bottom-Long-Red-Green,0,144.49,11:40:00,144.14,Long-Long-Green-Red,-0.24223,0,-0.36592,0
2022-11-17,P-CALL,10:00:00,139.23,Bottom-Long-Red-Red,-0.98398,140.6,131.01,11:30:00,140.6,Upper-Long-Red-Green,0,140.72,11:45:00,139.58,Long-Long-Red-Red,-0.81012,0,-1.7941,0
2022-11-21,PUT,09:50:00,136.33,Bottom-Bottom-Green-Red,0.30808,137.4,129.91,15:55:00,135.91,Upper-Bottom-Green-Green,1,0.0,None,0.0,Upper-Bottom-Green-Green,0,-1,0.30808,1
2022-11-28,PUT,09:50:00,139.36,Bottom-Long-Red-Red,-0.25115,140.6,131.9,15:55:00,139.71,Bottom-Long-Green-Green,0,0.0,None,0.0,Bottom-Long-Green-Green,0,-1,-0.25115,0
2022-11-29,PUT,10:05:00,138.645,Long-Bottom-Red-Red,0.66515,139.5,133.52,15:55:00,137.7228,Upper-Upper-Red-Red,1,0.0,None,0.0,Upper-Upper-Red-Red,0,-1,0.66515,1
2022-12-01,P-CALL,11:50:00,121.5001,Bottom-Long-Green-Red,-0.77358,122.44,115.86,13:45:00,122.44,Bottom-Long-Green-Green,0,122.38,15:55:00,124.075,Upper-Bottom-Red-Green,2.1193,1,1.3457,1
2022-12-02,PUT,09:50:00,122.79,Bottom-Long-Green-Red,-0.4805,125.55,106.23,15:55:00,123.38,Long-Long-Red-Green,0,0.0,None,0.0,Long-Long-Red-Green,0,-1,-0.4805,0
2022-12-06,C-PUT,09:50:00,117.16,Upper-Long-Red-Green,-0.69136,116.35,122.02,09:55:00,116.35,Long-Long-Green-Red,0,115.73,15:55:00,113.825,Upper-Bottom-Red-Red,2.8465,1,2.1552,1
2022-12-07,P-CALL,12:00:00,112.23,Long-Bottom-Red-Red,-0.38314,112.23,110.94,12:50:00,112.66,Upper-Long-Green-Green,0,112.89,14:05:00,112.35,Long-Long-Red-Red,-0.47834,0,-0.86148,0
2022-12-08,PUT,13:55:00,115.04,Long-Long-Red-Red,0.60848,115.88,110,15:55:00,114.34,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,0.60848,1
2022-12-12,CALL,09:50:00,116.6752,Upper-Long-Green-Green,1.2469,115.12,126.01,15:55:00,118.13,Long-Bottom-Green-Green,1,0.0,None,0.0,Long-Bottom-Green-Green,0,-1,1.2469,1
2022-12-13,PUT,09:55:00,123.77,Bottom-Long-Green-Red,1.9633,124.99,116.45,15:55:00,121.34,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,1.9633,1
2022-12-19,C-PUT,10:10:00,108.9748,Long-Long-Green-Green,0,108.97,113.38,11:05:00,108.9748,Long-Long-Red-Red,0,108.955,13:25:00,109.93,Upper-Long-Green-Green,-0.89486,0,-0.89486,0
