Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-04,CALL,10:45:00,53.595,Long-Long-Green-Green,0.57841,52.345,61.095,15:55:00,53.905,Bottom-Long-Red-Green,1,0.0,None,0.0,Bottom-Long-Red-Green,0,-1,0.57841,1
2022-10-06,PUT,09:50:00,53.34,Bottom-Long-Green-Red,0.24372,54.06,49.02,15:55:00,53.21,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,0.24372,1
2022-10-10,PUT,09:55:00,48.57,Bottom-Long-Red-Red,1.225,49.32,44.07,15:55:00,47.975,Long-Bottom-Green-Green,1,0.0,None,0.0,Long-Bottom-Green-Green,0,-1,1.225,1
2022-10-11,P-CALL,10:25:00,42.93,Long-Long-Green-Red,-1.9567,43.77,37.89,10:35:00,43.77,Long-Long-Green-Green,0,43.76,15:55:00,45.12,Upper-Long-Green-Green,5.1013,1,3.1447,1
2022-10-13,C-NULL,11:10:00,45.425,Upper-Long-Green-Green,0,45.425,50.135,12:20:00,45.425,Long-Long-Red-Red,0,45.38,None,0.0,Long-Long-Red-Red,0,-1,0,0
2022-10-17,P-NULL,10:10:00,45.05,Long-Long-Green-Red,-0.99889,45.5,42.35,10:15:00,45.5,Long-Long-Red-Green,0,45.6,None,0.0,Long-Long-Red-Green,0,-1,-0.99889,0
2022-10-18,C-NULL,12:40:00,47.315,Upper-Long-Green-Green,-0.62348,47.02,49.085,13:00:00,47.02,Long-Long-Green-Red,0,46.86,None,0.0,Long-Long-Green-Red,0,-1,-0.62348,0
2022-10-19,P-CALL,10:00:00,44.59,Long-Long-Green-Red,-2.1081,45.53,38.95,10:15:00,45.53,Long-Upper-Green-Red,0,45.51,10:55:00,45.51,Bottom-Long-Red-Red,0,0,-2.1081,0
2022-10-20,PUT,12:00:00,47.2,Bottom-Long-Red-Red,3.6017,47.65,44.5,15:55:00,45.5,Upper-Long-Green-Red,1,0.0,None,0.0,Upper-Long-Green-Red,0,-1,3.6017,1
2022-10-21,P-CALL,10:35:00,44.34,Long-Long-Red-Red,-0.65404,44.63,42.6,11:35:00,44.63,Long-Long-Green-Green,0,44.61,11:40:00,44.29,Long-Long-Green-Red,-0.71733,0,-1.3714,0
2022-10-24,CALL,10:40:00,42.54,Long-Long-Green-Green,4.3959,42.54,49.59,15:55:00,44.41,Long-Bottom-Green-Red,1,0.0,None,0.0,Long-Bottom-Green-Red,0,-1,4.3959,1
2022-10-26,PUT,12:50:00,48.4,Long-Long-Red-Red,2.0971,48.77,46.18,15:55:00,47.385,Bottom-Upper-Red-Red,1,0.0,None,0.0,Bottom-Upper-Red-Red,0,-1,2.0971,1
2022-10-27,P-CALL,09:55:00,46.38,Long-Long-Red-Red,-2.9754,47.76,38.1,10:50:00,47.76,Upper-Long-Red-Green,0,47.7,11:55:00,47.065,Upper-Long-Red-Red,-1.3312,0,-4.3067,0
2022-10-28,CALL,10:50:00,45.61,Long-Long-Green-Green,2.9928,45.61,50.11,15:55:00,46.975,Bottom-Long-Red-Red,1,0.0,None,0.0,Bottom-Long-Red-Red,0,-1,2.9928,1
