Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-04,P-CALL,14:30:00,35.2745394,Long-Long-Green-Red,-0.17515,35.336,35.089,14:35:00,35.3363245,Long-Long-Red-Green,0,35.3505826,15:15:00,35.3505826,Long-Upper-Red-Red,0,0,-0.17515,0
2022-10-05,C-NULL,10:25:00,35.284425016,Upper-Long-Green-Green,-0.37823,35.151,35.685,10:55:00,35.1509692,Long-Upper-Red-Green,0,35.2032489,None,0.0,Long-Upper-Red-Green,0,-1,-0.37823,0
2022-10-06,PUT,09:50:00,36.12052,Bottom-Long-Red-Red,1.3553,36.415,34.353,15:55:00,35.6309919,Bottom-Long-Green-Green,1,0.0,None,0.0,Bottom-Long-Green-Green,0,-1,1.3553,1
2022-10-07,PUT,09:50:00,34.3097413,Bottom-Long-Red-Red,3.8371,34.685,32.057,15:55:00,32.9932434,Bottom-Long-Red-Green,1,0.0,None,0.0,Bottom-Long-Red-Green,0,-1,3.8371,1
2022-10-11,P-CALL,09:50:00,32.5845112,Long-Long-Green-Red,-0.67095,32.803,31.273,11:45:00,32.8031354,Long-Long-Green-Green,0,32.7983827,14:20:00,32.5274788,Long-Long-Red-Red,-0.82597,0,-1.4969,0
2022-10-12,CALL,10:50:00,32.1425101,Long-Long-Red-Green,0.47316,32.143,32.516,15:55:00,32.2945965,Long-Upper-Red-Red,1,0.0,None,0.0,Long-Upper-Red-Red,0,-1,0.47316,1
2022-10-17,C-NULL,12:55:00,32.8031354,Upper-Long-Red-Green,0,32.803,33.887,15:10:00,32.8031354,Bottom-Upper-Red-Red,0,32.8126408,None,0.0,Bottom-Upper-Red-Red,0,-1,0,0
2022-10-18,C-PUT,12:20:00,33.1778661,Long-Long-Green-Green,0,33.178,33.624,14:40:00,33.1778661,Long-Long-Red-Red,0,33.1490742,15:55:00,33.110685,Upper-Bottom-Red-Red,0.20249,1,0.20249,1
2022-10-19,C-NULL,10:05:00,33.110685,Upper-Long-Red-Green,0,33.111,34.429,11:05:00,33.110685,Long-Upper-Red-Green,0,33.1778661,None,0.0,Long-Upper-Red-Green,0,-1,0,0
2022-10-20,PUT,11:30:00,33.89286495,Long-Long-Red-Red,1.1185,34.08,32.77,15:55:00,33.5137716,Upper-Bottom-Green-Green,1,0.0,None,0.0,Upper-Bottom-Green-Green,0,-1,1.1185,1
