Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,CALL,09:50:00,37.25,Long-Long-Green-Green,1.0738,36.425,42.2,15:55:00,37.65,Bottom-Upper-Red-Red,1,0.0,None,0.0,Bottom-Upper-Red-Red,0,-1,1.0738,1
2022-10-04,P-NULL,10:30:00,39.24,Bottom-Long-Red-Red,-0.58614,39.24,37.86,10:45:00,39.47,Long-Long-Green-Green,0,39.64,None,0.0,Long-Long-Green-Green,0,-1,-0.58614,0
2022-10-06,PUT,09:50:00,39.71,Long-Long-Green-Red,3.727,40.05,37.67,15:55:00,38.23,Long-Upper-Red-Red,1,0.0,None,0.0,Long-Upper-Red-Red,0,-1,3.727,1
2022-10-07,C-PUT,10:50:00,37.3,Long-Long-Green-Green,-0.64343,37.06,38.74,11:25:00,37.06,Long-Long-Red-Green,0,37.21,11:50:00,36.94000000000001,Long-Long-Red-Red,0.72561,1,0.08218,1
2022-10-11,C-PUT,09:50:00,34.73,Upper-Long-Green-Green,-1.4915,34.212,37.838,10:05:00,34.212,Long-Bottom-Red-Red,0,34.17,10:35:00,34.61,Long-Long-Red-Green,-1.2877,0,-2.7792,0
2022-10-12,PUT,09:55:00,35.74,Long-Long-Red-Red,-0.97929,36.32,32.26,15:55:00,36.09,Long-Long-Red-Red,0,0.0,None,0.0,Long-Long-Red-Red,0,-1,-0.97929,0
2022-10-13,P-CALL,10:00:00,34.35,Bottom-Long-Red-Red,-1.7176,34.94,30.81,11:20:00,34.94,Upper-Long-Green-Green,0,35.0079,15:55:00,35.25,Bottom-Bottom-Red-Green,2.6201,1,0.90247,1
2022-10-14,P-CALL,10:45:00,34.955,Long-Long-Green-Red,-0.55786,35.15,33.785,10:55:00,35.15,Long-Long-Green-Green,0,35.17,11:20:00,34.91,Long-Long-Red-Red,-0.73927,0,-1.2971,0
2022-10-17,C-PUT,10:30:00,36.23,Long-Long-Red-Green,0,36.23,36.77,12:05:00,36.23,Long-Long-Red-Red,0,36.12,15:55:00,35.4,Bottom-Long-Red-Green,2.2909,1,2.2909,1
2022-10-18,PUT,10:30:00,37.04,Bottom-Long-Green-Red,2.4568,37.62,33.56,15:55:00,36.13,Upper-Upper-Green-Red,1,0.0,None,0.0,Upper-Upper-Green-Red,0,-1,2.4568,1
2022-10-19,P-CALL,10:00:00,34.355,Long-Long-Green-Red,-0.946,34.68,32.405,10:10:00,34.68,Long-Long-Green-Green,0,34.73,12:15:00,34.27,Long-Long-Red-Red,-1.3245,0,-2.2705,0
2022-10-21,P-NULL,10:35:00,34.18,Bottom-Bottom-Red-Red,-0.17554,34.18,34,10:45:00,34.24,Upper-Long-Red-Green,0,34.28,None,0.0,Upper-Long-Red-Green,0,-1,-0.17554,0
2022-10-24,P-NULL,09:55:00,29.63,Bottom-Bottom-Green-Red,-1.5862,30.1,26.81,11:05:00,30.1,Long-Bottom-Green-Green,0,30.079,None,0.0,Long-Bottom-Green-Green,0,-1,-1.5862,0
2022-10-27,P-CALL,09:55:00,33.5,Long-Long-Red-Red,-2.1493,34.22,29.18,10:25:00,34.22,Bottom-Long-Green-Green,0,34.215,11:00:00,34.215,Bottom-Long-Green-Red,0,0,-2.1493,0
2022-11-02,P-CALL,10:00:00,35.82,Bottom-Long-Green-Red,-0.67002,35.82,34.38,11:35:00,36.06,Long-Long-Green-Green,0,36.23,15:30:00,36.23,Long-Upper-Red-Red,0,0,-0.67002,0
2022-11-03,CALL,10:20:00,35.95,Long-Long-Green-Green,4.7566,35.95,38.71,15:55:00,37.66,Long-Bottom-Green-Red,1,0.0,None,0.0,Long-Bottom-Green-Red,0,-1,4.7566,1
