Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,P-CALL,09:55:00,266.755218432,Bottom-Long-Green-Red,-0.94111,269.27,259.22,10:55:00,269.265670248,Long-Long-Green-Green,0,269.3585656,15:55:00,269.766584,Upper-Long-Red-Red,1.1289,1,0.18778,1
2022-10-04,CALL,09:55:00,273.639342832,Long-Long-Green-Green,0.45724,272.56,276.89,15:55:00,274.890536,Long-Upper-Green-Green,1,0.0,None,0.0,Long-Upper-Green-Green,0,-1,0.45724,1
2022-10-05,CALL,10:30:00,272.3380488,Long-Long-Green-Green,0.77349,271.64,274.44,12:10:00,274.44456240000005,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,0.77349,1
2022-10-06,P-PUT,14:35:00,275.64964,Long-Long-Red-Red,-0.25818,276.36,273.51,15:50:00,276.3613,Long-Bottom-Green-Red,0,275.9722592,15:55:00,275.8678824,Bottom-Upper-Red-Red,-0.079174,0,-0.33735,0
2022-10-10,C-PUT,09:50:00,268.3812192,Long-Long-Green-Green,-0.49781,267.05,272.39,12:55:00,267.04519616,Bottom-Long-Green-Red,0,266.7206792,13:35:00,267.631604,Long-Bottom-Green-Green,-0.34153,0,-0.83934,0
2022-10-11,P-CALL,10:25:00,267.5272272,Bottom-Long-Green-Red,-0.46028,268.76,263.83,10:35:00,268.758588776,Long-Long-Green-Green,0,268.7844932,15:05:00,267.4323392,Long-Long-Red-Red,-0.50306,0,-0.96334,0
2022-10-12,C-PUT,10:00:00,269.0264576,Upper-Long-Green-Green,-0.68778,267.18,274.58,10:45:00,267.1761416,Long-Long-Red-Red,0,267.1951192,14:30:00,268.5140624,Long-Long-Green-Green,-0.49363,0,-1.1814,0
2022-10-13,CALL,09:55:00,258.77238588,Long-Long-Green-Green,4.3798,254.99,270.11,13:35:00,270.105998376,Long-Bottom-Green-Green,1,0.0,None,0.0,Long-Bottom-Green-Green,0,-1,4.3798,1
2022-10-14,PUT,09:50:00,269.6527184,Long-Long-Red-Red,2.0902,271.53,264.02,12:10:00,264.0163712000001,Long-Long-Green-Red,1,0.0,None,0.0,Long-Long-Green-Red,0,-1,2.0902,1
2022-10-17,C-PUT,10:05:00,267.3184736,Long-Long-Red-Green,-0.46855,266.07,271.08,10:55:00,266.065952,Long-Long-Red-Red,0,265.9615752,11:45:00,267.2900072,Upper-Long-Red-Green,-0.49948,0,-0.96803,0
2022-10-18,C-PUT,14:30:00,271.8161648,Long-Long-Green-Green,-0.31767,270.95,274.41,14:40:00,270.952684,Long-Long-Red-Red,0,270.7818856,15:55:00,270.4402888,Long-Bottom-Red-Red,0.50618,1,0.18851,1
2022-10-20,C-PUT,09:55:00,260.3299724,Long-Long-Green-Green,-0.6652,258.6,265.53,12:10:00,258.5982664,Long-Long-Red-Red,0,258.4084904,15:55:00,255.8275368,Upper-Long-Green-Green,1.7295,1,1.0643,1
2022-10-21,P-CALL,10:40:00,256.719484,Bottom-Long-Green-Red,-0.38071,257.7,253.79,11:35:00,257.6968304,Long-Long-Green-Green,0,257.9909832,15:55:00,261.1507536,Upper-Upper-Red-Green,1.7261,1,1.3454,1
2022-10-24,P-CALL,10:05:00,263.9973936,Bottom-Long-Red-Red,-1.2173,267.21,254.36,12:00:00,267.210965496,Long-Upper-Green-Green,0,267.180886,15:55:00,268.5425288,Long-Long-Red-Red,1.7217,1,0.50439,1
2022-10-25,CALL,10:20:00,274.5489392,Long-Long-Green-Green,0.26958,273.38,278.05,15:55:00,275.2890656,Long-Long-Green-Red,1,0.0,None,0.0,Long-Long-Green-Red,0,-1,0.26958,1
2022-10-26,CALL,10:10:00,274.321208,Long-Long-Green-Green,0.50847,271.82,281.84,15:55:00,275.7160616,Bottom-Long-Green-Red,1,0.0,None,0.0,Bottom-Long-Green-Red,0,-1,0.50847,1
2022-10-27,CALL,10:05:00,276.9021616,Long-Long-Green-Green,-0.32212,274.65,283.65,15:55:00,276.0102144,Long-Long-Red-Red,0,0.0,None,0.0,Long-Long-Red-Red,0,-1,-0.32212,0
2022-10-28,P-CALL,09:50:00,277.395674088,Bottom-Long-Red-Red,-0.69778,279.33,271.59,10:55:00,279.3312944,Long-Long-Green-Green,0,279.6728912,15:55:00,283.4589224,Long-Upper-Red-Green,2.1858,1,1.488,1
2022-11-02,P-CALL,12:05:00,280.5458608,Long-Long-Red-Red,-0.35176,281.53,277.59,14:05:00,281.532696,Long-Long-Red-Green,0,282.9844824,14:55:00,280.0809096,Long-Long-Red-Red,-1.0261,0,-1.3778,0
2022-11-03,C-PUT,10:30:00,269.2304668,Upper-Long-Green-Green,-0.541,267.77,273.6,10:35:00,267.773936,Long-Long-Green-Red,0,267.8972904,15:55:00,266.7396568,Bottom-Long-Red-Red,0.92516,1,0.38416,1
2022-11-04,P-CALL,10:05:00,269.3561934,Bottom-Long-Green-Red,-0.50992,270.73,265.24,10:10:00,270.7296972,Long-Long-Red-Green,0,270.7059752,11:35:00,269.2067448,Long-Long-Red-Red,-0.55382,0,-1.0637,0
2022-11-07,CALL,10:20:00,270.7012308,Long-Long-Green-Green,1.856,269.03,275.73,14:20:00,275.72555040000003,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,1.856,1
2022-11-08,C-CALL,10:45:00,275.1609668,Long-Long-Red-Green,-0.37933,274.12,278.29,14:25:00,274.1171988,Upper-Long-Red-Red,0,273.6759696,14:30:00,273.6759696,Long-Long-Red-Red,0,1,-0.37933,0
2022-11-09,P-CALL,11:35:00,275.0518456,Long-Long-Red-Red,-0.48987,276.4,271.01,11:45:00,276.3992552,Long-Long-Green-Green,0,276.778712312,12:10:00,275.1846888,Long-Long-Red-Red,-0.57592,0,-1.0658,0
2022-11-10,C-CALL,12:20:00,293.8586472,Long-Long-Red-Green,-0.37457,292.76,297.16,12:40:00,292.7579464,Upper-Long-Green-Red,0,292.72948,12:45:00,292.72948,Long-Long-Red-Red,0,1,-0.37457,0
2022-11-11,P-CALL,10:05:00,297.47388,Long-Long-Green-Red,-0.90271,300.16,289.42,10:50:00,300.1592104,Long-Long-Green-Green,0,300.602147584,11:15:00,299.2103304,Long-Long-Red-Red,-0.46301,0,-1.3657,0
2022-11-15,CALL,10:05:00,293.369974,Long-Long-Green-Green,0.80052,288.93,306.68,15:55:00,295.718452,Long-Upper-Red-Red,1,0.0,None,0.0,Long-Upper-Red-Red,0,-1,0.80052,1
2022-11-17,C-PUT,12:05:00,293.6973376,Long-Long-Green-Green,-0.65747,291.77,299.49,15:20:00,291.7663668,Long-Long-Red-Red,0,291.7426448,15:25:00,292.4258384,Long-Long-Red-Green,-0.23418,0,-0.89165,0
2022-11-18,PUT,10:30:00,297.2532654,Long-Long-Green-Red,0.29607,298.42,293.74,15:55:00,296.3731792,Long-Long-Green-Red,1,0.0,None,0.0,Long-Long-Green-Red,0,-1,0.29607,1
2022-11-21,PUT,10:05:00,300.0311116,Long-Long-Red-Red,-0.41272,301.93,294.34,15:55:00,301.2694,Long-Bottom-Green-Red,0,0.0,None,0.0,Long-Bottom-Green-Red,0,-1,-0.41272,0
2022-11-23,P-PUT,09:55:00,309.9065802,Long-Bottom-Green-Red,-0.17682,310.45,308.26,10:00:00,310.4545584,Bottom-Bottom-Red-Red,0,309.9136968,10:10:00,310.6917784,Upper-Long-Green-Red,-0.25106,0,-0.42788,0
2022-11-29,C-PUT,10:00:00,301.9264994,Long-Long-Green-Green,-0.4502,300.57,306,13:55:00,300.5672288,Long-Long-Red-Green,0,300.937292,14:00:00,301.1080904,Long-Bottom-Green-Green,-0.056755,0,-0.50695,0
