Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,P-CALL,10:00:00,159.62,Long-Long-Red-Red,-0.43541,160.31,157.54,10:05:00,160.315,Long-Long-Red-Green,0,160.755,15:55:00,162.67,Long-Upper-Red-Green,1.9108,1,1.4754,1
2022-10-05,C-CALL,09:50:00,167.61,Upper-Long-Red-Green,-0.38781,166.96,169.56,10:05:00,166.96,Upper-Long-Green-Red,0,166.815,10:10:00,166.815,Long-Bottom-Red-Red,0,1,-0.38781,0
2022-10-06,P-CALL,10:00:00,169.26,Long-Long-Green-Red,-0.52582,170.15,166.59,12:50:00,170.15,Long-Long-Green-Green,0,170.24,13:40:00,169.45,Upper-Long-Red-Red,-0.46405,0,-0.98987,0
2022-10-10,C-PUT,10:30:00,159.5345,Long-Long-Green-Green,-0.65472,158.49,162.67,10:40:00,158.49,Long-Long-Red-Red,0,157.92,13:50:00,159.5601,Bottom-Long-Red-Green,-1.0386,0,-1.6933,0
2022-10-11,P-CALL,12:05:00,157.995,Long-Long-Red-Red,-0.49685,158.78,155.64,12:45:00,158.78,Long-Long-Green-Green,0,159.01,13:15:00,158.33,Long-Long-Red-Red,-0.42765,0,-0.9245,0
2022-10-12,PUT,10:05:00,157.1,Long-Long-Red-Red,0.84023,157.54,155.78,10:25:00,155.78,Upper-Long-Green-Red,1,0.0,None,0.0,Upper-Long-Green-Red,0,-1,0.84023,1
2022-10-17,P-PUT,10:55:00,158.64,Bottom-Long-Red-Red,-0.49798,159.43,156.27,11:45:00,159.43,Bottom-Bottom-Green-Green,0,159.295,11:55:00,159.55,Long-Long-Green-Green,-0.16008,0,-0.65806,0
2022-10-18,C-PUT,09:50:00,163.67,Upper-Long-Green-Green,-0.65986,162.59,166.91,09:55:00,162.59,Long-Long-Green-Red,0,162.1275,15:55:00,161.08,Upper-Upper-Red-Red,1.5825,1,0.92259,1
2022-10-19,P-CALL,10:00:00,160.02,Long-Long-Green-Red,-0.14373,160.25,159.33,10:05:00,160.25,Long-Long-Red-Green,0,160.29,10:20:00,161.10629999999998,Long-Long-Green-Green,0.50926,1,0.36553,1
2022-10-20,PUT,12:00:00,162.39,Bottom-Long-Red-Red,1.0438,162.96,160.69,13:20:00,160.6949999999999,Bottom-Long-Red-Red,1,0.0,None,0.0,Bottom-Long-Red-Red,0,-1,1.0438,1
2022-10-24,P-CALL,10:05:00,167.36,Long-Long-Red-Red,-1.3803,169.67,160.43,15:20:00,169.67,Long-Long-Green-Green,0,169.68,15:40:00,169.13,Bottom-Upper-Red-Green,-0.32414,0,-1.7044,0
2022-10-25,P-CALL,10:00:00,170.3,Long-Long-Red-Red,-0.72519,171.53,166.6,11:00:00,171.535,Upper-Long-Green-Red,0,171.28,11:10:00,172.09000000000003,Long-Long-Green-Green,0.47291,1,-0.25228,0
2022-10-26,P-CALL,13:05:00,174.82,Long-Long-Red-Red,-0.32033,175.38,173.14,14:05:00,175.38,Long-Long-Green-Green,0,175.51,14:30:00,174.7375,Long-Long-Red-Red,-0.44015,0,-0.76048,0
2022-10-27,PUT,10:40:00,175.31,Bottom-Long-Red-Red,1.1751,176.43,171.95,15:55:00,173.25,Bottom-Long-Red-Red,1,0.0,None,0.0,Bottom-Long-Red-Red,0,-1,1.1751,1
2022-10-28,P-PUT,10:05:00,173.74,Long-Long-Red-Red,-0.4029,174.44,171.64,10:30:00,174.44,Bottom-Long-Green-Green,0,174.79,10:35:00,174.89,Long-Bottom-Green-Green,-0.057212,0,-0.46011,0
2022-11-01,CALL,12:45:00,174.235,Upper-Long-Green-Green,0.12914,173.75,175.69,15:55:00,174.46,Upper-Long-Green-Red,1,0.0,None,0.0,Upper-Long-Green-Red,0,-1,0.12914,1
2022-11-02,C-PUT,09:50:00,172.05,Long-Long-Red-Green,-0.46498,171.25,174.45,10:00:00,171.25,Long-Long-Red-Red,0,170.705,10:45:00,171.9,Long-Long-Green-Green,-0.70004,0,-1.165,0
2022-11-03,P-CALL,11:35:00,165.7,Bottom-Long-Red-Red,-0.32589,166.24,164.08,11:40:00,166.24,Long-Long-Red-Green,0,166.25,12:45:00,167.91500000000002,Long-Long-Green-Green,1.0015,1,0.67561,1
