Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,CALL,14:45:00,315.5419526,Long-Long-Green-Green,0.26782,313.79,320.79,15:55:00,316.3870402,Long-Upper-Red-Green,1,0.0,None,0.0,Long-Upper-Red-Green,0,-1,0.26782,1
2022-10-04,P-CALL,09:50:00,318.824037,Bottom-Long-Red-Red,-0.88766,321.65,310.33,11:05:00,321.6540978,Long-Long-Green-Green,0,321.585213334,15:55:00,324.2188404,Long-Long-Red-Green,1.6921,1,0.80444,1
2022-10-05,P-CALL,09:55:00,323.1379144,Long-Bottom-Green-Red,-0.16421,323.67,321.55,10:10:00,323.6685508,Upper-Upper-Green-Green,0,323.737337,15:55:00,325.5257782,Bottom-Long-Green-Red,0.73896,1,0.57475,1
2022-10-06,PUT,10:30:00,328.5228912,Long-Long-Red-Red,0.26621,331.89,318.41,15:55:00,327.6483238,Long-Upper-Red-Green,1,0.0,None,0.0,Long-Upper-Red-Green,0,-1,0.26621,1
2022-10-07,PUT,13:05:00,324.2876266,Long-Long-Red-Red,1.0182,325.39,320.99,14:50:00,320.9858890000001,Long-Bottom-Red-Red,1,0.0,None,0.0,Long-Bottom-Red-Red,0,-1,1.0182,1
2022-10-10,CALL,11:55:00,317.251781,Upper-Long-Red-Green,0.604,316.61,319.17,13:50:00,319.16796800000003,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,0.604,1
2022-10-11,CALL,10:35:00,316.0922422,Long-Long-Green-Green,1.3243,314.7,320.28,11:05:00,320.27837379999994,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,1.3243,1
2022-10-12,PUT,10:10:00,324.5529448,Bottom-Long-Red-Red,1.5804,326.26,319.42,13:25:00,319.42375439799986,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,1.5804,1
2022-10-13,P-PUT,09:50:00,315.6205654,Bottom-Long-Red-Red,-1.0897,319.06,305.3,11:25:00,319.0598754,Bottom-Long-Green-Green,0,319.8509167,11:30:00,320.1899344,Long-Long-Green-Green,-0.10599,0,-1.1957,0
2022-10-18,P-PUT,10:25:00,326.4494786,Long-Long-Green-Red,-0.38831,327.72,322.65,11:05:00,327.71711,Long-Bottom-Green-Green,0,327.4812716,11:35:00,326.1546806000001,Bottom-Long-Red-Red,0.40509,1,0.016781,1
2022-10-19,PUT,09:50:00,325.8598826,Bottom-Long-Red-Red,0.59709,328.26,318.67,15:55:00,323.9142158,Bottom-Long-Green-Green,1,0.0,None,0.0,Bottom-Long-Green-Green,0,-1,0.59709,1
2022-10-20,CALL,10:25:00,322.2682603,Long-Long-Green-Green,0.35981,320.57,327.35,15:55:00,323.4277991,Long-Bottom-Green-Green,1,0.0,None,0.0,Long-Bottom-Green-Green,0,-1,0.35981,1
2022-10-24,P-PUT,10:10:00,341.6119224,Long-Long-Red-Red,-0.89621,344.67,332.43,10:55:00,344.673497896,Upper-Bottom-Red-Green,0,344.42233,11:05:00,342.94834,Long-Long-Red-Red,0.42796,1,-0.46825,0
2022-10-27,CALL,09:55:00,352.0232051,Long-Long-Red-Green,-0.45361,349.83,358.61,15:55:00,350.4263826,Upper-Long-Red-Red,0,0.0,None,0.0,Upper-Long-Red-Red,0,-1,-0.45361,0
2022-10-28,P-CALL,11:20:00,352.971472,Bottom-Long-Red-Red,-0.38558,354.33,348.89,11:25:00,354.3324561,Long-Long-Red-Green,0,354.5535546,14:00:00,352.7945932,Long-Long-Red-Red,-0.49611,0,-0.88169,0
2022-11-01,PUT,09:50:00,344.4616364,Long-Long-Red-Red,-0.7246,350.8,325.45,15:55:00,346.9575928,Upper-Upper-Red-Green,0,0.0,None,0.0,Upper-Upper-Red-Green,0,-1,-0.7246,0
2022-11-02,CALL,09:50:00,347.3899632,Long-Long-Green-Green,0.40238,344.14,357.15,15:55:00,348.78779705,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,0.40238,1
2022-11-03,CALL,12:00:00,350.1021048,Long-Long-Red-Green,1.3009,348.58,354.66,13:00:00,354.6567339,Long-Bottom-Green-Red,1,0.0,None,0.0,Long-Bottom-Green-Red,0,-1,1.3009,1
2022-11-04,C-CALL,11:05:00,353.4578887,Upper-Long-Green-Green,-0.65194,351.15,360.37,11:35:00,351.153551,Long-Upper-Red-Red,0,351.3893894,11:40:00,351.055285,Upper-Long-Red-Red,-0.095081,0,-0.74702,0
2022-11-07,P-PUT,11:20:00,357.7177198,Long-Bottom-Red-Red,-0.29118,358.76,354.59,15:35:00,358.7593394,Long-Bottom-Green-Green,0,359.20399305,15:55:00,358.4448882,Upper-Bottom-Green-Red,-0.20328,0,-0.49446,0
2022-11-08,P-CALL,10:05:00,357.5801474,Long-Bottom-Red-Red,-0.49053,359.33,352.32,10:45:00,359.3341955,Long-Long-Red-Green,0,359.874756766,11:05:00,358.2336163,Bottom-Long-Red-Red,-0.45603,0,-0.94656,0
2022-11-09,P-CALL,10:40:00,361.4272613,Bottom-Long-Green-Red,-0.35073,362.69,357.62,11:10:00,362.6948927,Long-Long-Green-Green,0,362.9061646,12:00:00,361.3388219,Bottom-Long-Red-Red,-0.43189,0,-0.78262,0
