Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,CALL,09:50:00,29.14824,Upper-Long-Green-Green,2.3607,28.862,30.008,15:55:00,29.8363296,Upper-Upper-Red-Red,1,0.0,None,0.0,Upper-Upper-Red-Red,0,-1,2.3607,1
2022-10-04,P-CALL,13:20:00,31.3749744,Bottom-Long-Green-Red,-0.39598,31.499,31.002,13:30:00,31.4992128,Long-Long-Green-Green,0,31.5183264,15:55:00,31.671139632,Bottom-Long-Green-Green,0.94395,1,0.54797,1
2022-10-05,CALL,10:40:00,31.202952,Long-Long-Red-Green,1.8377,31.012,31.776,15:20:00,31.77636,Long-Bottom-Green-Green,1,0.0,None,0.0,Long-Bottom-Green-Green,0,-1,1.8377,1
2022-10-06,PUT,09:50:00,31.4609856,Bottom-Long-Green-Red,1.0936,31.729,30.658,15:55:00,31.1169408,Bottom-Bottom-Red-Green,1,0.0,None,0.0,Bottom-Bottom-Red-Green,0,-1,1.0936,1
2022-10-07,C-PUT,10:10:00,30.4957488,Long-Long-Green-Green,-0.94014,30.209,31.356,12:30:00,30.2090448,Long-Long-Red-Red,0,30.1803744,15:15:00,30.318948,Upper-Bottom-Red-Green,-0.45915,0,-1.3993,0
2022-10-10,PUT,10:00:00,30.6391008,Bottom-Bottom-Red-Red,0.88896,30.821,30.094,15:55:00,30.366732,Upper-Long-Red-Green,1,0.0,None,0.0,Upper-Long-Red-Green,0,-1,0.88896,1
2022-10-11,PUT,14:55:00,30.0752496,Long-Long-Red-Red,0.11122,30.333,29.301,15:55:00,30.0418008,Upper-Upper-Red-Green,1,0.0,None,0.0,Upper-Upper-Red-Green,0,-1,0.11122,1
2022-10-12,P-PUT,09:55:00,29.9796816,Long-Long-Red-Red,-0.92445,30.257,29.148,14:15:00,30.2568288,Bottom-Long-Green-Green,0,30.280051824,14:25:00,30.206368896,Long-Long-Red-Red,0.24334,1,-0.68111,0
2022-10-13,CALL,09:50:00,30.2854992,Long-Long-Green-Green,2.5876,29.659,32.166,15:55:00,31.0691568,Bottom-Upper-Green-Green,1,0.0,None,0.0,Bottom-Upper-Green-Green,0,-1,2.5876,1
2022-10-14,C-PUT,11:05:00,31.4609856,Long-Long-Green-Green,-0.72904,31.232,32.149,11:20:00,31.2316224,Long-Long-Red-Red,0,31.1838384,12:50:00,31.3988664,Long-Long-Green-Red,-0.68955,0,-1.4186,0
2022-10-17,C-PUT,14:45:00,31.2794064,Long-Long-Green-Green,-0.59578,31.093,31.838,15:05:00,31.0930488,Long-Long-Red-Red,0,31.0596,15:35:00,31.1838384,Upper-Long-Red-Green,-0.4,0,-0.99578,0
2022-10-18,C-PUT,10:05:00,32.091829968,Long-Long-Green-Green,-0.89368,31.805,32.952,10:25:00,31.8050304,Long-Long-Red-Red,0,31.8050304,15:55:00,31.7811384,Long-Bottom-Green-Red,0.96813,1,0.074449,1
2022-10-19,C-CALL,10:10:00,32.2494216,Long-Long-Green-Green,-1.1113,31.891,33.325,10:55:00,31.8910416,Long-Bottom-Red-Red,0,31.9005984,11:00:00,31.8862632,Bottom-Upper-Red-Red,-0.044937,0,-1.1562,0
2022-10-20,C-CALL,11:00:00,31.87049448,Upper-Long-Red-Green,-0.49028,31.714,32.339,11:30:00,31.7142408,Upper-Long-Red-Red,0,31.7190192,11:40:00,31.833700800000006,Bottom-Long-Red-Green,0.36155,1,-0.12872,0
2022-10-21,CALL,10:50:00,31.4036448,Long-Long-Green-Green,1.689,31.227,31.934,13:05:00,31.934047199999995,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,1.689,1
2022-10-24,P-PUT,10:05:00,31.8289224,Bottom-Long-Green-Red,-0.73563,32.063,31.126,10:15:00,32.063064,Bottom-Long-Green-Green,0,32.063064,10:20:00,31.97705279999999,Long-Long-Green-Red,0.26826,1,-0.46737,0
2022-10-26,P-PUT,10:00:00,33.114312,Bottom-Bottom-Green-Red,-0.54834,33.296,32.57,10:05:00,33.2958912,Bottom-Long-Red-Green,0,33.3150048,10:10:00,33.353232,Long-Long-Green-Green,-0.11474,0,-0.66309,0
2022-10-27,PUT,10:00:00,34.030713552,Bottom-Long-Green-Red,0.6709,34.385,32.967,15:55:00,33.8024016,Upper-Long-Red-Red,1,0.0,None,0.0,Upper-Long-Red-Red,0,-1,0.6709,1
2022-10-28,CALL,10:55:00,33.735504,Upper-Long-Green-Green,1.5297,33.563,34.252,14:10:00,34.25157119999999,Long-Upper-Green-Red,1,0.0,None,0.0,Long-Upper-Green-Red,0,-1,1.5297,1
2022-11-01,P-CALL,10:05:00,34.9970016,Bottom-Long-Red-Red,-0.86019,35.298,34.094,10:55:00,35.2980408,Upper-Long-Green-Green,0,35.339039472,11:45:00,35.1116832,Long-Long-Red-Red,-0.64336,0,-1.5035,0
