Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-11-01,PUT,09:50:00,13.155,Upper-Long-Red-Red,6.1764,13.48,12.342,13:40:00,12.342499999999998,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,6.1764,1
2022-11-02,PUT,09:55:00,12.15,Long-Bottom-Green-Red,2.6749,12.28,11.825,10:30:00,11.825000000000003,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,2.6749,1
2022-11-03,P-CALL,11:35:00,10.9477,Bottom-Long-Red-Red,-1.9392,11.16,10.417,11:45:00,11.16,Long-Long-Green-Green,0,11.16,13:15:00,10.935,Upper-Long-Green-Red,-2.0161,0,-3.9553,0
2022-11-04,C-PUT,10:25:00,11.1596,Long-Long-Green-Green,-2.7743,10.85,11.934,11:45:00,10.85,Long-Long-Red-Red,0,10.835,12:45:00,10.565000000000001,Long-Long-Red-Red,2.4919,1,-0.28237,0
2022-11-07,CALL,10:40:00,10.34,Long-Bottom-Green-Green,2.9014,10.22,10.64,10:55:00,10.639999999999997,Upper-Long-Green-Green,1,0.0,None,0.0,Upper-Long-Green-Green,0,-1,2.9014,1
2022-11-08,P-NULL,10:00:00,9.56,Long-Upper-Green-Red,-1.046,9.66,9.31,10:10:00,9.66,Upper-Bottom-Green-Red,0,9.555,None,0.0,Upper-Bottom-Green-Red,0,-1,-1.046,0
2022-11-09,C-NULL,10:40:00,9.68,Long-Long-Red-Green,-2.1694,9.47,10.205,10:45:00,9.47,Long-Upper-Green-Red,0,9.63,None,0.0,Long-Upper-Green-Red,0,-1,-2.1694,0
2022-11-10,PUT,10:30:00,9.87,Long-Long-Green-Red,-1.0132,10.08,9.345,15:55:00,9.97,Bottom-Long-Green-Green,0,0.0,None,0.0,Bottom-Long-Green-Green,0,-1,-1.0132,0
2022-11-11,CALL,09:50:00,9.48,Upper-Long-Green-Green,3.4283,9.22,9.805,13:25:00,9.805,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,3.4283,1
2022-11-14,C-NULL,09:50:00,9.72,Long-Upper-Red-Green,-0.89918,9.6326,9.9385,09:55:00,9.6326,Upper-Long-Green-Red,0,9.6399,None,0.0,Upper-Long-Green-Red,0,-1,-0.89918,0
2022-11-15,P-NULL,09:50:00,9.78,Bottom-Long-Red-Red,-1.6278,9.9392,9.382,10:00:00,9.9392,Bottom-Long-Green-Green,0,10.0535,None,0.0,Bottom-Long-Green-Green,0,-1,-1.6278,0
2022-11-17,C-NULL,09:50:00,8.1544,Long-Long-Green-Green,-2.2,7.975,8.6029,10:00:00,7.975,Long-Long-Red-Red,0,7.985,None,0.0,Long-Long-Red-Red,0,-1,-2.2,0
2022-11-18,PUT,10:00:00,7.8679,Long-Long-Green-Red,3.8797,7.99,7.5626,12:20:00,7.562649999999998,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,3.8797,1
2022-11-22,PUT,09:50:00,6.255,Long-Bottom-Green-Red,2.1982,6.31,6.1175,10:05:00,6.117500000000001,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,2.1982,1
2022-11-23,C-NULL,09:50:00,6.4962,Long-Long-Red-Green,-2.2505,6.35,6.8617,12:00:00,6.35,Bottom-Upper-Red-Green,0,6.378,None,0.0,Bottom-Upper-Red-Green,0,-1,-2.2505,0
2022-11-28,PUT,09:50:00,6.0601,Upper-Long-Red-Red,3.1105,6.1355,5.8716,10:20:00,5.8716,Long-Upper-Red-Red,1,0.0,None,0.0,Long-Upper-Red-Red,0,-1,3.1105,1
2022-11-29,C-NULL,10:20:00,5.965,Long-Long-Red-Green,-1.0897,5.9,6.1275,11:05:00,5.9,Bottom-Long-Red-Red,0,5.91,None,0.0,Bottom-Long-Red-Red,0,-1,-1.0897,0
2022-12-01,P-NULL,11:40:00,6.385,Long-Upper-Green-Red,-0.23493,6.4,6.3662,11:45:00,6.4,Upper-Bottom-Red-Green,0,6.41,None,0.0,Upper-Bottom-Red-Green,0,-1,-0.23493,0
2022-12-02,P-NULL,09:55:00,6.1712,Bottom-Upper-Red-Red,-1.601,6.27,5.9242,10:05:00,6.27,Long-Bottom-Green-Red,0,6.205,None,0.0,Long-Bottom-Green-Red,0,-1,-1.601,0
2022-12-06,PUT,09:55:00,5.8671,Long-Long-Green-Red,3.9585,5.96,5.6348,10:40:00,5.634849999999999,Long-Long-Green-Red,1,0.0,None,0.0,Long-Long-Green-Red,0,-1,3.9585,1
2022-12-06,PUT,16:00:00,5.79,Bottom-Upper-Red-Red,7.772,5.36,6.3275,None,5.34,Long-Long-Green-Red,1,0.0,None,0.0,Long-Long-Green-Red,0,-1,7.772,1
