Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,P-PUT,11:25:00,192.3772,Bottom-Long-Red-Red,-0.52122,193.38,189.37,11:30:00,193.3799,Long-Bottom-Red-Green,0,192.745,11:50:00,190.1716,Long-Upper-Red-Red,1.3351,1,0.81392,1
2022-10-04,P-CALL,10:25:00,204.31,Long-Long-Red-Red,-1.5516,207.48,194.8,10:45:00,207.48,Long-Long-Green-Green,0,208.02,11:35:00,204.31,Upper-Upper-Green-Red,-1.7835,0,-3.335,0
2022-10-05,CALL,11:45:00,194.0,Long-Long-Green-Green,1.8557,192.8,197.6,12:20:00,197.59999999999997,Long-Bottom-Green-Green,1,0.0,None,0.0,Long-Bottom-Green-Green,0,-1,1.8557,1
2022-10-06,C-PUT,11:25:00,199.86,Long-Long-Green-Green,-1.1958,197.47,207.03,12:10:00,197.47,Bottom-Long-Green-Red,0,197.5375,12:25:00,198.35,Long-Long-Green-Green,-0.41131,0,-1.6072,0
2022-10-07,PUT,10:30:00,191.91,Bottom-Long-Red-Red,2.3603,193.42,187.38,12:35:00,187.38029999999995,Bottom-Long-Green-Red,1,0.0,None,0.0,Bottom-Long-Green-Red,0,-1,2.3603,1
2022-10-10,PUT,09:50:00,189.52,Long-Long-Green-Red,2.7702,191.27,184.27,10:40:00,184.27,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,2.7702,1
2022-10-11,P-CALL,14:55:00,178.03,Long-Long-Red-Red,-1.0111,179.83,172.63,15:50:00,179.83,Long-Long-Green-Green,0,180.125,15:55:00,179.415,Long-Upper-Green-Red,0.77796,1,-0.23311,0
2022-10-12,P-CALL,11:35:00,175.765,Long-Long-Green-Red,-0.65144,176.91,172.33,11:45:00,176.91,Long-Long-Green-Green,0,176.81,14:05:00,180.78499999999997,Upper-Bottom-Green-Green,2.2482,1,1.5967,1
2022-10-13,CALL,09:50:00,171.215,Upper-Long-Green-Green,5.9545,166.61,185.03,15:55:00,181.41,Bottom-Long-Green-Red,1,0.0,None,0.0,Bottom-Long-Green-Red,0,-1,5.9545,1
2022-10-18,C-PUT,14:55:00,190.52,Long-Long-Green-Green,-0.45664,189.65,193.13,15:15:00,189.65,Bottom-Long-Green-Red,0,189.505,15:55:00,190.8,Long-Upper-Red-Green,-0.14697,0,-0.60361,0
2022-10-19,CALL,10:25:00,185.995,Long-Long-Green-Green,-0.49195,181.51,199.45,15:55:00,185.08,Bottom-Long-Green-Green,0,0.0,None,0.0,Bottom-Long-Green-Green,0,-1,-0.49195,0
2022-10-20,PUT,12:10:00,193.57,Long-Long-Red-Red,2.3945,195.12,188.93,14:50:00,188.93499999999995,Long-Upper-Red-Red,1,0.0,None,0.0,Long-Upper-Red-Red,0,-1,2.3945,1
2022-10-21,CALL,11:25:00,181.49,Long-Long-Green-Green,3.0911,179.62,187.1,15:50:00,187.10000000000002,Bottom-Long-Green-Green,1,0.0,None,0.0,Bottom-Long-Green-Green,0,-1,3.0911,1
2022-10-24,P-CALL,13:20:00,181.04,Long-Long-Red-Red,-0.93902,182.74,175.94,14:50:00,182.74,Upper-Long-Green-Red,0,182.46,15:55:00,181.6,Long-Bottom-Red-Red,-0.47134,0,-1.4104,0
2022-10-25,P-CALL,10:45:00,194.24,Long-Bottom-Red-Red,-1.0657,196.31,188.03,11:30:00,196.31,Long-Long-Green-Green,0,196.315,15:15:00,199.80999999999997,Long-Upper-Green-Red,1.7803,1,0.71461,1
2022-10-26,PUT,13:00:00,193.51,Long-Long-Red-Red,1.062,195.87,186.43,15:55:00,191.455,Upper-Upper-Green-Red,1,0.0,None,0.0,Upper-Upper-Green-Red,0,-1,1.062,1
2022-10-27,P-PUT,09:55:00,193.15,Long-Long-Red-Red,-1.9104,196.84,182.08,10:20:00,196.84,Long-Bottom-Green-Green,0,195.26,10:30:00,197.05,Bottom-Upper-Green-Green,-0.91673,0,-2.8272,0
2022-10-28,P-PUT,09:50:00,182.75,Long-Long-Green-Red,-2.5937,187.49,168.53,15:05:00,187.49,Upper-Bottom-Red-Red,0,187.1,15:25:00,187.54,Long-Long-Green-Green,-0.23517,0,-2.8289,0
2022-11-01,PUT,09:50:00,191.22,Long-Long-Green-Red,5.1459,194.5,181.38,12:40:00,181.38,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,5.1459,1
2022-11-02,C-PUT,14:05:00,172.29,Upper-Long-Green-Green,-2.1864,168.52,183.59,14:55:00,168.5231,Long-Long-Red-Red,0,168.68,15:55:00,163.83,Upper-Long-Red-Red,4.9103,1,2.724,1
2022-11-03,PUT,11:20:00,160.48,Long-Long-Red-Red,1.7572,162.31,154.99,15:55:00,157.66,Long-Bottom-Red-Red,1,0.0,None,0.0,Long-Bottom-Red-Red,0,-1,1.7572,1
2022-11-04,P-CALL,10:05:00,147.34,Bottom-Long-Green-Red,-2.5169,151.05,136.21,11:05:00,151.0484,Long-Long-Green-Green,0,150.915,11:15:00,149.1,Long-Long-Red-Red,-1.2027,0,-3.7196,0
2022-11-07,C-PUT,10:05:00,142.6,Long-Long-Green-Green,-2.6367,138.84,153.88,12:00:00,138.84,Long-Long-Red-Red,0,138.72,14:10:00,139.8099,Bottom-Bottom-Green-Red,-0.78568,0,-3.4224,0
2022-11-08,CALL,09:55:00,143.265,Upper-Long-Red-Green,0.59331,139.85,153.51,15:55:00,144.115,Long-Long-Green-Red,1,0.0,None,0.0,Long-Long-Green-Red,0,-1,0.59331,1
