Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,C-PUT,09:50:00,232.4206183,Upper-Long-Green-Green,-0.69789,230.8,237.29,10:00:00,230.79857,Long-Long-Red-Red,0,230.950935,10:05:00,232.5221622,Long-Long-Red-Green,-0.68033,0,-1.3782,0
2022-10-04,CALL,09:50:00,243.24335,Upper-Long-Red-Green,0.48151,241.51,248.45,15:55:00,244.4145945,Bottom-Long-Green-Green,1,0.0,None,0.0,Bottom-Long-Green-Green,0,-1,0.48151,1
2022-10-05,CALL,11:25:00,241.3931474,Long-Long-Green-Green,1.4389,240.24,244.87,14:30:00,244.86647960000005,Upper-Long-Green-Green,1,0.0,None,0.0,Upper-Long-Green-Green,0,-1,1.4389,1
2022-10-06,C-CALL,10:50:00,244.2935872,Long-Long-Green-Green,-0.38162,243.36,247.09,13:40:00,243.36131,Long-Upper-Red-Red,0,243.55791,13:55:00,244.20669,Long-Upper-Green-Red,0.26638,1,-0.11525,0
2022-10-10,CALL,13:50:00,225.92289,Long-Long-Red-Green,0.0065266,224.28,230.85,15:55:00,225.937635,Bottom-Upper-Green-Red,1,0.0,None,0.0,Bottom-Upper-Green-Red,0,-1,0.0065266,1
2022-10-11,P-CALL,10:50:00,222.08919,Bottom-Long-Red-Red,-0.52671,223.26,218.58,11:20:00,223.25896,Upper-Long-Red-Green,0,223.05253,11:50:00,225.08733999999998,Long-Bottom-Green-Green,0.91226,1,0.38554,1
2022-10-12,P-PUT,10:10:00,221.42075,Long-Long-Red-Red,-0.59933,222.75,217.44,13:50:00,222.7478,Long-Bottom-Green-Green,0,222.86576,14:05:00,222.09901999999997,Long-Bottom-Red-Red,0.34404,1,-0.2553,0
2022-10-17,PUT,10:00:00,233.148923,Long-Long-Red-Red,-0.24412,234.9,227.9,15:55:00,233.71808,Upper-Long-Green-Green,0,0.0,None,0.0,Upper-Long-Green-Green,0,-1,-0.24412,0
2022-10-19,C-PUT,09:55:00,234.01298,Long-Long-Red-Green,-0.46207,232.93,237.26,10:00:00,232.93168,Long-Long-Green-Red,0,233.14794,10:15:00,234.38652,Long-Long-Green-Green,-0.53124,0,-0.99331,0
2022-10-20,PUT,12:10:00,234.40618,Long-Long-Red-Red,1.4971,235.58,230.9,14:50:00,230.89687,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,1.4971,1
2022-10-21,P-CALL,11:00:00,231.953595,Bottom-Long-Red-Red,-0.73528,233.66,226.84,11:45:00,233.6591,Long-Long-Red-Green,0,233.63944,14:10:00,237.73855000000006,Long-Long-Green-Green,1.7545,1,1.0192,1
2022-10-24,P-CALL,10:05:00,238.78053,Long-Long-Red-Red,-1.1115,241.43,230.82,11:55:00,241.43463,Upper-Long-Red-Green,0,241.48378,15:55:00,242.2823692,Long-Long-Red-Red,1.4666,1,0.35503,1
2022-10-25,CALL,09:50:00,244.1772,Upper-Long-Green-Green,0.69243,241.65,251.76,15:55:00,245.86796,Upper-Bottom-Red-Red,1,0.0,None,0.0,Upper-Bottom-Red-Red,0,-1,0.69243,1
2022-10-26,P-CALL,09:55:00,227.19096,Bottom-Long-Green-Red,-0.96054,229.37,220.64,10:20:00,229.37322,Long-Upper-Green-Green,0,229.35356,15:55:00,228.0781175,Long-Long-Red-Red,0.39049,1,-0.57005,0
2022-10-27,PUT,10:40:00,225.08734,Long-Long-Red-Red,0.98262,226.81,219.93,15:55:00,222.87559,Upper-Long-Red-Red,1,0.0,None,0.0,Upper-Long-Red-Red,0,-1,0.98262,1
2022-10-28,P-PUT,10:00:00,225.338005,Long-Long-Red-Red,-0.69994,226.92,220.61,10:25:00,226.9152285,Bottom-Long-Green-Green,0,227.5645,10:30:00,227.63331,Long-Bottom-Green-Green,-0.030238,0,-0.73017,0
2022-11-02,PUT,14:55:00,221.16517,Bottom-Long-Red-Red,1.8045,224.97,209.75,15:55:00,217.17419,Upper-Long-Red-Red,1,0.0,None,0.0,Upper-Long-Red-Red,0,-1,1.8045,1
2022-11-03,PUT,10:55:00,214.06791,Long-Long-Green-Red,1.2398,214.95,211.41,15:50:00,211.41381000000007,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,1.2398,1
2022-11-04,CALL,10:00:00,212.71137,Long-Long-Green-Green,1.9865,209.97,220.94,15:55:00,216.9367955,Bottom-Upper-Red-Green,1,0.0,None,0.0,Bottom-Upper-Red-Green,0,-1,1.9865,1
2022-11-07,P-PUT,09:50:00,218.751905,Long-Bottom-Green-Red,-0.31231,219.44,216.7,09:55:00,219.43509,Bottom-Long-Red-Green,0,219.49407,10:00:00,219.5039,Long-Long-Green-Green,-0.0044785,0,-0.31679,0
2022-11-08,C-PUT,09:50:00,225.1281345,Upper-Long-Red-Green,-0.6519,223.66,229.53,14:00:00,223.6605155,Bottom-Long-Green-Red,0,223.49488,15:20:00,224.89074,Upper-Long-Green-Green,-0.62456,0,-1.2765,0
2022-11-09,P-CALL,10:00:00,223.31794,Long-Long-Red-Red,-0.33013,224.06,221.11,10:10:00,224.05519,Long-Long-Green-Green,0,224.3106717,10:35:00,223.0427,Long-Long-Red-Red,-0.56527,0,-0.89541,0
2022-11-10,CALL,09:50:00,233.74757,Upper-Long-Red-Green,1.9289,231,241.98,15:55:00,238.2563944,Upper-Long-Green-Green,1,0.0,None,0.0,Upper-Long-Green-Green,0,-1,1.9289,1
2022-11-11,P-PUT,11:10:00,240.25503,Bottom-Long-Red-Red,-0.68737,241.91,235.3,12:25:00,241.90647,Bottom-Bottom-Green-Green,0,241.70987,12:30:00,241.92613,Bottom-Upper-Green-Green,-0.089471,0,-0.77684,0
2022-11-14,CALL,09:55:00,236.95215,Upper-Long-Red-Green,0.5725,235.63,240.93,15:55:00,238.30869,Long-Bottom-Red-Red,1,0.0,None,0.0,Long-Bottom-Red-Red,0,-1,0.5725,1
2022-11-15,PUT,11:45:00,240.76619,Long-Long-Red-Red,0.73135,241.35,239.01,13:25:00,239.00534209999995,Long-Upper-Red-Red,1,0.0,None,0.0,Long-Upper-Red-Red,0,-1,0.73135,1
