Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-11-02,CALL,09:50:00,25.984,Bottom-Long-Green-Green,4.4066,25.526,27.129,14:10:00,27.129000000000005,Long-Bottom-Green-Green,1,0.0,None,0.0,Long-Bottom-Green-Green,0,-1,4.4066,1
2022-11-03,CALL,10:00:00,24.64,Bottom-Bottom-Green-Green,0.27902,24.585,24.709,10:05:00,24.708750000000002,Bottom-Long-Green-Green,1,0.0,None,0.0,Bottom-Long-Green-Green,0,-1,0.27902,1
2022-11-04,P-NULL,10:20:00,25.87801,Long-Bottom-Green-Red,-0.28978,25.953,25.784,10:25:00,25.953,Bottom-Long-Red-Green,0,26.31001,None,0.0,Bottom-Long-Red-Green,0,-1,-0.28978,0
2022-11-07,P-NULL,10:10:00,26.5215,Long-Long-Green-Red,-0.67304,26.7,26.075,10:20:00,26.7,Upper-Bottom-Green-Red,0,26.5785,None,0.0,Upper-Bottom-Green-Red,0,-1,-0.67304,0
2022-11-08,P-NULL,10:00:00,23.15,Long-Long-Green-Red,-2.6091,23.754,21.64,11:05:00,23.754,Long-Long-Green-Green,0,23.796,None,0.0,Long-Long-Green-Green,0,-1,-2.6091,0
2022-11-09,PUT,10:35:00,19.337,Long-Long-Red-Red,12.137,20.516,16.39,15:55:00,16.99,Long-Bottom-Red-Green,1,0.0,None,0.0,Long-Bottom-Red-Green,0,-1,12.137,1
2022-11-10,PUT,10:35:00,18.794,Long-Long-Red-Red,6.7307,19.3,17.529,15:05:00,17.529024999999997,Upper-Long-Red-Red,1,0.0,None,0.0,Upper-Long-Red-Red,0,-1,6.7307,1
2022-11-11,CALL,09:50:00,17.0765,Long-Long-Red-Green,2.8548,15.958,18.475,15:55:00,17.564,Bottom-Upper-Green-Green,1,0.0,None,0.0,Bottom-Upper-Green-Green,0,-1,2.8548,1
2022-11-14,CALL,09:50:00,17.211,Long-Upper-Red-Green,1.7431,17.091,17.511,10:05:00,17.510999999999992,Long-Upper-Green-Green,1,0.0,None,0.0,Long-Upper-Green-Green,0,-1,1.7431,1
2022-11-15,C-NULL,10:00:00,17.53,Bottom-Long-Red-Green,-1.5973,17.25,18.23,11:05:00,17.25,Bottom-Long-Green-Red,0,17.199,None,0.0,Bottom-Long-Green-Red,0,-1,-1.5973,0
2022-11-16,CALL,10:05:00,16.258,Upper-Bottom-Green-Green,2.6602,16.085,16.69,11:45:00,16.690499999999993,Upper-Long-Red-Green,1,0.0,None,0.0,Upper-Long-Red-Green,0,-1,2.6602,1
2022-11-17,CALL,09:50:00,16.689,Bottom-Long-Green-Green,4.3292,16.232,17.832,15:55:00,17.4115,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,4.3292,1
2022-11-18,C-PUT,09:55:00,17.315,Long-Upper-Red-Green,-0.60058,17.211,17.575,10:05:00,17.21101,Long-Long-Red-Red,0,17.1195,11:35:00,16.598499999999998,Long-Long-Red-Red,3.0433,1,2.4427,1
2022-11-22,P-CALL,10:00:00,15.80416,Bottom-Long-Red-Red,-0.79625,15.93,15.49,10:05:00,15.93,Long-Long-Red-Green,0,16.091,11:25:00,16.664680000000004,Upper-Long-Red-Green,3.5652,1,2.769,1
2022-11-23,C-NULL,09:50:00,16.95,Long-Long-Red-Green,-1.646,16.671,17.648,12:00:00,16.671,Long-Upper-Red-Red,0,16.6945,None,0.0,Long-Upper-Red-Red,0,-1,-1.646,0
2022-11-28,C-NULL,12:15:00,17.319,Bottom-Bottom-Red-Green,-0.22374,17.35,17.28,12:20:00,17.280249999999995,Bottom-Long-Green-Green,1,17.4225,None,0.0,Bottom-Long-Green-Green,0,-1,-0.22374,0
2022-11-29,C-PUT,10:00:00,18.0,Long-Long-Red-Green,-6.9444e-05,18,18,10:05:00,17.9999875,Long-Long-Green-Red,1,17.90045,None,0.0,Long-Long-Green-Red,0,-1,-6.9444e-05,0
2022-12-02,CALL,10:00:00,19.792,Bottom-Long-Red-Green,2.7347,19.576,20.333,10:40:00,20.33325,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,2.7347,1
2022-12-02,PUT,16:00:00,20.694,Long-Long-Green-Red,6.0114,19.451,22.248,None,19.45,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,6.0114,1
2022-12-06,P-CALL,13:55:00,19.11351,Long-Long-Green-Red,-0.32694,19.176,19.035,14:05:00,19.176,Upper-Long-Green-Green,0,19.171,14:10:00,19.092,Long-Long-Green-Red,-0.41208,0,-0.73902,0
2022-12-07,C-NULL,10:10:00,19.375,Long-Long-Green-Green,-1.2645,19.13,19.988,12:45:00,19.13,Long-Upper-Red-Red,0,19.146,None,0.0,Long-Upper-Red-Red,0,-1,-1.2645,0
2022-12-08,CALL,09:50:00,19.1745,Long-Bottom-Green-Green,1.9753,19.023,19.553,10:00:00,19.553249999999995,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,1.9753,1
2022-12-12,C-NULL,09:50:00,19.739,Long-Long-Red-Green,-1.1196,19.518,20.291,13:15:00,19.518,Bottom-Long-Red-Red,0,19.5,None,0.0,Bottom-Long-Red-Red,0,-1,-1.1196,0
2022-12-13,PUT,09:50:00,21.03,Long-Bottom-Green-Red,0.16049,21.057,20.996,09:55:00,20.996250000000003,Bottom-Long-Red-Red,1,0.0,None,0.0,Bottom-Long-Red-Red,0,-1,0.16049,1
2022-12-14,P-CALL,12:30:00,20.742,Long-Long-Red-Red,-0.3881,20.823,20.641,13:05:00,20.8225,Long-Long-Red-Green,0,20.929,13:40:00,21.344999999999995,Long-Long-Green-Green,1.9877,1,1.5996,1
2022-12-15,CALL,11:45:00,18.979,Bottom-Long-Red-Green,0.29638,18.934,19.035,11:50:00,19.035249999999998,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,0.29638,1
2022-12-16,PUT,09:50:00,18.25925,Long-Long-Green-Red,2.4609,18.439,17.81,11:45:00,17.809900000000006,Bottom-Bottom-Red-Red,1,0.0,None,0.0,Bottom-Bottom-Red-Red,0,-1,2.4609,1
2022-12-19,C-NULL,10:00:00,17.223,Long-Long-Green-Green,-1.9277,16.891,18.053,14:00:00,16.891,Bottom-Upper-Green-Red,0,16.901,None,0.0,Bottom-Upper-Green-Red,0,-1,-1.9277,0
2022-12-20,P-NULL,10:05:00,17.35201,Long-Bottom-Green-Red,0.086503,17.337,17.371,10:10:00,17.337,Bottom-Long-Red-Green,0,17.491,None,0.0,Bottom-Long-Red-Green,0,-1,0.086503,1
2022-12-21,P-CALL,10:05:00,16.888,Long-Upper-Red-Red,-0.85262,17.032,16.528,10:15:00,17.03199,Upper-Long-Green-Green,0,17.052,11:50:00,16.94081,Bottom-Long-Red-Red,-0.65206,0,-1.5047,0
2022-12-22,C-PUT,10:30:00,16.3975,Bottom-Long-Red-Green,-0.46044,16.322,16.492,10:35:00,16.322,Long-Long-Green-Green,0,16.348,11:00:00,16.248999999999995,Long-Upper-Red-Green,0.60558,1,0.14514,1
2022-12-23,C-NULL,11:05:00,16.385,Long-Long-Red-Green,-0.89716,16.238,16.753,12:00:00,16.238,Long-Long-Red-Red,0,16.258,None,0.0,Long-Long-Red-Red,0,-1,-0.89716,0
2022-12-27,C-NULL,10:25:00,15.725,Bottom-Long-Green-Green,-0.83307,15.594,16.053,10:35:00,15.594,Long-Upper-Red-Green,0,15.686,None,0.0,Long-Upper-Red-Green,0,-1,-0.83307,0
2022-12-28,CALL,10:00:00,14.84,Bottom-Bottom-Red-Green,0.50539,14.78,14.915,10:05:00,14.915000000000001,Bottom-Bottom-Green-Green,1,0.0,None,0.0,Bottom-Bottom-Green-Green,0,-1,0.50539,1
2022-12-29,P-NULL,13:05:00,13.6375,Long-Long-Green-Red,-0.78306,13.744,13.371,13:15:00,13.74429,Long-Long-Green-Green,0,13.745,None,0.0,Long-Long-Green-Green,0,-1,-0.78306,0
2023-01-03,C-PUT,09:55:00,14.474,Long-Bottom-Red-Green,-0.57621,14.391,14.683,10:00:00,14.3906,Bottom-Long-Green-Red,0,14.35286,15:55:00,14.534,Long-Long-Green-Green,-0.41454,0,-0.99074,0
2023-01-04,C-NULL,10:10:00,14.811,Long-Long-Red-Green,-0.47937,14.74,14.9,10:15:00,14.74,Long-Upper-Green-Green,0,14.852,None,0.0,Long-Upper-Green-Green,0,-1,-0.47937,0
2023-01-06,PUT,10:25:00,15.0625,Long-Long-Green-Red,0.3112,15.1,15.016,10:30:00,15.015625,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,0.3112,1
2023-01-09,P-CALL,10:20:00,17.139,Long-Bottom-Red-Red,-1.5286,17.401,16.484,10:35:00,17.40099,Long-Long-Green-Green,0,17.52001,15:55:00,17.453,Bottom-Long-Red-Green,1.8321,1,0.30346,1
