Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,C-PUT,09:50:00,56.37,Upper-Long-Green-Green,-1.8272,55.34,59.46,10:00:00,55.34,Long-Long-Red-Red,0,55.28,15:55:00,55.78,Bottom-Long-Red-Red,1.0467,1,-0.78056,0
2022-10-04,P-CALL,10:20:00,59.165,Bottom-Long-Green-Red,-1.293,59.93,56.87,10:45:00,59.93,Long-Long-Green-Green,0,60.43,13:20:00,59.015,Bottom-Long-Red-Red,-2.3416,0,-3.6345,0
2022-10-06,PUT,09:50:00,62.0655,Long-Long-Green-Red,1.6362,62.95,59.412,15:55:00,61.05,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,1.6362,1
2022-10-10,PUT,09:55:00,54.0,Long-Long-Red-Red,5.5556,55,51,12:40:00,51.0,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,5.5556,1
2022-10-11,P-CALL,14:55:00,49.03,Long-Long-Red-Red,-1.132,49.585,47.365,15:40:00,49.585,Long-Long-Green-Green,0,49.64,15:55:00,49.92,Upper-Upper-Green-Green,1.8152,1,0.68326,1
2022-10-13,P-CALL,10:30:00,47.75,Long-Long-Red-Red,-2.0942,48.75,44.75,11:10:00,48.75,Long-Long-Green-Green,0,49.1,15:55:00,49.91,Bottom-Upper-Green-Red,4.5236,1,2.4293,1
2022-10-18,C-CALL,10:10:00,54.151,Long-Long-Red-Green,-1.0729,53.57,55.894,10:30:00,53.57,Upper-Long-Red-Red,0,53.57,10:35:00,53.51,Long-Long-Red-Red,-0.112,0,-1.1849,0
2022-10-19,C-CALL,09:55:00,51.94,Long-Long-Green-Green,-2.0216,50.89,55.09,13:10:00,50.89,Long-Upper-Red-Green,0,51.06,13:15:00,50.87,Upper-Long-Green-Red,-0.37211,0,-2.3937,0
2022-10-20,PUT,13:10:00,53.93,Long-Long-Green-Red,0.40794,54.39,52.55,15:55:00,53.71,Upper-Bottom-Green-Green,1,0.0,None,0.0,Upper-Bottom-Green-Green,0,-1,0.40794,1
2022-10-24,C-PUT,10:00:00,53.7,Upper-Long-Green-Green,-1.0801,53.12,55.44,10:05:00,53.12,Long-Long-Green-Red,0,52.83,10:55:00,53.79,Bottom-Long-Red-Green,-1.8171,0,-2.8972,0
2022-10-25,CALL,13:35:00,56.91,Long-Long-Green-Green,1.2564,56.45,58.29,15:55:00,57.625,Long-Long-Green-Red,1,0.0,None,0.0,Long-Long-Green-Red,0,-1,1.2564,1
2022-10-26,PUT,12:55:00,56.81,Long-Long-Red-Red,1.7427,57.51,54.71,15:55:00,55.82,Long-Long-Green-Red,1,0.0,None,0.0,Long-Long-Green-Red,0,-1,1.7427,1
2022-10-27,PUT,09:55:00,56.2,Long-Long-Red-Red,0.14235,57.12,53.44,15:55:00,56.12,Upper-Long-Red-Red,1,0.0,None,0.0,Upper-Long-Red-Red,0,-1,0.14235,1
2022-10-28,P-CALL,09:50:00,53.9,Long-Long-Green-Red,-1.41,54.66,51.62,14:45:00,54.66,Long-Long-Green-Green,0,54.69,15:55:00,55.35,Long-Bottom-Green-Red,2.6902,1,1.2801,1
2022-11-01,PUT,09:50:00,58.8,Long-Long-Green-Red,5.034,60.09,54.93,15:55:00,55.84,Upper-Long-Green-Red,1,0.0,None,0.0,Upper-Long-Green-Red,0,-1,5.034,1
