Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,P-CALL,10:40:00,235.22,Bottom-Long-Green-Red,-0.6207,236.68,230.84,11:15:00,236.68,Long-Long-Green-Green,0,236.8748,15:55:00,239.74,Bottom-Long-Red-Red,1.9216,1,1.3009,1
2022-10-04,P-PUT,11:50:00,238.45,Long-Long-Red-Red,-0.71294,240.15,233.35,12:15:00,240.15,Bottom-Bottom-Red-Green,0,239.71,12:30:00,240.23,Upper-Long-Red-Green,-0.21693,0,-0.92987,0
2022-10-05,CALL,12:45:00,232.075,Long-Long-Green-Green,1.18,231.16,234.81,14:20:00,234.81339999999992,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,1.18,1
2022-10-06,P-CALL,10:05:00,235.985,Long-Long-Red-Red,-1.7649,240.15,223.49,13:20:00,240.15,Long-Long-Green-Green,0,240.09,15:55:00,239.5,Long-Long-Red-Red,1.4895,1,-0.27544,0
2022-10-07,C-PUT,10:25:00,234.0338,Long-Long-Green-Green,-0.78356,232.2,239.54,10:40:00,232.2,Long-Long-Red-Red,0,231.8,10:50:00,233.49,Long-Long-Green-Green,-0.72908,0,-1.5126,0
2022-10-10,C-PUT,11:50:00,229.2999,Long-Long-Green-Green,-0.81845,227.42,234.93,12:30:00,227.4232,Long-Long-Red-Red,0,227.34,13:25:00,228.53,Long-Long-Green-Green,-0.52345,0,-1.3419,0
2022-10-11,C-CALL,11:50:00,219.45,Long-Long-Green-Green,-0.97061,217.32,225.84,12:10:00,217.32,Long-Upper-Red-Red,0,217.88,12:25:00,220.10000000000002,Long-Long-Green-Green,1.0189,1,0.048301,1
2022-10-12,P-CALL,10:40:00,215.93,Long-Long-Green-Red,-1.1577,218.43,208.43,11:20:00,218.4299,Long-Long-Green-Green,0,218.2199,12:25:00,222.76459999999994,Long-Bottom-Green-Green,2.0826,1,0.92489,1
2022-10-13,CALL,09:50:00,216.2095,Long-Long-Green-Green,5.8409,212,228.84,13:05:00,228.83799999999997,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,5.8409,1
2022-10-14,C-PUT,10:00:00,235.725,Long-Long-Green-Green,-1.5336,232.11,246.57,10:05:00,232.11,Long-Long-Green-Red,0,233.525,11:45:00,235.83,Long-Bottom-Green-Red,-0.98705,0,-2.5206,0
2022-10-17,P-CALL,11:10:00,240.9899,Bottom-Long-Green-Red,-0.8009,242.92,235.2,11:25:00,242.92,Upper-Long-Green-Green,0,243.0,11:55:00,246.93,Long-Long-Green-Green,1.6173,1,0.81638,1
2022-10-18,C-CALL,14:30:00,243.4905,Upper-Long-Red-Green,-0.71071,241.76,248.68,14:40:00,241.76,Upper-Long-Red-Red,0,241.8178,14:45:00,241.71,Long-Long-Red-Red,-0.044579,0,-0.75528,0
2022-10-19,PUT,12:00:00,273.7348,Long-Bottom-Red-Red,0.56295,276,266.94,15:55:00,272.1938,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,0.56295,1
2022-10-20,C-CALL,10:20:00,274.21,Long-Long-Green-Green,-1.7651,269.37,288.73,13:10:00,269.37,Long-Upper-Red-Red,0,270.265,13:55:00,269.22,Long-Bottom-Red-Red,-0.38666,0,-2.1517,0
2022-10-24,CALL,12:00:00,284.36,Long-Long-Green-Green,-0.68311,281.85,291.89,15:55:00,282.4175,Long-Long-Red-Red,0,0.0,None,0.0,Long-Long-Red-Red,0,-1,-0.68311,0
2022-10-25,CALL,09:50:00,292.53,Long-Long-Green-Green,-0.56746,286.26,311.34,15:55:00,290.87,Long-Long-Red-Red,0,0.0,None,0.0,Long-Long-Red-Red,0,-1,-0.56746,0
2022-10-26,CALL,13:20:00,300.65,Long-Long-Red-Green,0.89805,299.75,303.35,14:15:00,303.3499999999999,Long-Bottom-Green-Green,1,0.0,None,0.0,Long-Bottom-Green-Green,0,-1,0.89805,1
2022-10-27,CALL,10:05:00,299.75,Upper-Long-Green-Green,-0.69058,295.03,313.91,15:55:00,297.68,Long-Long-Red-Red,0,0.0,None,0.0,Long-Long-Red-Red,0,-1,-0.69058,0
2022-10-28,PUT,09:50:00,298.177,Bottom-Long-Red-Red,0.82568,300.33,291.72,15:55:00,295.715,Upper-Long-Green-Green,1,0.0,None,0.0,Upper-Long-Green-Green,0,-1,0.82568,1
