Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,CALL,09:50:00,59.440578,Long-Long-Red-Green,2.2282,58.999,60.765,13:50:00,60.76503750000001,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,2.2282,1
2022-10-04,P-CALL,13:10:00,63.302372,Long-Long-Red-Red,-0.37554,63.54,62.589,13:55:00,63.5400955,Long-Long-Green-Green,0,63.583759,15:55:00,63.777819,Long-Long-Red-Green,0.75107,1,0.37554,1
2022-10-05,P-CALL,10:05:00,63.438214,Long-Long-Green-Red,-0.50474,63.758,62.478,10:25:00,63.758413,Long-Long-Red-Green,0,63.690492,11:00:00,63.515838,Upper-Long-Green-Red,-0.27422,0,-0.77896,0
2022-10-06,PUT,09:50:00,64.505544,Bottom-Long-Red-Red,1.4892,64.826,63.545,14:20:00,63.54494699999999,Bottom-Long-Green-Red,1,0.0,None,0.0,Bottom-Long-Green-Red,0,-1,1.4892,1
2022-10-07,C-CALL,10:50:00,62.322369,Long-Long-Green-Green,-0.32695,62.119,62.934,11:20:00,62.118606,Upper-Long-Green-Red,0,62.108903,11:25:00,62.152566499999985,Long-Bottom-Red-Red,0.070302,1,-0.25665,0
2022-10-10,C-PUT,10:30:00,61.41999,Long-Long-Green-Green,-0.42654,61.158,62.206,10:40:00,61.158009,Long-Long-Red-Red,0,60.89845375,15:55:00,60.915434,Long-Upper-Green-Green,0.82148,1,0.39494,1
2022-10-11,P-PUT,10:20:00,60.3021807,Long-Bottom-Green-Red,-0.14556,60.39,60.039,10:30:00,60.3899568,Upper-Bottom-Red-Green,0,60.3119336,10:35:00,60.4094626,Bottom-Bottom-Green-Green,-0.16171,0,-0.30727,0
2022-10-12,P-PUT,14:50:00,62.1454788,Long-Long-Red-Red,-0.36095,62.37,61.473,15:35:00,62.3697955,Bottom-Long-Green-Green,0,62.44294225,15:40:00,62.42831290000001,Long-Bottom-Green-Red,0.023428,1,-0.33753,0
2022-10-13,P-CALL,10:25:00,61.2287062,Long-Long-Red-Red,-0.83625,61.741,59.693,11:15:00,61.74073345,Long-Long-Green-Green,0,61.8236331,13:30:00,63.652301850000015,Long-Long-Green-Green,2.9579,1,2.1216,1
2022-10-14,PUT,10:05:00,64.3593871,Bottom-Long-Green-Red,2.167,64.969,62.531,15:55:00,62.9647224,Upper-Bottom-Red-Red,1,0.0,None,0.0,Upper-Bottom-Red-Red,0,-1,2.167,1
2022-10-17,P-CALL,11:10:00,65.2664068,Bottom-Long-Green-Red,-0.32128,65.476,64.637,11:45:00,65.47609415,Upper-Long-Green-Green,0,65.59312895,14:55:00,65.31809717,Long-Long-Red-Red,-0.4193,0,-0.74058,0
2022-10-18,C-PUT,14:30:00,65.43708255,Long-Long-Green-Green,-0.45458,65.14,66.329,14:40:00,65.1396191,Long-Long-Red-Red,0,65.1688778,15:35:00,65.441959,Long-Long-Green-Green,-0.41904,0,-0.87362,0
2022-10-20,P-PUT,12:05:00,66.6708244,Long-Long-Red-Red,-0.38034,66.924,65.91,13:00:00,66.9243998,Bottom-Long-Red-Green,0,67.0706933,13:05:00,67.1292107,Long-Long-Green-Green,-0.087247,0,-0.46759,0
2022-10-21,P-CALL,10:30:00,69.3918835,Long-Long-Red-Red,-0.86437,69.992,67.592,10:45:00,69.99168685,Long-Long-Green-Red,0,69.8697756,11:00:00,69.6064473,Bottom-Long-Green-Red,-0.37688,0,-1.2413,0
2022-10-24,C-PUT,09:55:00,71.5960389,Long-Long-Green-Green,-0.90587,70.947,73.542,10:05:00,70.94747105,Long-Long-Red-Red,0,71.1278997,15:55:00,71.1278997,Long-Long-Red-Red,0.65386,1,-0.25201,0
2022-10-25,PUT,10:05:00,71.6545563,Bottom-Long-Red-Red,0.40833,72.152,70.162,15:55:00,71.3619693,Bottom-Long-Red-Red,1,0.0,None,0.0,Bottom-Long-Red-Red,0,-1,0.40833,1
2022-10-27,C-PUT,10:30:00,73.554811336,Upper-Long-Green-Green,-0.53833,73.159,74.743,11:30:00,73.158843596,Bottom-Long-Green-Red,0,73.2247732,14:05:00,72.72737529999999,Long-Upper-Red-Red,0.67928,1,0.14095,1
2022-10-28,P-PUT,10:10:00,74.11716355,Bottom-Long-Red-Red,-0.74347,74.668,72.464,10:35:00,74.6682024,Bottom-Long-Green-Green,0,74.6682024,10:40:00,74.73744799,Long-Long-Green-Green,-0.092738,0,-0.83621,0
2022-11-02,PUT,10:55:00,74.7462256,Bottom-Long-Green-Red,0.78288,74.941,74.161,12:30:00,74.1610516,Long-Upper-Red-Red,1,0.0,None,0.0,Long-Upper-Red-Red,0,-1,0.78288,1
2022-11-03,P-PUT,14:05:00,73.14675,Long-Bottom-Red-Red,-0.28,73.352,72.532,15:05:00,73.3515609,Long-Bottom-Green-Red,0,73.28816705,15:30:00,73.36619025,Long-Upper-Green-Red,-0.10646,0,-0.38646,0
2022-11-04,C-PUT,10:00:00,74.0440168,Upper-Long-Green-Green,-0.76396,73.478,75.741,11:40:00,73.4783486,Bottom-Long-Red-Red,0,73.4490899,12:00:00,72.65910500000001,Long-Long-Red-Red,1.0756,1,0.31159,1
2022-11-07,C-PUT,11:00:00,74.0342639,Long-Long-Green-Green,-0.42155,73.722,74.971,12:10:00,73.7221711,Long-Long-Green-Green,0,73.926982,12:15:00,74.26345705,Long-Bottom-Green-Green,-0.45515,1,-0.8767,0
2022-11-08,C-CALL,09:55:00,74.31222155,Long-Long-Green-Green,-0.77433,73.737,76.038,12:10:00,73.73680045,Bottom-Upper-Green-Red,0,73.7904414,12:15:00,73.7221711,Upper-Long-Red-Red,-0.092519,0,-0.86685,0
2022-11-09,P-PUT,10:45:00,74.0635226,Long-Long-Red-Red,-0.55307,74.473,72.835,11:10:00,74.4731444,Bottom-Long-Green-Green,0,74.52678535,11:15:00,74.49752664999997,Long-Bottom-Green-Green,0.039259,1,-0.51381,0
2022-11-10,C-PUT,10:00:00,75.5654692,Upper-Long-Red-Green,-0.73567,75.01,77.233,14:30:00,75.0095539,Long-Long-Red-Red,0,75.0193068,15:55:00,75.2241177,Upper-Long-Green-Green,0.45173,1,-0.28394,0
2022-11-11,P-PUT,10:00:00,75.1265887,Long-Long-Green-Red,-0.81786,75.741,73.283,14:10:00,75.7410214,Long-Bottom-Green-Red,0,75.64836885,14:25:00,75.780033,Long-Long-Green-Green,-0.17405,0,-0.99191,0
2022-11-14,CALL,09:50:00,75.7312685,Upper-Long-Red-Green,1.217,75.424,76.653,11:45:00,76.65291755000001,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,1.217,1
2022-11-15,C-PUT,13:05:00,77.9061652,Upper-Long-Red-Green,-0.23786,77.721,78.462,13:15:00,77.7208601,Long-Long-Red-Red,0,77.7013543,15:55:00,77.2234622,Long-Long-Red-Red,0.87631,1,0.63846,1
2022-11-16,P-PUT,10:00:00,77.7013543,Bottom-Long-Green-Red,-0.55228,78.13,76.414,13:15:00,78.1304819,Long-Bottom-Green-Red,0,78.1109761,14:35:00,77.70135429999999,Bottom-Long-Green-Red,0.52441,1,-0.027868,0
2022-11-18,P-CALL,14:50:00,77.4185202,Bottom-Long-Green-Red,-0.17637,77.555,77.009,15:00:00,77.5550608,Long-Long-Green-Green,0,77.6135782,15:55:00,77.55993725,Upper-Long-Red-Red,0.18267,1,0.0062988,1
2022-11-21,CALL,11:00:00,77.3502499,Long-Long-Green-Green,0.68087,77.175,77.877,13:15:00,77.87690649999999,Long-Bottom-Green-Green,1,0.0,None,0.0,Long-Bottom-Green-Green,0,-1,0.68087,1
2022-11-23,CALL,10:35:00,80.28782338,Long-Long-Green-Green,0.57214,80.135,80.747,11:10:00,80.74718497000003,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,0.57214,1
2022-11-28,PUT,09:50:00,79.8274865,Long-Long-Green-Red,0.68418,80.11,78.979,15:55:00,79.2813241,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,0.68418,1
