Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,P-CALL,10:00:00,167.64,Long-Long-Red-Red,-1.1293,169.53,161.96,14:20:00,169.5332,Long-Long-Green-Green,0,169.5,15:55:00,170.0625,Long-Upper-Red-Green,1.4451,1,0.31574,1
2022-10-04,C-PUT,09:55:00,174.38,Long-Long-Red-Green,-0.98348,172.66,179.53,13:20:00,172.665,Long-Long-Red-Red,0,172.64,13:35:00,173.49,Long-Long-Green-Green,-0.49235,0,-1.4758,0
2022-10-05,P-PUT,09:55:00,172.52,Long-Bottom-Green-Red,-0.40569,173.22,170.42,12:00:00,173.2199,Long-Bottom-Green-Green,0,173.25,12:10:00,173.53,Upper-Long-Red-Green,-0.16162,0,-0.56731,0
2022-10-06,PUT,10:00:00,177.375,Long-Long-Green-Red,1.4405,179,172.5,15:55:00,174.82,Bottom-Bottom-Red-Green,1,0.0,None,0.0,Bottom-Bottom-Red-Green,0,-1,1.4405,1
2022-10-07,P-PUT,10:20:00,172.0313,Long-Long-Green-Red,-0.39452,172.71,170,10:25:00,172.71,Long-Bottom-Red-Green,0,172.395,11:10:00,171.09,Bottom-Long-Red-Red,0.75698,1,0.36246,1
2022-10-10,C-CALL,13:55:00,164.3674,Long-Long-Green-Green,-0.8015,163.05,168.32,14:25:00,163.05,Bottom-Upper-Red-Red,0,163.16,14:35:00,163.79000000000002,Long-Long-Green-Green,0.38612,1,-0.41537,0
2022-10-11,CALL,10:55:00,157.91,Upper-Long-Red-Green,1.4819,157.13,160.25,11:25:00,160.25,Long-Bottom-Green-Green,1,0.0,None,0.0,Long-Bottom-Green-Green,0,-1,1.4819,1
2022-10-12,PUT,09:55:00,155.8,Long-Long-Red-Red,0.012837,157.67,150.19,15:55:00,155.78,Bottom-Long-Red-Green,1,0.0,None,0.0,Bottom-Long-Red-Green,0,-1,0.012837,1
2022-10-13,CALL,09:50:00,150.49,Long-Long-Green-Green,4.9439,148.01,157.93,11:40:00,157.93000000000006,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,4.9439,1
2022-10-14,C-CALL,14:00:00,156.3,Upper-Long-Green-Green,-0.34549,155.76,157.92,14:20:00,155.76,Upper-Long-Red-Red,0,155.505,14:25:00,155.58,Long-Long-Red-Green,0.04823,1,-0.29726,0
2022-10-17,C-PUT,11:40:00,159.7,Long-Long-Green-Green,-0.23168,159.33,160.81,12:20:00,159.33,Long-Long-Red-Red,0,159.2,15:55:00,158.92,Long-Long-Red-Green,0.48842,1,0.25673,1
2022-10-18,PUT,10:35:00,164.895,Long-Long-Red-Red,1.1735,166.53,159.99,15:55:00,162.96,Upper-Bottom-Green-Red,1,0.0,None,0.0,Upper-Bottom-Green-Red,0,-1,1.1735,1
2022-10-19,C-PUT,09:55:00,162.78,Long-Long-Red-Green,-0.84163,161.41,166.89,13:05:00,161.41,Long-Long-Red-Red,0,160.88,15:55:00,160.07,Long-Upper-Red-Green,1.6648,1,0.8232,1
2022-10-20,C-CALL,11:35:00,161.23,Upper-Long-Red-Green,-0.38454,160.61,163.09,12:10:00,160.61,Upper-Long-Red-Red,0,160.74,12:15:00,160.56,Long-Long-Red-Red,-0.11198,0,-0.49653,0
2022-10-21,P-PUT,10:40:00,158.23,Bottom-Long-Red-Red,-0.61303,159.2,155.32,10:55:00,159.2,Long-Bottom-Green-Green,0,159.22,11:00:00,158.47,Bottom-Long-Green-Red,0.47105,1,-0.14199,0
2022-10-24,P-CALL,10:05:00,158.51,Bottom-Long-Green-Red,-1.5709,161,151.04,12:20:00,161.0,Long-Long-Green-Green,0,161.365,13:35:00,160.1208,Bottom-Long-Red-Red,-0.77105,0,-2.3419,0
2022-10-25,CALL,11:10:00,165.25,Long-Long-Green-Green,0.42965,164.43,167.71,15:55:00,165.96,Bottom-Upper-Green-Red,1,0.0,None,0.0,Bottom-Upper-Green-Red,0,-1,0.42965,1
2022-10-26,P-PUT,13:00:00,167.555,Bottom-Long-Green-Red,-0.26857,168,166.21,14:05:00,168.005,Upper-Bottom-Green-Red,0,167.8,14:45:00,167.08000000000007,Bottom-Long-Green-Red,0.42908,1,0.16051,1
2022-10-27,C-PUT,10:30:00,168.46,Long-Long-Green-Green,-0.51941,167.59,171.09,10:45:00,167.585,Long-Long-Red-Red,0,167.52,14:10:00,168.56,Long-Bottom-Green-Red,-0.62082,0,-1.1402,0
2022-10-28,CALL,10:35:00,167.85,Long-Long-Green-Green,2.0554,166.7,171.3,15:55:00,171.3,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,2.0554,1
2022-11-02,CALL,13:50:00,165.2,Long-Long-Green-Green,1.1531,164.56,167.1,14:05:00,167.10499999999996,Upper-Long-Red-Green,1,0.0,None,0.0,Upper-Long-Red-Green,0,-1,1.1531,1
2022-11-03,CALL,10:05:00,149.935,Long-Long-Green-Green,-0.093374,146.37,160.63,15:55:00,149.795,Long-Long-Red-Red,0,0.0,None,0.0,Long-Long-Red-Red,0,-1,-0.093374,0
2022-11-04,C-CALL,10:25:00,146.455,Upper-Long-Red-Green,-1.2495,144.62,151.95,11:20:00,144.625,Upper-Long-Red-Red,0,144.635,11:25:00,144.73999999999998,Long-Bottom-Red-Red,0.072597,1,-1.1769,0
2022-11-07,CALL,10:00:00,143.19,Long-Long-Green-Green,0.83106,140.74,150.54,15:55:00,144.38,Long-Long-Green-Red,1,0.0,None,0.0,Long-Long-Green-Red,0,-1,0.83106,1
2022-11-08,P-CALL,13:30:00,152.3,Long-Long-Red-Red,-0.7912,153.5,148.69,15:30:00,153.505,Long-Long-Red-Green,0,153.54,15:55:00,154.29,Long-Bottom-Green-Green,1.3066,1,0.51543,1
2022-11-09,P-CALL,09:55:00,151.95,Bottom-Long-Red-Red,-1.1056,153.63,146.91,10:20:00,153.63,Upper-Long-Red-Green,0,153.84,11:00:00,152.52,Long-Long-Red-Red,-0.85803,0,-1.9637,0
2022-11-10,C-PUT,10:00:00,161.78,Upper-Long-Green-Green,-1.23,159.79,167.75,11:10:00,159.7901,Long-Long-Red-Red,0,159.93,11:25:00,161.16,Upper-Bottom-Red-Green,-0.76909,0,-1.9991,0
2022-11-11,C-PUT,10:05:00,165.405,Upper-Long-Red-Green,-0.77688,164.12,169.26,11:35:00,164.12,Long-Long-Red-Red,0,163.89,14:35:00,165.7668,Long-Long-Green-Green,-1.1452,0,-1.922,0
2022-11-14,C-PUT,10:05:00,164.075,Upper-Long-Red-Green,-0.60034,163.09,167.03,10:25:00,163.09,Bottom-Long-Red-Red,0,162.561,13:05:00,164.12,Upper-Long-Green-Green,-0.95902,0,-1.5594,0
2022-11-15,C-CALL,11:35:00,164.48,Upper-Long-Green-Green,-0.915,162.97,168.99,13:20:00,162.975,Upper-Long-Red-Red,0,162.92,13:25:00,162.85,Long-Upper-Red-Red,-0.042966,0,-0.95797,0
2022-11-16,PUT,10:10:00,158.53,Long-Long-Green-Red,1.2679,159.2,156.52,10:50:00,156.52000000000004,Upper-Long-Green-Red,1,0.0,None,0.0,Upper-Long-Green-Red,0,-1,1.2679,1
2022-11-17,P-PUT,11:00:00,154.41,Long-Long-Green-Red,-0.31734,154.9,152.94,11:10:00,154.9,Bottom-Bottom-Green-Red,0,154.42,11:20:00,154.95,Long-Long-Green-Green,-0.34322,0,-0.66056,0
2022-11-18,C-PUT,11:35:00,170.7469,Long-Long-Green-Green,-0.67755,169.59,174.22,12:20:00,169.59,Long-Long-Red-Red,0,169.017,12:40:00,170.5099,Long-Bottom-Green-Red,-0.88328,0,-1.5608,0
2022-11-21,P-PUT,13:00:00,170.89,Long-Long-Red-Red,-0.62022,171.95,167.71,13:30:00,171.9499,Upper-Bottom-Green-Red,0,171.725,13:40:00,171.96,Upper-Long-Green-Green,-0.13685,0,-0.75707,0
2022-11-22,P-CALL,10:40:00,170.2027,Long-Long-Red-Red,-0.61533,171.25,167.06,10:50:00,171.25,Long-Long-Green-Green,0,171.47,11:05:00,170.13,Long-Long-Red-Red,-0.78148,0,-1.3968,0
2022-11-23,CALL,09:50:00,172.755,Upper-Long-Red-Green,0.32126,170.09,180.75,15:55:00,173.31,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,0.32126,1
