Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,C-PUT,10:10:00,39.8789208,Long-Long-Green-Green,-0.5804,39.647,40.573,12:30:00,39.6474624,Long-Long-Red-Red,0,39.5249256,13:25:00,39.7654608,Long-Bottom-Green-Green,-0.60857,0,-1.189,0
2022-10-04,C-PUT,11:05:00,40.4507592,Long-Long-Green-Green,-0.69561,40.169,41.295,13:20:00,40.1693784,Long-Long-Red-Red,0,40.1466864,14:10:00,40.300992,Long-Long-Green-Green,-0.38435,0,-1.08,0
2022-10-05,CALL,12:50:00,39.9333816,Upper-Long-Green-Green,0.71599,39.838,40.219,15:25:00,40.21930079999999,Upper-Upper-Green-Green,1,0.0,None,0.0,Upper-Upper-Green-Green,0,-1,0.71599,1
2022-10-06,PUT,09:50:00,39.5566944,Bottom-Long-Green-Red,0.90638,39.734,39.026,15:55:00,39.1981608,Upper-Upper-Red-Green,1,0.0,None,0.0,Upper-Upper-Red-Green,0,-1,0.90638,1
2022-10-07,PUT,11:10:00,38.542180464,Bottom-Long-Green-Red,0.94884,38.664,38.176,15:10:00,38.176476191999996,Long-Long-Green-Red,1,0.0,None,0.0,Long-Long-Green-Red,0,-1,0.94884,1
2022-10-10,PUT,09:55:00,38.4538632,Bottom-Long-Green-Red,0.70813,38.545,38.182,11:20:00,38.18155920000001,Long-Long-Green-Red,1,0.0,None,0.0,Long-Long-Green-Red,0,-1,0.70813,1
2022-10-11,C-CALL,09:55:00,37.9274088,Upper-Long-Green-Green,-0.6342,37.687,38.649,10:05:00,37.6868736,Upper-Long-Red-Red,0,37.759488,10:15:00,37.6777968,Bottom-Upper-Green-Red,-0.21635,0,-0.85055,0
2022-10-12,PUT,10:45:00,38.7851664,Long-Long-Red-Red,0.91271,38.903,38.431,12:40:00,38.43117120000001,Upper-Long-Red-Red,1,0.0,None,0.0,Upper-Long-Red-Red,0,-1,0.91271,1
2022-10-13,CALL,10:00:00,38.1044064,Long-Long-Green-Green,1.6436,37.896,38.731,11:20:00,38.73070560000001,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,1.6436,1
2022-10-18,C-PUT,09:50:00,39.9424584,Long-Long-Red-Green,-0.42018,39.775,40.446,11:15:00,39.774628368,Bottom-Long-Red-Red,0,39.8063064,12:55:00,39.9197664,Upper-Long-Red-Green,-0.28503,0,-0.70521,0
2022-10-19,C-PUT,10:25:00,39.2707752,Long-Long-Green-Green,-0.84364,38.939,40.265,12:30:00,38.939472,Long-Long-Red-Red,0,38.939472,13:25:00,39.007638768,Long-Long-Green-Green,-0.17506,0,-1.0187,0
2022-10-20,P-CALL,10:00:00,39.098316,Long-Long-Red-Red,-0.52234,39.303,38.486,10:10:00,39.302544,Long-Long-Green-Green,0,39.3116208,14:15:00,39.0211632,Long-Long-Red-Red,-0.73886,0,-1.2612,0
2022-10-24,CALL,09:50:00,41.3493624,Upper-Long-Red-Green,-0.13171,41.018,42.343,15:55:00,41.2949016,Long-Long-Red-Red,0,0.0,None,0.0,Long-Long-Red-Red,0,-1,-0.13171,0
2022-10-25,C-PUT,12:10:00,41.2495176,Long-Long-Red-Green,-0.23105,41.154,41.535,12:30:00,41.1542112,Long-Long-Red-Red,0,41.151942,12:40:00,41.2631328,Long-Upper-Green-Green,-0.2702,0,-0.50124,0
2022-10-26,P-PUT,10:05:00,41.7941256,Bottom-Bottom-Green-Red,-0.14117,41.853,41.617,10:10:00,41.8531248,Bottom-Long-Red-Green,0,42.0074304,10:15:00,42.0074304,Long-Bottom-Green-Red,-0,1,-0.14117,0
2022-10-27,P-CALL,10:40:00,41.6443584,Long-Long-Green-Red,-0.22886,41.74,41.358,12:15:00,41.7396648,Upper-Long-Green-Green,0,41.730588,12:25:00,41.6352816,Long-Upper-Red-Green,-0.22838,0,-0.45724,0
2022-11-01,PUT,10:30:00,43.4370264,Long-Long-Green-Red,-0.45972,43.741,42.525,15:55:00,43.636716,Long-Upper-Green-Green,0,0.0,None,0.0,Long-Upper-Green-Green,0,-1,-0.45972,0
