Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,CALL,09:50:00,266.12679,Long-Long-Green-Green,2.0824,264.28,271.67,15:00:00,271.66862850000007,Long-Bottom-Green-Red,1,0.0,None,0.0,Long-Bottom-Green-Red,0,-1,2.0824,1
2022-10-04,P-CALL,12:25:00,278.11434975,Long-Long-Red-Red,-0.18293,278.62,276.59,12:30:00,278.6230925,Long-Long-Red-Green,0,278.718617595,12:50:00,278.040261,Long-Long-Red-Red,-0.24338,0,-0.42631,0
2022-10-05,C-PUT,09:50:00,275.3039165,Long-Long-Red-Green,-0.305,274.46,277.82,10:05:00,274.464244,Long-Long-Green-Red,0,273.713478,12:15:00,275.392823,Long-Long-Green-Green,-0.61354,0,-0.91854,0
2022-10-06,PUT,10:00:00,278.7021205,Long-Long-Green-Red,0.72307,280.47,273.4,15:55:00,276.6869065,Long-Bottom-Red-Green,1,0.0,None,0.0,Long-Bottom-Red-Green,0,-1,0.72307,1
2022-10-10,PUT,10:35:00,263.4892305,Bottom-Long-Green-Red,-0.14996,265.04,258.84,15:55:00,263.8843705,Long-Upper-Green-Red,0,0.0,None,0.0,Long-Upper-Green-Red,0,-1,-0.14996,0
2022-10-11,P-PUT,11:00:00,259.745279,Bottom-Bottom-Green-Red,-0.29665,260.52,257.43,11:05:00,260.515802,Bottom-Long-Red-Green,0,261.3949885,11:10:00,260.80227850000006,Long-Long-Green-Red,0.22675,1,-0.069897,0
2022-10-12,P-PUT,10:10:00,260.04044858,Bottom-Long-Red-Red,-0.45632,261.23,256.48,11:45:00,261.227054,Bottom-Long-Green-Green,0,261.029484,11:55:00,261.36436515,Upper-Long-Red-Green,-0.12829,0,-0.58461,0
2022-10-17,P-PUT,10:55:00,264.585744,Long-Long-Red-Red,-0.5339,266,260.35,11:45:00,265.9983695,Upper-Bottom-Green-Green,0,266.01318725,11:55:00,266.36249101,Long-Long-Green-Green,-0.13131,0,-0.66521,0
2022-10-18,PUT,14:05:00,268.79892425,Bottom-Long-Green-Red,0.9206,269.62,266.32,14:45:00,266.32436000000007,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,0.9206,1
2022-10-19,C-PUT,09:55:00,267.5394155,Long-Long-Red-Green,-0.49108,266.23,271.48,12:50:00,266.225575,Long-Long-Red-Red,0,266.304603,15:55:00,266.877556,Upper-Long-Red-Green,0.24739,1,-0.2437,0
2022-10-20,PUT,12:05:00,269.5941435,Long-Long-Red-Red,1.3191,270.78,266.04,13:50:00,266.0378834999999,Upper-Long-Red-Red,1,0.0,None,0.0,Upper-Long-Red-Red,0,-1,1.3191,1
2022-10-21,P-PUT,10:30:00,266.304603,Long-Long-Red-Red,-0.79754,268.43,259.93,11:55:00,268.4284805,Upper-Bottom-Green-Red,0,268.0728545,12:00:00,268.537144,Bottom-Long-Red-Green,-0.1732,0,-0.97073,0
2022-10-24,P-CALL,10:05:00,270.2658815,Long-Long-Red-Red,-1.0673,273.15,261.61,11:55:00,273.1504035,Upper-Long-Red-Green,0,273.4862725,15:55:00,274.6124215,Long-Long-Red-Red,1.6082,1,0.54096,1
2022-10-25,CALL,09:50:00,278.96884,Long-Long-Green-Green,0.52408,276.22,287.21,15:55:00,280.430858,Upper-Long-Green-Red,1,0.0,None,0.0,Upper-Long-Green-Red,0,-1,0.52408,1
2022-10-26,CALL,09:50:00,276.084318,Long-Long-Red-Green,1.2881,274.9,279.64,11:10:00,279.64057800000006,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,1.2881,1
2022-10-27,C-PUT,10:10:00,272.3403665,Long-Long-Green-Green,-0.72183,270.37,278.24,12:25:00,270.374545,Long-Long-Red-Red,0,270.5029655,13:10:00,271.480838215,Upper-Long-Red-Green,-0.3615,0,-1.0833,0
2022-10-28,P-CALL,10:05:00,271.105554,Bottom-Bottom-Red-Red,-0.36438,272.09,268.14,10:30:00,272.093404,Long-Long-Green-Green,0,272.9133195,15:35:00,277.8624479999999,Long-Upper-Green-Green,1.8134,1,1.4491,1
2022-11-02,P-CALL,10:00:00,270.524994555,Bottom-Long-Green-Red,-0.36432,271.51,267.57,14:05:00,271.5105725,Long-Long-Red-Green,0,273.456637,14:40:00,269.643536,Long-Long-Red-Red,-1.3944,0,-1.7587,0
2022-11-03,C-CALL,12:20:00,259.636516715,Long-Long-Green-Green,-0.37663,258.66,262.57,14:00:00,258.658644,Upper-Long-Green-Red,0,258.678401,14:05:00,258.76760385500006,Long-Bottom-Red-Red,0.034484,1,-0.34215,0
2022-11-04,C-PUT,10:00:00,260.258961,Long-Long-Green-Green,-1.0249,257.59,268.26,11:55:00,257.591667215,Long-Long-Red-Red,0,257.3052895,12:20:00,258.4511955,Upper-Long-Green-Green,-0.44535,0,-1.4702,0
2022-11-07,P-CALL,10:25:00,261.503652,Bottom-Long-Green-Red,-0.60063,263.07,256.79,14:15:00,263.0743335,Upper-Long-Red-Green,0,263.16324,15:55:00,264.289389,Upper-Long-Green-Red,1.0653,1,0.46464,1
2022-11-08,C-PUT,09:55:00,265.7612855,Upper-Long-Green-Green,-0.59908,264.17,270.54,14:25:00,264.169167655,Long-Long-Red-Red,0,263.2916605,14:55:00,265.1093045,Long-Bottom-Green-Green,-0.69035,0,-1.2894,0
2022-11-09,C-PUT,10:05:00,264.0424265,Upper-Long-Red-Green,-0.32549,263.18,266.62,10:35:00,263.182997,Long-Long-Red-Red,0,263.301539,15:55:00,260.19969,Long-Bottom-Red-Green,1.4553,1,1.1299,1
2022-11-10,CALL,09:50:00,273.130745285,Upper-Long-Red-Green,2.2532,270.52,280.95,15:55:00,279.284952,Upper-Long-Green-Green,1,0.0,None,0.0,Upper-Long-Green-Green,0,-1,2.2532,1
2022-11-11,P-CALL,11:30:00,279.86304182,Long-Long-Red-Red,-0.59469,281.53,274.87,12:15:00,281.5273715,Upper-Long-Green-Green,0,281.7446985,15:00:00,285.1231455000002,Long-Upper-Green-Green,1.1991,1,0.60442,1
2022-11-15,C-CALL,10:00:00,288.90522801,Long-Long-Red-Green,-0.53293,287.37,293.52,10:55:00,287.365565,Long-Upper-Red-Green,0,287.976945365,11:05:00,287.227266,Bottom-Upper-Red-Red,-0.26033,0,-0.79326,0
2022-11-16,P-PUT,11:55:00,282.6337635,Long-Bottom-Green-Red,-0.12932,283,281.54,12:00:00,282.999268,Bottom-Bottom-Red-Red,0,282.584371,12:45:00,283.21165575,Bottom-Long-Green-Green,-0.22198,0,-0.3513,0
2022-11-17,P-CALL,10:00:00,278.4057655,Long-Long-Red-Red,-0.4045,279.53,275.03,10:20:00,279.5319145,Upper-Long-Green-Green,0,280.1246245,15:55:00,280.61361025,Long-Long-Green-Red,0.79303,1,0.38853,1
2022-11-21,PUT,10:05:00,279.5714285,Long-Long-Red-Red,0.30388,280.8,275.9,15:55:00,278.7218775,Long-Bottom-Green-Red,1,0.0,None,0.0,Long-Bottom-Green-Red,0,-1,0.30388,1
2022-11-23,C-CALL,09:50:00,284.1748095,Long-Long-Red-Green,-0.32676,283.25,286.96,12:00:00,283.2462305,Long-Upper-Red-Red,0,283.3845295,12:55:00,282.9103615,Long-Long-Green-Red,-0.16732,0,-0.49409,0
2022-11-29,PUT,10:55:00,278.8404195,Long-Long-Green-Red,0.90339,279.68,276.32,11:20:00,276.321402,Upper-Long-Green-Red,1,0.0,None,0.0,Upper-Long-Green-Red,0,-1,0.90339,1
2022-12-01,PUT,10:05:00,290.850601015,Bottom-Bottom-Red-Red,1.1535,291.97,287.5,10:35:00,287.49556605999993,Bottom-Long-Green-Green,1,0.0,None,0.0,Bottom-Long-Green-Green,0,-1,1.1535,1
2022-12-02,CALL,11:25:00,286.7037055,Upper-Long-Green-Green,0.75457,285.98,288.87,15:05:00,288.86709700000006,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,0.75457,1
2022-12-05,PUT,10:00:00,287.1581165,Long-Long-Red-Red,0.90818,288.03,284.55,12:55:00,284.55019250000004,Bottom-Long-Green-Red,1,0.0,None,0.0,Bottom-Long-Green-Red,0,-1,0.90818,1
2022-12-07,C-PUT,10:50:00,277.5562145,Long-Long-Green-Green,-0.59081,275.92,282.48,11:35:00,275.9163835,Bottom-Bottom-Red-Red,0,276.064561,11:40:00,276.40536925,Bottom-Long-Red-Green,-0.12345,0,-0.71426,0
2022-12-08,CALL,09:50:00,277.45980034,Long-Long-Red-Green,0.84636,276.68,279.81,10:05:00,279.80811736000004,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,0.84636,1
2022-12-12,C-CALL,09:50:00,279.265195,Long-Long-Green-Green,-0.45278,278,283.06,10:50:00,278.000747,Upper-Long-Green-Red,0,277.96103543,10:55:00,277.842691,Long-Upper-Red-Green,-0.042576,0,-0.49535,0
2022-12-13,PUT,10:05:00,291.3070865,Long-Long-Red-Red,1.8414,293.1,285.94,11:55:00,285.94306100000006,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,1.8414,1
2022-12-14,C-CALL,13:35:00,287.0000605,Long-Long-Green-Green,-0.29945,286.14,289.58,14:05:00,286.140631,Upper-Long-Red-Red,0,283.99660136,14:10:00,282.4164365,Long-Long-Red-Red,-0.5564,0,-0.85586,0
2022-12-16,PUT,10:05:00,272.5972075,Long-Long-Red-Red,0.52546,274.25,267.65,15:55:00,271.164825,Bottom-Upper-Red-Red,1,0.0,None,0.0,Bottom-Upper-Red-Red,0,-1,0.52546,1
2022-12-19,C-PUT,10:25:00,269.874657822,Upper-Long-Green-Green,-0.42199,268.74,273.29,10:55:00,268.7358058,Long-Long-Green-Red,0,268.6268816,11:45:00,267.1483841179999,Long-Upper-Red-Green,0.55039,1,0.1284,1
2022-12-20,CALL,10:00:00,266.765268,Upper-Long-Green-Green,0.17817,264.48,273.63,15:55:00,267.2405736,Upper-Upper-Green-Red,1,0.0,None,0.0,Upper-Upper-Green-Red,0,-1,0.17817,1
2022-12-22,PUT,10:05:00,264.596488156,Long-Long-Green-Red,1.5047,265.92,260.62,13:05:00,260.61520962400004,Upper-Long-Red-Red,1,0.0,None,0.0,Upper-Long-Red-Red,0,-1,1.5047,1
2022-12-23,P-PUT,11:05:00,262.4974198,Bottom-Long-Red-Red,-0.5583,263.96,258.1,11:40:00,263.9629454,Bottom-Long-Green-Green,0,263.913335378,11:45:00,264.0025542,Long-Bottom-Green-Red,-0.033806,0,-0.59211,0
2022-12-27,C-CALL,10:20:00,262.2399626,Long-Long-Green-Green,-0.59283,260.69,266.9,14:45:00,260.6853172,Long-Upper-Red-Green,0,260.804242622,15:15:00,261.45808488800003,Long-Upper-Green-Green,0.2507,1,-0.34213,0
2022-12-28,PUT,09:55:00,261.5071998,Long-Long-Green-Red,1.2382,262.59,258.27,11:20:00,258.26918040000015,Bottom-Upper-Red-Green,1,0.0,None,0.0,Bottom-Upper-Red-Green,0,-1,1.2382,1
2023-01-03,PUT,09:50:00,264.8640456,Bottom-Long-Red-Red,1.0356,267.51,256.92,15:55:00,262.1211362,Bottom-Upper-Green-Green,1,0.0,None,0.0,Bottom-Upper-Green-Green,0,-1,1.0356,1
