Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-04,P-CALL,10:30:00,61.705,Bottom-Long-Red-Red,-1.418,62.58,59.08,10:45:00,62.58,Long-Long-Green-Green,0,62.68,13:20:00,61.65,Long-Long-Red-Red,-1.6433,0,-3.0613,0
2022-10-05,P-CALL,12:25:00,58.63,Bottom-Long-Green-Red,-0.5458,58.95,57.67,13:10:00,58.95,Long-Long-Green-Green,0,58.987,15:55:00,59.9683,Long-Long-Red-Red,2.2826,1,1.7368,1
2022-10-06,PUT,09:50:00,61.1011,Bottom-Long-Green-Red,2.4076,62.43,57.114,15:55:00,59.63,Bottom-Long-Red-Green,1,0.0,None,0.0,Bottom-Long-Red-Green,0,-1,2.4076,1
2022-10-10,PUT,09:55:00,54.31,Bottom-Bottom-Red-Red,0.60762,55.414,50.997,15:55:00,53.98,Long-Upper-Green-Red,1,0.0,None,0.0,Long-Upper-Green-Red,0,-1,0.60762,1
2022-10-11,C-CALL,10:35:00,51.675,Long-Long-Green-Green,-1.0808,51.117,53.35,11:00:00,51.1165,Upper-Long-Red-Red,0,51.08,11:05:00,51.1436,Long-Long-Red-Green,0.12451,1,-0.95628,0
2022-10-12,CALL,11:30:00,51.005,Long-Long-Red-Green,2.4998,50.58,52.28,12:55:00,52.280000000000015,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,2.4998,1
2022-10-13,C-PUT,09:50:00,50.2,Long-Long-Green-Green,-2.51,48.94,53.98,10:40:00,48.94,Bottom-Long-Green-Red,0,49.06,10:50:00,49.52,Bottom-Long-Red-Green,-0.93763,0,-3.4476,0
2022-10-17,CALL,09:55:00,51.7099,Upper-Long-Green-Green,1.5086,50.69,54.77,15:55:00,52.49,Bottom-Upper-Red-Red,1,0.0,None,0.0,Bottom-Upper-Red-Red,0,-1,1.5086,1
2022-10-18,C-CALL,12:40:00,53.57,Upper-Long-Green-Green,-1.0078,53.03,55.19,13:00:00,53.0301,Upper-Long-Red-Red,0,52.9,13:05:00,52.85,Long-Long-Red-Red,-0.094518,0,-1.1024,0
2022-10-19,C-PUT,09:55:00,53.29,Long-Long-Red-Green,-1.9516,52.25,56.41,10:55:00,52.25,Bottom-Long-Red-Red,0,52.29,15:55:00,51.16,Bottom-Long-Red-Green,3.997,1,2.0454,1
2022-10-21,CALL,12:05:00,49.51,Upper-Long-Red-Green,1.7774,48.89,51.37,15:55:00,50.39,Bottom-Upper-Red-Red,1,0.0,None,0.0,Bottom-Upper-Red-Red,0,-1,1.7774,1
2022-10-24,P-CALL,11:10:00,48.29,Bottom-Long-Green-Red,-1.2632,48.9,46.46,11:30:00,48.9,Long-Long-Green-Green,0,48.905,14:35:00,50.72000000000001,Long-Bottom-Green-Green,3.7113,1,2.4481,1
2022-10-25,CALL,10:55:00,53.2703,Upper-Long-Green-Green,2.7049,52.79,54.711,12:30:00,54.7112,Long-Bottom-Red-Green,1,0.0,None,0.0,Long-Bottom-Red-Green,0,-1,2.7049,1
2022-10-26,C-PUT,10:30:00,55.45,Long-Long-Red-Green,-1.046,54.87,57.19,11:50:00,54.87,Long-Long-Red-Red,0,54.94,15:00:00,53.13999999999999,Long-Upper-Green-Red,3.2763,1,2.2303,1
2022-10-27,P-CALL,10:45:00,52.2988,Long-Long-Red-Red,-1.6658,53.17,49.685,11:10:00,53.17,Long-Long-Green-Green,0,53.29,11:50:00,52.29,Long-Upper-Red-Green,-1.8765,0,-3.5423,0
2022-10-28,P-CALL,09:50:00,52.0366,Long-Long-Green-Red,-1.467,52.8,49.746,12:30:00,52.8,Long-Long-Green-Green,0,52.78,14:45:00,53.9389,Long-Long-Green-Green,2.1957,1,0.72867,1
2022-11-01,PUT,10:00:00,58.31,Bottom-Long-Green-Red,3.3442,58.96,56.36,11:00:00,56.36000000000001,Upper-Long-Red-Red,1,0.0,None,0.0,Upper-Long-Red-Red,0,-1,3.3442,1
2022-11-02,P-CALL,12:30:00,55.57,Long-Long-Red-Red,-0.7738,56,54.28,12:55:00,56.0,Long-Long-Green-Green,0,56.15,13:05:00,55.79,Long-Long-Red-Red,-0.64114,0,-1.4149,0
