Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-04,P-CALL,12:50:00,84.2057274,Long-Long-Red-Red,-0.34021,84.492,83.346,14:10:00,84.4922064,Long-Upper-Green-Green,0,84.4922064,14:30:00,84.320319,Upper-Long-Green-Red,-0.20344,0,-0.54365,0
2022-10-05,P-CALL,10:05:00,84.1484316,Long-Long-Green-Red,-0.49932,84.569,82.888,11:20:00,84.5686008,Upper-Long-Green-Green,0,84.5495022,13:25:00,85.69541820000002,Long-Bottom-Green-Green,1.3553,1,0.856,1
2022-10-06,P-CALL,09:50:00,86.27315085,Long-Long-Green-Red,-0.5479,86.746,84.855,09:55:00,86.7458412,Long-Long-Red-Green,0,86.7935877,10:05:00,86.1824325,Long-Upper-Red-Red,-0.70415,0,-1.252,0
2022-10-07,PUT,10:35:00,84.2152767,Bottom-Long-Red-Red,1.1906,84.55,83.213,11:35:00,83.2126002,Bottom-Long-Red-Red,1,0.0,None,0.0,Bottom-Long-Red-Red,0,-1,1.1906,1
2022-10-10,P-CALL,10:40:00,82.8210789,Long-Long-Red-Red,-0.87628,83.547,80.644,14:45:00,83.5468257,Upper-Long-Green-Red,0,83.3940369,14:50:00,83.3940369,Long-Long-Red-Red,0,1,-0.87628,0
2022-10-11,P-PUT,10:25:00,82.0380363,Bottom-Long-Red-Red,-0.75661,82.659,80.176,11:05:00,82.6587408,Bottom-Long-Red-Green,0,82.7255859,11:40:00,82.8401775,Upper-Bottom-Green-Red,-0.13852,0,-0.89513,0
2022-10-12,P-CALL,09:55:00,83.0216142,Long-Bottom-Red-Red,-0.70163,83.604,81.274,11:10:00,83.6041215,Long-Long-Green-Green,0,83.69483985,15:05:00,83.2030509,Bottom-Upper-Red-Red,-0.5876,0,-1.2892,0
2022-10-17,P-PUT,10:30:00,84.3394176,Bottom-Long-Red-Red,-0.33967,84.626,83.48,10:40:00,84.6258966,Bottom-Long-Green-Green,0,84.5686008,10:50:00,84.6354459,Long-Bottom-Red-Green,-0.079042,0,-0.41872,0
2022-10-19,PUT,10:00:00,84.511305,Long-Long-Green-Red,1.1299,85.114,82.702,15:55:00,83.556375,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,1.1299,1
2022-10-20,C-CALL,09:50:00,83.4895299,Long-Long-Green-Green,-0.43463,83.127,84.578,13:10:00,83.1266565,Upper-Long-Red-Red,0,83.07891,13:15:00,83.22214949999996,Long-Long-Red-Green,0.17241,1,-0.26222,0
2022-10-21,P-CALL,10:30:00,83.4799806,Long-Long-Red-Red,-0.77785,84.129,81.532,12:55:00,84.129333,Long-Long-Green-Green,0,84.1484316,15:55:00,84.7595868,Upper-Long-Green-Red,1.5328,1,0.75498,1
2022-10-24,PUT,10:05:00,82.0380363,Bottom-Long-Red-Red,2.421,83.194,78.572,15:55:00,80.051877393,Bottom-Bottom-Red-Red,1,0.0,None,0.0,Bottom-Bottom-Red-Red,0,-1,2.421,1
2022-10-25,PUT,10:10:00,81.410169825,Long-Long-Red-Red,0.090906,81.861,80.057,15:55:00,81.33616275,Long-Long-Green-Red,1,0.0,None,0.0,Long-Long-Green-Red,0,-1,0.090906,1
2022-10-26,C-CALL,10:05:00,82.6873887,Upper-Long-Red-Green,-0.66982,82.134,84.349,15:45:00,82.1335293,Long-Bottom-Red-Red,0,82.1430786,15:50:00,82.25767019999999,Bottom-Bottom-Red-Green,0.1395,1,-0.53032,0
2022-10-27,CALL,10:20:00,81.193973673,Upper-Long-Red-Green,0.086914,80.682,82.73,15:55:00,81.264543,Upper-Long-Green-Red,1,0.0,None,0.0,Upper-Long-Green-Red,0,-1,0.086914,1
2022-10-28,CALL,10:20:00,81.0831063,Upper-Long-Green-Green,2.1199,80.51,82.802,12:20:00,82.8019803,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,2.1199,1
2022-11-01,PUT,09:50:00,83.8046568,Bottom-Long-Red-Red,0.70077,84.874,80.596,15:55:00,83.21737485,Long-Long-Green-Red,1,0.0,None,0.0,Long-Long-Green-Red,0,-1,0.70077,1
2022-11-02,CALL,10:05:00,83.174403,Long-Long-Green-Green,1.2055,82.84,84.177,14:05:00,84.1770795,Upper-Long-Red-Green,1,0.0,None,0.0,Upper-Long-Red-Green,0,-1,1.2055,1
2022-11-04,C-PUT,09:50:00,87.8822079,Upper-Long-Red-Green,-0.81495,87.166,90.031,12:50:00,87.1660104,Bottom-Long-Red-Red,0,87.1564611,15:10:00,87.681577107,Upper-Long-Red-Green,-0.6025,0,-1.4174,0
2022-11-08,P-PUT,14:00:00,88.4074194,Bottom-Long-Red-Red,-0.64809,88.98,86.689,15:35:00,88.9803774,Long-Bottom-Green-Green,0,88.8944337,15:50:00,89.00425065,Long-Bottom-Red-Red,-0.12354,0,-0.77162,0
2022-11-09,P-CALL,10:00:00,87.734367,Long-Long-Green-Red,-0.55829,88.224,86.265,10:10:00,88.2241812,Long-Long-Green-Green,0,88.3298274,15:55:00,87.9936804,Long-Bottom-Red-Green,0.29557,1,-0.26273,0
2022-11-10,P-CALL,09:50:00,89.9337288,Long-Long-Green-Red,-1.1854,91,86.736,13:10:00,90.999795,Long-Upper-Green-Green,0,90.999795,15:45:00,92.05145490000001,Long-Long-Green-Green,1.1557,1,-0.029718,0
