Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,C-PUT,10:05:00,87.965,Long-Long-Red-Green,-0.9265,87.15,90.41,10:20:00,87.15,Bottom-Long-Red-Red,0,86.9,14:50:00,87.67,Long-Long-Green-Green,-0.88608,0,-1.8126,0
2022-10-04,PUT,09:50:00,92.98,Bottom-Long-Red-Red,1.7746,93.53,91.33,10:35:00,91.33000000000001,Bottom-Upper-Red-Green,1,0.0,None,0.0,Bottom-Upper-Red-Green,0,-1,1.7746,1
2022-10-05,CALL,12:20:00,90.835,Long-Long-Green-Green,0.89723,90.075,93.115,15:55:00,91.65,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,0.89723,1
2022-10-06,P-CALL,10:00:00,92.17,Bottom-Long-Green-Red,-0.84626,92.95,89.83,14:00:00,92.95,Upper-Long-Red-Green,0,92.98,14:05:00,92.68,Long-Long-Green-Red,-0.32265,0,-1.1689,0
2022-10-07,C-PUT,10:10:00,89.145,Upper-Long-Red-Green,-0.95911,88.29,91.71,12:30:00,88.29,Long-Long-Red-Red,0,88.34,15:55:00,88.1199,Upper-Bottom-Green-Green,1.1499,1,0.19081,1
2022-10-10,P-CALL,09:55:00,86.75,Bottom-Long-Green-Red,-1.291,87.87,83.39,11:50:00,87.8699,Long-Long-Green-Green,0,87.885,12:10:00,87.29,Long-Long-Red-Red,-0.67702,0,-1.968,0
2022-10-11,C-PUT,10:45:00,82.095,Upper-Long-Red-Green,-0.5786,81.62,83.52,11:00:00,81.62,Upper-Bottom-Red-Red,0,81.61,11:05:00,81.975,Bottom-Long-Red-Green,-0.44725,0,-1.0258,0
2022-10-12,CALL,10:30:00,81.6,Long-Long-Red-Green,3.125,80.75,84.15,13:05:00,84.14999999999998,Bottom-Bottom-Green-Red,1,0.0,None,0.0,Bottom-Bottom-Green-Red,0,-1,3.125,1
2022-10-13,CALL,09:50:00,80.44,Long-Long-Green-Green,3.4187,78.5,86.26,15:55:00,83.19,Long-Upper-Green-Green,1,0.0,None,0.0,Long-Upper-Green-Green,0,-1,3.4187,1
2022-10-14,P-CALL,10:05:00,83.785,Long-Long-Green-Red,-1.4501,85,80.14,11:05:00,85.0,Long-Long-Green-Green,0,85.1,11:35:00,84.215,Bottom-Long-Red-Red,-1.04,0,-2.4901,0
2022-10-17,CALL,10:05:00,85.77,Upper-Long-Red-Green,1.1426,84.952,88.224,15:55:00,86.75,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,1.1426,1
2022-10-18,C-PUT,10:20:00,89.085,Upper-Long-Green-Green,-0.76893,88.4,91.14,10:30:00,88.4,Long-Long-Red-Red,0,88.31,15:55:00,87.995,Long-Long-Green-Green,1.2236,1,0.45462,1
2022-10-19,CALL,09:55:00,89.15,Upper-Long-Green-Green,-0.34773,87.58,93.86,15:55:00,88.84,Bottom-Long-Red-Green,0,0.0,None,0.0,Bottom-Long-Red-Green,0,-1,-0.34773,0
2022-10-21,CALL,09:50:00,85.765,Upper-Long-Red-Green,4.0051,84.52,89.5,15:55:00,89.2,Upper-Long-Green-Green,1,0.0,None,0.0,Upper-Long-Green-Green,0,-1,4.0051,1
2022-10-24,CALL,10:40:00,85.96,Long-Long-Green-Green,6.3518,84.14,91.42,12:50:00,91.41999999999997,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,6.3518,1
2022-10-25,P-CALL,10:40:00,96.51,Long-Long-Red-Red,-0.79784,97.28,94.2,10:55:00,97.28,Long-Upper-Green-Green,0,97.31,15:55:00,97.1,Upper-Long-Red-Red,0.61134,1,-0.18651,0
2022-10-26,C-CALL,11:20:00,89.2556,Upper-Long-Green-Green,-1.8773,87.58,94.282,11:45:00,87.58,Upper-Long-Red-Red,0,87.63,11:50:00,87.54,Long-Long-Red-Red,-0.1027,0,-1.98,0
2022-10-27,P-CALL,09:50:00,81.45,Long-Long-Green-Red,-1.5592,82.72,77.64,10:15:00,82.72,Long-Long-Green-Green,0,82.91,15:55:00,81.67,Long-Upper-Green-Red,0.2701,1,-1.2891,0
2022-10-28,P-CALL,09:50:00,81.3875,Bottom-Long-Green-Red,-0.78943,82.03,79.46,10:05:00,82.03,Bottom-Upper-Red-Red,0,81.29,10:10:00,81.14000000000001,Upper-Bottom-Red-Green,-0.18452,1,-0.97396,0
