Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,PUT,09:50:00,54.353416,Long-Long-Red-Red,6.4716,55.526,50.836,15:00:00,50.83589560000002,Long-Upper-Red-Red,1,0.0,None,0.0,Long-Upper-Red-Red,0,-1,6.4716,1
2022-10-04,C-PUT,12:25:00,47.2365724,Long-Long-Green-Green,-0.61574,46.946,48.109,12:30:00,46.945718,Long-Long-Green-Red,0,46.89390956,12:50:00,47.282291076,Long-Long-Green-Green,-0.82821,0,-1.444,0
2022-10-05,P-CALL,09:50:00,48.62722,Long-Long-Green-Red,-0.84112,49.036,47.4,10:05:00,49.036234,Long-Long-Red-Green,0,49.4270696,12:15:00,48.581774,Long-Upper-Red-Red,-1.7102,0,-2.5513,0
2022-10-06,CALL,09:50:00,46.5639716,Upper-Long-Red-Green,3.0588,45.937,48.445,15:55:00,47.98824924,Long-Upper-Green-Red,1,0.0,None,0.0,Long-Upper-Green-Red,0,-1,3.0588,1
2022-10-10,CALL,10:35:00,55.080552,Upper-Long-Red-Green,-0.44554,54.137,57.91,15:55:00,54.8351436,Long-Bottom-Red-Green,0,0.0,None,0.0,Long-Bottom-Red-Green,0,-1,-0.44554,0
2022-10-11,CALL,14:50:00,56.989284,Long-Long-Green-Green,1.0526,55.68,60.916,15:55:00,57.5891712,Bottom-Bottom-Red-Green,1,0.0,None,0.0,Bottom-Bottom-Red-Green,0,-1,1.0526,1
2022-10-12,C-CALL,10:10:00,57.26786798,Upper-Long-Green-Green,-1.3911,56.471,59.658,11:45:00,56.4711996,Upper-Long-Red-Red,0,56.602993,11:55:00,56.3803076,Bottom-Long-Green-Red,-0.39342,0,-1.7845,0
2022-10-17,P-CALL,10:05:00,53.0263928,Bottom-Bottom-Green-Red,-1.0285,53.572,51.39,10:55:00,53.5717448,Long-Long-Green-Green,0,53.689722616,11:45:00,52.7264492,Bottom-Upper-Red-Red,-1.7941,0,-2.8226,0
2022-10-18,P-CALL,13:35:00,50.7813604,Long-Long-Red-Red,-1.3247,51.454,48.763,14:40:00,51.454052092,Long-Long-Green-Green,0,51.717457108,15:55:00,51.5993884,Bottom-Upper-Green-Green,1.6109,1,0.2862,1
2022-10-19,P-PUT,09:55:00,51.808621784,Long-Long-Green-Red,-1.4558,52.563,49.546,13:05:00,52.5628436,Bottom-Long-Green-Green,0,53.1672754,13:10:00,53.044571200000014,Long-Bottom-Green-Red,0.23079,1,-1.225,0
2022-10-20,CALL,12:10:00,51.081576676,Long-Long-Green-Green,4.6462,50.29,53.455,14:45:00,53.45494858,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,4.6462,1
2022-10-21,C-CALL,10:30:00,52.572023692,Long-Long-Green-Green,-2.4032,51.309,56.362,11:55:00,51.308624892,Bottom-Upper-Red-Green,0,51.5084964,12:00:00,51.24627298,Upper-Long-Green-Red,-0.50909,0,-2.9123,0
2022-10-24,C-CALL,10:05:00,50.126938,Long-Long-Green-Green,-2.3391,48.954,53.644,11:05:00,48.9544312,Long-Upper-Red-Green,0,49.253556772,11:20:00,48.85445,Long-Long-Red-Green,-0.81031,0,-3.1494,0
