Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,CALL,09:50:00,19.1910244,Long-Long-Green-Green,6.1472,18.798,20.371,15:00:00,20.370740799999997,Long-Bottom-Green-Red,1,0.0,None,0.0,Long-Bottom-Green-Red,0,-1,6.1472,1
2022-10-04,C-PUT,09:50:00,21.6621176,Upper-Long-Red-Green,-1.0309,21.439,22.332,13:20:00,21.4387968,Long-Long-Red-Red,0,21.345875928,13:45:00,21.6232792,Upper-Bottom-Red-Green,-1.2996,0,-2.3305,0
2022-10-05,C-PUT,09:50:00,21.1329444,Long-Long-Red-Green,-0.91891,20.939,21.716,10:05:00,20.9387524,Long-Long-Green-Red,0,20.7591248,12:15:00,21.157121304,Long-Bottom-Green-Green,-1.9172,0,-2.8361,0
2022-10-06,PUT,09:50:00,22.0990496,Bottom-Long-Green-Red,3.0228,22.39,21.225,15:55:00,21.43102912,Long-Bottom-Red-Green,1,0.0,None,0.0,Long-Bottom-Red-Green,0,-1,3.0228,1
2022-10-10,PUT,10:35:00,18.4094016,Bottom-Long-Green-Red,-0.44831,18.74,17.419,15:55:00,18.4919332,Long-Upper-Green-Red,0,0.0,None,0.0,Long-Upper-Green-Red,0,-1,-0.44831,0
2022-10-11,P-PUT,11:00:00,17.6132144,Bottom-Bottom-Green-Red,-0.99228,17.788,17.089,11:05:00,17.7879872,Bottom-Long-Red-Green,0,17.96276,11:10:00,17.8462448,Long-Long-Green-Red,0.64865,1,-0.34363,0
2022-10-12,PUT,09:55:00,17.790802984,Long-Bottom-Red-Red,0.64346,18.099,16.867,15:55:00,17.6763268,Long-Upper-Red-Green,1,0.0,None,0.0,Long-Upper-Red-Green,0,-1,0.64346,1
2022-10-17,P-PUT,10:55:00,18.463678264,Long-Long-Red-Red,-1.4924,18.739,17.637,11:45:00,18.739236712,Upper-Bottom-Green-Green,0,18.748849216,11:55:00,18.8172048,Long-Long-Green-Green,-0.36459,0,-1.857,0
2022-10-18,C-PUT,13:35:00,19.4240548,Long-Long-Green-Green,-1.2497,19.181,20.152,14:40:00,19.1813148,Long-Long-Red-Red,0,19.088005544,15:55:00,19.122280432,Upper-Bottom-Red-Red,1.5536,1,0.30392,1
2022-10-19,C-CALL,09:55:00,19.0453804,Long-Long-Red-Green,-1.504,18.759,19.905,13:05:00,18.7589472,Upper-Long-Red-Red,0,18.532033848,13:10:00,18.594078192000005,Long-Upper-Red-Green,0.3348,1,-1.1692,0
