Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance,First
2022-10-03,C-NULL,09:50:00,247.27,Long-Long-Green-Green,-1.6298,243.24,271.45,11:10:00,243.24,Upper-Long-Green-Red,0,243.43,None,0.0,Upper-Long-Green-Red,0,-1,-1.6298,0,13.793103448281945
2022-10-04,P-CALL,09:55:00,249.73,Bottom-Long-Green-Red,-0.94102,252.08,235.63,10:05:00,252.08,Upper-Long-Green-Green,0,251.7187,12:10:00,249.14,Long-Long-Green-Red,-1.0244,0,-1.9655,0,98.8853161843511
2022-10-05,CALL,13:10:00,238.0325,Long-Long-Green-Green,0.81817,236.65,246.33,15:55:00,239.98,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,0.81817,1,0
2022-10-06,PUT,10:00:00,240.9177,Bottom-Long-Green-Red,1.1509,244.58,218.94,15:55:00,238.145,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,1.1509,1,0
2022-10-10,P-NULL,10:10:00,222.83,Bottom-Long-Red-Red,-1.3486,225.84,204.8,10:25:00,225.8351,Long-Bottom-Green-Green,0,225.26,None,0.0,Long-Bottom-Green-Green,0,-1,-1.3486,0,96.87500000000063
2022-10-11,PUT,10:00:00,220.99,Bottom-Long-Green-Red,2.0589,225.75,192.43,15:55:00,216.44,Upper-Upper-Green-Red,1,0.0,None,0.0,Upper-Upper-Green-Red,0,-1,2.0589,1,0
2022-10-12,CALL,11:10:00,214.63,Bottom-Long-Green-Green,1.4041,212.92,224.9,15:55:00,217.6436,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,1.4041,1,0
2022-10-13,CALL,10:10:00,209.608,Upper-Long-Red-Green,5.7068,206.92,225.74,15:55:00,221.57,Upper-Bottom-Green-Green,1,0.0,None,0.0,Upper-Bottom-Green-Green,0,-1,5.7068,1,0
2022-10-19,CALL,09:55:00,221.0427,Upper-Long-Green-Green,0.23502,217.78,240.62,15:55:00,221.5622,Upper-Upper-Green-Green,1,0.0,None,0.0,Upper-Upper-Green-Green,0,-1,0.23502,1,0
2022-10-20,CALL,10:05:00,206.78,Bottom-Long-Green-Green,0.66738,203.5,226.46,15:55:00,208.16,Long-Bottom-Green-Green,1,0.0,None,0.0,Long-Bottom-Green-Green,0,-1,0.66738,1,0
2022-10-21,P-NULL,10:25:00,206.85,Upper-Long-Green-Red,-0.89437,208.7,195.75,10:50:00,208.7,Bottom-Long-Green-Green,0,209.1758,None,0.0,Bottom-Long-Green-Green,0,-1,-0.89437,0,45.45454545454311
2022-10-24,CALL,10:55:00,204.21,Bottom-Long-Green-Green,3.2026,200.46,226.71,15:55:00,210.75,Long-Bottom-Red-Red,1,0.0,None,0.0,Long-Bottom-Red-Red,0,-1,3.2026,1,0
2022-10-25,P-CALL,13:40:00,218.52,Long-Long-Green-Red,-1.2813,221.32,201.72,14:25:00,221.32,Long-Long-Green-Green,0,221.78,15:55:00,222.255,Upper-Long-Red-Red,1.7092,1,0.42788,1,25.096266532730244
