Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,CALL,09:50:00,26.57,Long-Long-Green-Green,0.207,25.96,28.4,15:55:00,26.625,Bottom-Upper-Red-Red,1,0.0,None,0.0,Bottom-Upper-Red-Red,0,-1,0.207,1
2022-10-04,CALL,10:40:00,28.28,Upper-Long-Green-Green,1.8034,28.11,28.79,14:50:00,28.790000000000006,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,1.8034,1
2022-10-05,PUT,10:10:00,28.905,Long-Long-Red-Red,-0.83031,29.53,27.03,15:55:00,29.145,Bottom-Long-Red-Red,0,0.0,None,0.0,Bottom-Long-Red-Red,0,-1,-0.83031,0
2022-10-06,P-CALL,10:00:00,29.6111,Long-Long-Green-Red,-1.1107,29.94,28.624,11:25:00,29.94,Long-Long-Green-Green,0,30.065,12:00:00,29.7,Bottom-Long-Red-Red,-1.214,0,-2.3248,0
2022-10-07,C-PUT,10:20:00,28.37,Long-Long-Green-Green,-1.1456,28.045,29.345,12:40:00,28.045,Bottom-Long-Red-Red,0,28.005,13:00:00,28.1299,Long-Long-Green-Green,-0.44599,0,-1.5916,0
2022-10-10,PUT,09:55:00,28.15,Long-Long-Green-Red,3.1972,28.45,27.25,13:05:00,27.249999999999996,Bottom-Long-Red-Red,1,0.0,None,0.0,Bottom-Long-Red-Red,0,-1,3.1972,1
2022-10-12,P-PUT,09:55:00,25.275,Long-Long-Red-Red,-1.7804,25.725,23.925,12:05:00,25.725,Upper-Bottom-Green-Green,0,25.675,12:25:00,25.74,Upper-Upper-Green-Red,-0.25316,0,-2.0336,0
2022-10-13,PUT,16:00:00,25.0,Bottom-Long-Red-Red,1.08,24.785,25.645,None,24.73,Upper-Bottom-Green-Green,1,0.0,None,0.0,Upper-Upper-Green-Red,0,-1,1.08,1
2022-10-17,P-CALL,10:55:00,25.79,Long-Long-Red-Red,-1.202,26.1,24.86,12:20:00,26.1,Upper-Long-Red-Green,0,26.085,13:00:00,25.99,Bottom-Long-Green-Red,-0.36419,0,-1.5662,0
2022-10-18,CALL,12:10:00,27.06,Upper-Long-Green-Green,2.088,26.82,27.78,15:55:00,27.625,Upper-Upper-Green-Green,1,0.0,None,0.0,Upper-Upper-Green-Green,0,-1,2.088,1
2022-10-19,CALL,10:10:00,27.38,Long-Long-Green-Green,0.43828,26.91,28.79,15:55:00,27.5,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,0.43828,1
2022-10-20,PUT,12:50:00,28.0373,Bottom-Long-Red-Red,0.34704,28.215,27.504,15:55:00,27.94,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,0.34704,1
2022-10-21,PUT,10:30:00,27.73,Long-Long-Red-Red,-1.154,28.26,26.14,15:55:00,28.05,Long-Upper-Red-Green,0,0.0,None,0.0,Long-Upper-Red-Green,0,-1,-1.154,0
2022-10-24,CALL,10:40:00,27.09,Long-Long-Green-Green,2.1226,26.51,28.83,15:55:00,27.665,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,2.1226,1
2022-10-25,CALL,09:50:00,27.935,Long-Long-Green-Green,1.7183,27.355,29.675,15:55:00,28.415,Bottom-Long-Green-Red,1,0.0,None,0.0,Bottom-Long-Green-Red,0,-1,1.7183,1
2022-10-26,PUT,12:35:00,28.64,Long-Long-Red-Red,1.9902,28.83,28.07,13:00:00,28.070000000000007,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,1.9902,1
2022-10-27,C-CALL,10:25:00,28.2,Long-Long-Green-Green,-0.67376,28.01,28.77,10:45:00,28.01,Long-Upper-Red-Red,0,28.06,11:10:00,28.33,Long-Long-Green-Green,0.96222,1,0.28846,1
2022-11-01,P-PUT,10:00:00,30.2,Bottom-Long-Green-Red,-2.5497,30.97,27.89,10:40:00,30.97,Long-Bottom-Green-Red,0,30.7815,11:20:00,30.126300000000004,Long-Long-Green-Red,2.1286,1,-0.42112,0
2022-11-02,PUT,10:00:00,29.8,Long-Long-Green-Red,3.4228,30.14,28.78,15:55:00,28.78,Long-Upper-Red-Red,1,0.0,None,0.0,Long-Upper-Red-Red,0,-1,3.4228,1
2022-11-03,P-CALL,09:50:00,28.045,Long-Long-Red-Red,-2.1569,28.65,26.23,10:45:00,28.6499,Long-Long-Green-Green,0,28.82,15:55:00,28.675,Long-Long-Red-Red,2.2464,1,0.089499,1
2022-11-04,C-PUT,10:00:00,29.28,Long-Long-Green-Green,-1.2637,28.91,30.39,11:35:00,28.91,Long-Long-Red-Red,0,28.909,13:05:00,28.186,Bottom-Upper-Red-Red,2.501,1,1.2373,1
2022-11-07,C-PUT,10:05:00,28.198,Long-Long-Green-Green,-1.5178,27.77,29.482,11:45:00,27.77,Long-Long-Red-Red,0,27.71,12:10:00,27.96,Upper-Long-Red-Green,-0.9022,0,-2.42,0
2022-11-08,PUT,13:25:00,27.665,Long-Long-Red-Red,0.93982,27.988,26.697,15:55:00,27.405,Long-Bottom-Green-Red,1,0.0,None,0.0,Long-Bottom-Green-Red,0,-1,0.93982,1
2022-11-09,PUT,09:55:00,27.525,Bottom-Long-Green-Red,3.7602,28.005,26.085,15:55:00,26.49,Long-Bottom-Red-Green,1,0.0,None,0.0,Long-Bottom-Red-Green,0,-1,3.7602,1
2022-11-10,P-PUT,10:35:00,28.6919,Long-Long-Red-Red,-0.82985,28.93,27.978,10:55:00,28.93,Long-Bottom-Green-Red,0,28.845,11:05:00,28.98,Long-Long-Green-Red,-0.46802,0,-1.2979,0
