Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,CALL,13:25:00,498.62305245,Long-Long-Red-Green,0.7121,497.44,502.17,14:30:00,502.1737563,Upper-Long-Green-Green,1,0.0,None,0.0,Upper-Long-Green-Green,0,-1,0.7121,1
2022-10-04,P-CALL,10:40:00,507.242349516,Bottom-Long-Green-Red,-0.30858,508.81,502.55,11:00:00,508.8075816,Upper-Long-Red-Green,0,508.57866105,12:55:00,506.4209631,Long-Bottom-Red-Green,-0.42426,0,-0.73284,0
2022-10-05,CALL,12:20:00,510.39054285,Long-Long-Green-Green,0.45997,508.51,516.05,15:55:00,512.73819615,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,0.45997,1
2022-10-06,PUT,10:00:00,511.7689368,Long-Long-Green-Red,0.92508,514.9,502.37,15:55:00,507.034665,Bottom-Long-Green-Green,1,0.0,None,0.0,Bottom-Long-Green-Green,0,-1,0.92508,1
2022-10-07,C-PUT,09:55:00,498.3356841,Upper-Long-Green-Green,-0.47696,495.96,505.47,11:00:00,495.9588069,Long-Long-Red-Red,0,495.2671746,15:55:00,491.4680676,Upper-Bottom-Red-Green,1.3781,1,0.90115,1
2022-10-10,P-PUT,12:00:00,485.2628595,Long-Long-Green-Red,-0.21279,486.3,482.17,12:10:00,486.2954373,Long-Bottom-Green-Red,0,486.0811287,12:20:00,486.5487111,Long-Long-Red-Green,-0.096194,0,-0.30898,0
2022-10-11,C-PUT,10:00:00,485.0290683,Upper-Long-Red-Green,-0.24904,483.82,488.65,10:15:00,483.8211471,Long-Long-Red-Red,0,483.9964905,10:35:00,485.019327,Long-Long-Green-Green,-0.21133,0,-0.46037,0
2022-10-12,PUT,11:55:00,492.0038391,Long-Long-Red-Red,0.9266,493.52,487.44,15:55:00,487.44491070000004,Upper-Long-Red-Red,1,0.0,None,0.0,Upper-Long-Red-Red,0,-1,0.9266,1
2022-10-13,CALL,10:35:00,479.4960099,Upper-Long-Green-Green,1.0361,477.84,484.46,11:20:00,484.4640729,Upper-Long-Red-Green,1,0.0,None,0.0,Upper-Long-Red-Green,0,-1,1.0361,1
2022-10-14,PUT,10:10:00,511.7007477,Long-Bottom-Red-Red,2.3644,515.73,499.6,15:15:00,499.6020530999999,Long-Upper-Red-Red,1,0.0,None,0.0,Long-Upper-Red-Red,0,-1,2.3644,1
2022-10-17,PUT,10:20:00,507.1223367,Bottom-Long-Green-Red,0.88169,508.61,502.65,11:15:00,502.65108,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,0.88169,1
2022-10-17,PUT,16:00:00,508.3789644,Bottom-Long-Red-Red,0.21269,508.15,509.05,None,507.2976801,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,0.21269,1
2022-10-19,PUT,11:00:00,506.92264005,Long-Long-Red-Red,1.006,508.62,501.82,12:10:00,501.8230695,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,1.006,1
2022-10-20,C-PUT,13:00:00,512.1196236,Upper-Long-Green-Green,-0.21494,511.02,515.42,13:10:00,511.0188567,Long-Long-Red-Red,0,510.3954135,15:55:00,508.203621,Bottom-Long-Green-Green,0.76467,1,0.54972,1
2022-10-24,PUT,10:05:00,527.0140713,Bottom-Long-Red-Red,-0.060997,531.35,514.01,15:55:00,527.3355342,Bottom-Long-Red-Red,0,0.0,None,0.0,Bottom-Long-Red-Red,0,-1,-0.060997,0
2022-10-25,CALL,09:55:00,523.8189249,Long-Long-Red-Green,0.44539,520.09,535.01,15:55:00,526.15196625,Bottom-Long-Green-Red,1,0.0,None,0.0,Bottom-Long-Green-Red,0,-1,0.44539,1
2022-10-26,PUT,13:50:00,530.31150135,Long-Long-Red-Red,0.15981,532.02,525.18,15:55:00,529.46400825,Long-Upper-Red-Green,1,0.0,None,0.0,Long-Upper-Red-Green,0,-1,0.15981,1
2022-10-27,PUT,10:45:00,529.4493963,Bottom-Long-Green-Red,0.58509,530.48,526.35,11:45:00,526.3516629,Bottom-Upper-Red-Red,1,0.0,None,0.0,Bottom-Upper-Red-Red,0,-1,0.58509,1
2022-10-28,P-CALL,12:05:00,534.3492702,Bottom-Long-Red-Red,-0.35549,536.25,528.65,12:20:00,536.2488237,Long-Long-Green-Green,0,536.3072715,15:55:00,536.9696799,Long-Bottom-Red-Green,0.49039,1,0.1349,1
2022-11-01,C-PUT,14:05:00,533.5212597,Upper-Long-Green-Green,-0.16615,532.63,536.18,14:25:00,532.6348014,Long-Long-Red-Red,0,531.8847213,14:40:00,533.4725532,Bottom-Long-Green-Green,-0.29853,0,-0.46468,0
2022-11-02,P-CALL,09:50:00,529.658054946,Bottom-Long-Red-Red,-0.4627,532.11,522.31,09:55:00,532.1087712,Long-Long-Red-Green,0,532.3717863,15:55:00,529.6052571,Long-Long-Red-Red,-0.0099683,0,-0.47267,0
2022-11-03,P-PUT,10:00:00,528.4460424,Long-Long-Green-Red,-0.46269,530.89,521.11,10:25:00,530.8911087,Upper-Bottom-Green-Red,0,530.52580995,11:50:00,532.0113582,Long-Bottom-Green-Green,-0.28001,0,-0.7427,0
2022-11-04,C-PUT,10:05:00,529.6637049,Long-Long-Green-Green,-0.66025,526.17,540.16,11:40:00,526.1665782,Bottom-Long-Green-Red,0,525.4652046,12:55:00,519.6204246,Long-Upper-Red-Red,1.1123,1,0.45205,1
2022-11-08,CALL,09:50:00,530.80830765,Long-Long-Green-Green,1.5167,528.12,538.86,12:00:00,538.8591998609998,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,1.5167,1
2022-11-09,C-PUT,10:20:00,538.26040215,Upper-Long-Red-Green,-0.14931,537.46,540.67,10:25:00,537.4567449,Long-Long-Green-Red,0,537.7879491,10:35:00,535.7715000000001,Long-Long-Red-Red,0.37495,1,0.22565,1
2022-11-10,C-PUT,09:50:00,527.32092225,Upper-Long-Green-Green,-0.95414,522.29,542.42,12:50:00,522.2895408,Long-Long-Red-Red,0,520.7114502,13:20:00,523.4682381,Upper-Long-Green-Green,-0.52943,0,-1.4836,0
2022-11-14,PUT,09:50:00,510.921346287,Long-Long-Red-Red,1.613,515.3,497.8,15:55:00,502.6803039,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,1.613,1
2022-11-15,PUT,09:50:00,500.1767898,Long-Bottom-Red-Red,1.7993,503.18,491.18,13:10:00,491.176997556,Long-Long-Green-Red,1,0.0,None,0.0,Long-Long-Green-Red,0,-1,1.7993,1
2022-11-16,P-CALL,09:50:00,496.26565785,Long-Long-Green-Red,-0.48188,498.66,489.09,10:45:00,498.657049587,Long-Long-Green-Green,0,499.9527399,13:35:00,497.5953453,Bottom-Long-Green-Red,-0.47152,0,-0.9534,0
2022-11-17,C-PUT,14:05:00,508.1354319,Long-Long-Green-Green,-0.31248,506.55,512.9,14:20:00,506.5476,Bottom-Long-Green-Red,0,506.7326847,15:45:00,503.9856381,Long-Long-Red-Red,0.54211,1,0.22963,1
2022-11-18,P-CALL,09:50:00,507.392657775,Long-Long-Red-Red,-0.71851,511.04,496.46,10:15:00,511.0383393,Long-Long-Green-Green,0,511.0188567,11:30:00,515.1686505,Long-Long-Green-Green,0.81206,1,0.09355,1
2022-11-21,C-CALL,10:05:00,513.8243511,Long-Long-Green-Green,-0.47965,511.36,521.22,10:30:00,511.3598022,Long-Upper-Red-Red,0,511.6228173,10:40:00,511.1942001,Bottom-Long-Green-Red,-0.083776,0,-0.56342,0
2022-11-22,CALL,10:10:00,509.1972336,Upper-Long-Red-Green,0.021044,506.83,516.3,15:55:00,509.3043879,Long-Upper-Red-Green,1,0.0,None,0.0,Long-Upper-Red-Green,0,-1,0.021044,1
2022-11-23,PUT,10:10:00,512.2072953,Bottom-Bottom-Green-Red,0.45644,512.99,509.87,12:00:00,509.8693833000003,Long-Bottom-Red-Red,1,0.0,None,0.0,Long-Bottom-Red-Red,0,-1,0.45644,1
2022-11-28,C-CALL,10:30:00,522.2797995,Long-Long-Red-Green,-0.24433,521,526.11,11:00:00,521.0036892,Bottom-Upper-Green-Green,0,521.33976405,12:05:00,520.7504154,Long-Upper-Red-Red,-0.11305,0,-0.35738,0
2022-11-29,CALL,13:40:00,513.2983209,Long-Long-Green-Green,0.091094,511.77,517.89,15:55:00,513.7659033,Upper-Long-Green-Red,1,0.0,None,0.0,Upper-Long-Green-Red,0,-1,0.091094,1
2022-12-02,CALL,09:55:00,523.893611,Long-Long-Green-Green,-0.052224,522.06,529.4,15:55:00,523.6200118,Long-Upper-Red-Red,0,0.0,None,0.0,Long-Upper-Red-Red,0,-1,-0.052224,0
2022-12-06,PUT,10:05:00,525.5498633,Long-Long-Red-Red,-0.40811,528.23,517.5,15:55:00,527.6946856,Long-Upper-Green-Green,0,0.0,None,0.0,Long-Upper-Green-Green,0,-1,-0.40811,0
2022-12-07,P-PUT,11:25:00,530.9632189,Long-Long-Green-Red,-0.17023,531.87,528.25,11:50:00,531.8670734,Long-Bottom-Green-Red,0,531.3785034,12:00:00,532.1211298,Long-Long-Red-Green,-0.13975,0,-0.30998,0
2022-12-08,PUT,14:05:00,535.6876908,Long-Long-Red-Red,0.12951,537.71,529.62,15:55:00,534.9939214,Long-Long-Green-Green,1,0.0,None,0.0,Long-Long-Green-Green,0,-1,0.12951,1
2022-12-12,P-CALL,09:50:00,529.6294228,Bottom-Long-Green-Red,-0.36253,531.55,523.87,10:45:00,531.5495029,Long-Long-Red-Green,0,531.4762174,11:25:00,530.049593,Long-Bottom-Red-Red,-0.26843,0,-0.63096,0
2022-12-13,C-CALL,13:20:00,526.8934308,Long-Long-Green-Green,-0.37091,524.94,532.76,15:05:00,524.9391508,Upper-Long-Green-Red,0,524.3040098,15:10:00,524.5092092000002,Long-Long-Red-Green,0.039137,1,-0.33177,0
2022-12-14,C-PUT,09:50:00,528.0659988,Long-Long-Green-Green,-0.4478,525.7,535.16,14:05:00,525.70132,Bottom-Long-Red-Red,0,524.9293794,15:55:00,525.7306342,Upper-Long-Red-Green,0.44225,1,-0.0055512,0
2022-12-15,PUT,09:50:00,518.568198,Long-Long-Red-Red,0.69719,521.41,510.05,15:55:00,514.95278,Bottom-Bottom-Red-Green,1,0.0,None,0.0,Bottom-Bottom-Red-Green,0,-1,0.69719,1
2022-12-16,P-CALL,09:50:00,509.16566835,Long-Long-Red-Red,-0.65297,512.49,499.19,15:30:00,512.4903872,Long-Upper-Green-Green,0,512.4024446,15:50:00,511.121511774,Bottom-Upper-Red-Red,-0.24999,0,-0.90296,0
2022-12-19,CALL,09:55:00,511.728120286,Long-Long-Red-Green,-0.039125,509.02,519.85,15:55:00,511.5279043,Bottom-Long-Green-Green,0,0.0,None,0.0,Bottom-Long-Green-Green,0,-1,-0.039125,0
2022-12-20,P-PUT,10:10:00,512.2851878,Bottom-Bottom-Green-Red,-0.13733,512.99,510.17,10:25:00,512.9887286,Upper-Bottom-Red-Green,0,512.2851878,11:20:00,509.58857454200006,Long-Long-Red-Red,0.52639,1,0.38906,1
2022-12-21,CALL,10:05:00,509.1583398,Long-Long-Green-Green,0.90583,506.26,517.86,15:55:00,513.7704406,Upper-Long-Red-Red,1,0.0,None,0.0,Upper-Long-Red-Red,0,-1,0.90583,1
2022-12-22,C-PUT,09:55:00,515.4462357,Upper-Long-Green-Green,-0.52985,512.72,523.64,12:10:00,512.7151294,Long-Long-Red-Red,0,512.6369582,15:00:00,514.03817696,Long-Long-Green-Green,-0.27334,0,-0.80319,0
2022-12-27,P-CALL,12:45:00,521.2748758,Bottom-Long-Green-Red,-0.14434,522.03,519.02,12:55:00,522.0272736,Long-Long-Green-Green,0,522.3497298,13:55:00,521.0208194,Long-Upper-Red-Red,-0.25441,0,-0.39875,0
2022-12-28,PUT,11:05:00,523.0288421,Long-Long-Red-Red,1.2863,525.27,516.3,15:45:00,516.3012332000001,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,1.2863,1
2022-12-29,PUT,10:20:00,519.4573954,Bottom-Bottom-Green-Red,0.31884,520.36,516.76,15:55:00,517.8011431,Long-Upper-Green-Green,1,0.0,None,0.0,Long-Upper-Green-Green,0,-1,0.31884,1
2023-01-05,PUT,10:35:00,482.2576756,Bottom-Long-Green-Red,0.72942,483.43,478.74,15:55:00,478.73997160000016,Bottom-Long-Red-Red,1,0.0,None,0.0,Bottom-Long-Red-Red,0,-1,0.72942,1
