Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,P-CALL,10:35:00,84.514024,Long-Long-Red-Red,-0.54222,84.972,83.139,10:55:00,84.972272,Long-Long-Green-Green,0,85.05064176,15:55:00,85.930852,Upper-Long-Red-Red,1.6764,1,1.1342,1
2022-10-05,P-CALL,10:05:00,90.742456,Bottom-Long-Red-Red,-1.5665,92.164,86.478,11:05:00,92.16396,Long-Long-Red-Green,0,92.107848,11:20:00,91.817936,Upper-Upper-Red-Red,-0.31475,0,-1.8813,0
2022-10-06,P-CALL,11:05:00,93.880052,Long-Long-Red-Red,-0.6226,94.465,92.127,12:15:00,94.464552,Long-Long-Green-Red,0,94.296216,12:30:00,94.520664,Long-Long-Green-Green,0.23802,1,-0.38458,0
2022-10-07,C-PUT,10:20:00,95.57744,Upper-Long-Green-Green,-1.0274,94.595,98.523,15:15:00,94.59548,Long-Long-Red-Red,0,94.52047696,15:55:00,94.40844,Long-Long-Red-Green,1.2231,1,0.19569,1
2022-10-10,PUT,14:05:00,93.3928128,Long-Long-Red-Red,0.79909,93.642,92.647,14:45:00,92.6465232,Long-Bottom-Red-Red,1,0.0,None,0.0,Long-Bottom-Red-Red,0,-1,0.79909,1
2022-10-11,C-PUT,10:25:00,91.032368,Long-Long-Red-Green,-0.19519,90.855,91.565,10:35:00,90.85468,Bottom-Long-Red-Green,0,91.303576,10:40:00,91.69636000000004,Long-Long-Green-Green,-0.4302,1,-0.62539,0
2022-10-12,P-PUT,09:50:00,91.3610908,Bottom-Bottom-Green-Red,-0.55123,91.865,89.85,11:10:00,91.864696,Bottom-Long-Red-Green,0,91.93016,11:15:00,91.92791552,Long-Upper-Green-Red,0.0024415,1,-0.54878,0
2022-10-14,PUT,09:50:00,94.436496,Long-Long-Red-Red,1.426,95.596,90.958,15:55:00,93.089808,Upper-Bottom-Red-Green,1,0.0,None,0.0,Upper-Bottom-Red-Green,0,-1,1.426,1
2022-10-17,PUT,10:40:00,94.801224,Bottom-Bottom-Red-Red,0.42419,95.208,93.581,15:55:00,94.399088,Long-Upper-Red-Red,1,0.0,None,0.0,Long-Upper-Red-Red,0,-1,0.42419,1
2022-10-18,C-PUT,13:10:00,94.20400528,Long-Long-Red-Green,-0.23965,93.978,94.881,14:40:00,93.978248,Bottom-Long-Red-Red,0,93.959544,15:45:00,94.249456,Upper-Bottom-Red-Green,-0.30855,0,-0.5482,0
2022-10-19,CALL,10:10:00,96.297544,Upper-Long-Red-Green,0.53414,95.736,97.981,15:55:00,96.811904,Upper-Bottom-Red-Green,1,0.0,None,0.0,Upper-Bottom-Red-Green,0,-1,0.53414,1
2022-10-24,P-PUT,10:20:00,99.78584,Long-Long-Green-Red,-0.31865,100.1,98.832,10:40:00,100.103808,Long-Bottom-Green-Red,0,100.010288,11:20:00,99.39305600000002,Long-Long-Green-Red,0.61717,1,0.29852,1
2022-10-25,PUT,10:40:00,99.813896,Long-Long-Red-Red,1.4335,100.29,98.383,14:55:00,98.38304000000001,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,1.4335,1
2022-10-27,C-PUT,11:25:00,101.74976,Long-Long-Red-Green,-0.2114,101.53,102.4,11:40:00,101.534664,Long-Long-Red-Red,0,101.319568,13:00:00,101.74976,Long-Long-Green-Green,-0.42459,0,-0.63599,0
2022-10-28,C-PUT,09:50:00,103.218024,Long-Long-Red-Green,-1.4769,101.69,107.79,10:40:00,101.693648,Long-Long-Red-Red,0,101.2671968,12:15:00,102.853296,Long-Long-Red-Green,-1.5663,0,-3.0431,0
2022-11-01,C-CALL,10:25:00,104.46184,Long-Long-Green-Green,-0.38496,104.06,105.67,10:40:00,104.059704,Upper-Long-Red-Red,0,104.022296,10:45:00,104.022296,Long-Long-Red-Red,0,1,-0.38496,0
2022-11-02,C-PUT,10:50:00,103.405064,Long-Long-Green-Green,-0.49742,102.89,104.95,14:55:00,102.890704,Long-Long-Red-Red,0,102.946816,15:55:00,102.320232,Upper-Long-Red-Red,1.0491,1,0.55169,1
2022-11-04,C-CALL,10:10:00,105.56247688,Upper-Long-Green-Green,-0.53767,104.99,107.27,11:20:00,104.994904,Upper-Long-Red-Red,0,105.02296,11:25:00,104.9762,Long-Long-Red-Green,-0.044524,0,-0.58219,0
2022-11-07,P-CALL,09:55:00,105.30352,Long-Long-Red-Red,-0.67052,106.01,103.19,10:10:00,106.009596,Long-Upper-Green-Green,0,105.976864,15:55:00,106.379,Long-Long-Green-Green,1.0213,1,0.3508,1
2022-11-08,CALL,10:05:00,105.715008,Upper-Long-Green-Green,1.181,105.3,106.96,15:25:00,106.96349999999998,Long-Bottom-Green-Green,1,0.0,None,0.0,Long-Bottom-Green-Green,0,-1,1.181,1
2022-11-09,C-PUT,10:05:00,105.013608,Upper-Long-Red-Green,-0.68127,104.3,107.16,10:40:00,104.29818,Bottom-Long-Green-Red,0,104.106464,15:55:00,101.60274656,Long-Bottom-Red-Red,3.248,1,2.5667,1
2022-11-10,P-CALL,12:05:00,102.479216,Long-Long-Green-Red,-0.49279,102.98,100.96,15:15:00,102.984224,Long-Upper-Green-Red,0,102.937464,15:40:00,102.853296,Long-Upper-Red-Green,-0.081766,0,-0.57456,0
2022-11-11,CALL,10:05:00,106.154552,Upper-Long-Green-Green,0.44049,105.29,108.74,15:55:00,106.622152,Long-Bottom-Red-Red,1,0.0,None,0.0,Long-Bottom-Red-Red,0,-1,0.44049,1
2022-11-14,P-PUT,12:55:00,107.2072556,Long-Long-Red-Red,-0.34295,107.57,106.1,13:20:00,107.5749203,Long-Bottom-Green-Red,0,107.473388279,13:30:00,107.5843476,Bottom-Long-Red-Green,-0.10324,0,-0.44619,0
2022-11-15,C-PUT,09:55:00,107.2261102,Long-Long-Green-Green,-0.62423,106.56,109.23,12:20:00,106.5567719,Bottom-Long-Red-Red,0,106.42950335,12:55:00,106.717036,Upper-Long-Green-Green,-0.27016,0,-0.89439,0
2022-11-16,P-CALL,09:50:00,107.1601191,Bottom-Bottom-Red-Red,-0.43107,107.62,105.77,10:30:00,107.6220568,Long-Long-Green-Red,0,107.3675197,11:00:00,107.2449648,Long-Upper-Red-Red,-0.11415,0,-0.54522,0
2022-11-17,P-CALL,10:00:00,104.6901665,Bottom-Long-Red-Red,-0.32895,105.03,103.66,10:05:00,105.034545769,Long-Long-Red-Green,0,104.99561102,15:45:00,106.08163598,Long-Long-Green-Green,1.0344,1,0.7054,1
2022-11-21,CALL,12:05:00,103.6531635,Long-Long-Red-Green,0.84584,101.65,109.68,15:55:00,104.5299024,Upper-Long-Green-Green,1,0.0,None,0.0,Upper-Long-Green-Green,0,-1,0.84584,1
2022-11-22,CALL,10:00:00,105.7365968,Upper-Long-Green-Green,1.3909,105.25,107.21,13:30:00,107.20725560000001,Upper-Bottom-Green-Green,1,0.0,None,0.0,Upper-Bottom-Green-Green,0,-1,1.3909,1
2022-11-23,PUT,09:50:00,106.8961547,Long-Bottom-Red-Red,-0.12788,107.39,105.43,15:55:00,107.03285055,Bottom-Bottom-Red-Green,0,0.0,None,0.0,Bottom-Bottom-Red-Green,0,-1,-0.12788,0
2022-11-28,CALL,09:55:00,103.9642644,Upper-Long-Red-Green,-0.55767,103.34,105.83,15:55:00,103.38448545,Long-Bottom-Red-Red,0,0.0,None,0.0,Long-Bottom-Red-Red,0,-1,-0.55767,0
2022-11-29,C-PUT,10:10:00,104.5864662,Upper-Long-Red-Green,-0.65801,103.9,106.65,11:30:00,103.8982733,Long-Long-Red-Red,0,103.8322822,14:05:00,104.4167748,Long-Long-Green-Green,-0.56292,0,-1.2209,0
2022-12-01,PUT,10:00:00,105.1238223,Bottom-Long-Red-Red,0.63671,105.61,103.65,15:55:00,104.454484,Long-Bottom-Red-Red,1,0.0,None,0.0,Long-Bottom-Red-Red,0,-1,0.63671,1
2022-12-07,C-CALL,10:00:00,98.3455936,Long-Long-Red-Green,-0.48888,97.865,99.788,11:05:00,97.8648013,Upper-Long-Green-Red,0,97.77524195,11:10:00,97.7705283,Long-Long-Red-Red,-0.0048209,0,-0.4937,0
2022-12-08,C-PUT,09:50:00,100.2593355,Long-Long-Red-Green,-0.51716,99.741,101.81,10:20:00,99.740834,Long-Long-Red-Red,0,99.6559883,15:10:00,97.8176648,Long-Upper-Red-Green,1.8447,1,1.3275,1
2022-12-12,P-CALL,12:35:00,98.9489408,Bottom-Long-Red-Red,-0.21437,99.161,98.313,12:45:00,99.16105505,Long-Long-Green-Red,0,99.0526411,13:30:00,98.9395135,Long-Upper-Red-Green,-0.11421,0,-0.32858,0
2022-12-13,C-CALL,11:30:00,101.6922851,Long-Long-Red-Green,-0.24094,101.45,102.43,11:55:00,101.447269573,Long-Upper-Red-Red,0,101.3906115,12:00:00,101.2397747,Upper-Upper-Red-Green,-0.14877,0,-0.38971,0
2022-12-14,PUT,09:50:00,101.5225937,Bottom-Long-Green-Red,1.6993,102.1,99.797,10:40:00,99.79739780000003,Upper-Long-Red-Red,1,0.0,None,0.0,Upper-Long-Red-Red,0,-1,1.6993,1
2022-12-15,C-PUT,10:45:00,99.4485877,Long-Long-Green-Green,-0.50175,98.95,100.95,11:00:00,98.949600711,Long-Long-Red-Green,0,99.1374868,11:05:00,99.18933695,Long-Bottom-Green-Green,-0.052301,0,-0.55405,0
2022-12-16,CALL,10:45:00,98.0156381,Upper-Long-Green-Green,1.3658,97.497,99.571,15:55:00,99.3543147,Bottom-Upper-Green-Red,1,0.0,None,0.0,Bottom-Upper-Green-Red,0,-1,1.3658,1
2022-12-19,C-PUT,10:05:00,99.7314067,Long-Long-Green-Green,-0.57661,99.156,101.46,10:40:00,99.1563414,Long-Long-Red-Red,0,99.0337865,11:25:00,99.50043785,Upper-Long-Green-Green,-0.4712,0,-1.0478,0
2022-12-20,P-CALL,12:30:00,100.3536085,Bottom-Long-Red-Red,-0.24425,100.6,99.618,13:00:00,100.5987183,Upper-Long-Red-Green,0,100.63171385,13:55:00,101.35290229999998,Long-Bottom-Red-Green,0.71666,1,0.47242,1
2022-12-21,C-CALL,11:45:00,101.823890208,Long-Long-Red-Green,-0.12462,101.7,102.2,12:05:00,101.69699875,Upper-Upper-Green-Red,0,101.7299943,13:55:00,102.0693771,Long-Long-Green-Green,0.33361,1,0.20899,1
2022-12-23,P-CALL,14:25:00,101.8336946,Long-Long-Green-Red,-0.12035,101.96,101.47,14:30:00,101.9562495,Long-Long-Red-Green,0,101.9562495,15:55:00,102.25320945,Bottom-Upper-Green-Red,0.41196,1,0.29161,1
2022-12-27,P-CALL,09:50:00,102.9178341,Long-Long-Green-Red,-0.60914,103.54,101.04,10:25:00,103.54474955,Long-Long-Green-Green,0,103.606027,10:55:00,103.1817985,Upper-Long-Red-Red,-0.40946,0,-1.0186,0
2022-12-28,PUT,09:55:00,103.1063801,Long-Long-Green-Red,1.1521,103.5,101.92,10:25:00,101.91854029999999,Long-Upper-Red-Green,1,0.0,None,0.0,Long-Upper-Red-Green,0,-1,1.1521,1
2022-12-29,CALL,10:00:00,102.663297,Upper-Long-Red-Green,0.3719,102.26,103.88,15:55:00,103.04510265,Upper-Bottom-Red-Red,1,0.0,None,0.0,Upper-Bottom-Red-Red,0,-1,0.3719,1
2023-01-03,PUT,09:50:00,102.8895522,Bottom-Long-Green-Red,2.4189,103.72,100.4,13:30:00,100.400745,Long-Bottom-Red-Red,1,0.0,None,0.0,Long-Bottom-Red-Red,0,-1,2.4189,1
2023-01-04,P-PUT,09:50:00,99.269469,Long-Long-Red-Red,-0.8547,100.12,96.724,10:05:00,100.117926,Long-Bottom-Green-Green,0,100.1084987,12:00:00,100.9098192,Long-Long-Green-Green,-0.80045,0,-1.6552,0
2023-01-06,P-CALL,09:50:00,104.1622377,Bottom-Long-Green-Red,-0.68785,104.88,102.01,10:10:00,104.8787125,Long-Long-Green-Green,0,105.05877393,13:05:00,104.3790656,Long-Long-Red-Red,-0.64698,0,-1.3348,0
2023-01-09,PUT,09:50:00,104.64774365,Long-Long-Green-Red,1.1435,105.05,103.45,12:10:00,103.45113646099998,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,1.1435,1
2023-01-10,CALL,12:25:00,102.75757,Long-Long-Red-Green,0.49541,102.59,103.27,14:15:00,103.26664420000002,Upper-Long-Green-Green,1,0.0,None,0.0,Upper-Long-Green-Green,0,-1,0.49541,1
