Date,Type,BUY Time,BUY Price,BUY Pattern,Earning(%),SL Price,TP Price,SELL Time,SELL Price,SELL Pattern,Chance,BUY2 Time,2nd Time,2nd Price,2nd Pattern,2nd Earning(%),2nd Chance,Total Earning(%),Final Chance
2022-10-03,P-PUT,09:55:00,167.8103,Long-Long-Green-Red,-1.3227,170.03,161.15,14:30:00,170.03,Bottom-Long-Green-Green,0,170.4,14:35:00,170.4,Long-Long-Green-Green,-0,1,-1.3227,0
2022-10-04,PUT,14:30:00,176.01,Bottom-Long-Green-Red,0.21022,177,173.04,15:55:00,175.64,Long-Long-Red-Green,1,0.0,None,0.0,Long-Long-Red-Green,0,-1,0.21022,1
2022-10-05,C-PUT,09:50:00,174.325,Long-Long-Red-Green,-0.86333,172.82,178.84,10:25:00,172.82,Long-Long-Red-Red,0,172.215,11:25:00,174.36,Upper-Long-Green-Green,-1.2455,0,-2.1089,0
2022-10-06,PUT,10:05:00,182.41,Long-Long-Red-Red,-0.29604,185.5,173.13,15:55:00,182.95,Bottom-Long-Red-Green,0,0.0,None,0.0,Bottom-Long-Red-Green,0,-1,-0.29604,0
2022-10-07,C-PUT,10:50:00,177.1475,Long-Long-Green-Green,-0.87921,175.59,181.82,11:15:00,175.59,Bottom-Long-Green-Red,0,175.39,12:30:00,173.70999999999998,Long-Long-Red-Red,0.95787,1,0.078655,1
2022-10-11,P-CALL,12:10:00,147.8263,Long-Long-Red-Red,-0.76015,148.95,144.46,12:20:00,148.95,Long-Long-Green-Green,0,149.46,14:50:00,147.86,Bottom-Long-Green-Red,-1.0705,0,-1.8307,0
2022-10-12,P-CALL,12:30:00,145.55,Long-Long-Red-Red,-0.46032,146.22,143.54,12:55:00,146.22,Long-Long-Green-Green,0,146.36,15:30:00,148.25000000000009,Upper-Bottom-Green-Green,1.2913,1,0.83101,1
2022-10-13,CALL,09:50:00,140.99,Long-Long-Green-Green,3.2343,136.99,152.99,15:55:00,145.5501,Long-Upper-Green-Red,1,0.0,None,0.0,Long-Upper-Green-Red,0,-1,3.2343,1
2022-10-17,CALL,09:50:00,140.57,Long-Long-Red-Green,2.8169,139.25,144.53,10:45:00,144.52969999999996,Long-Bottom-Green-Green,1,0.0,None,0.0,Long-Bottom-Green-Green,0,-1,2.8169,1
2022-10-18,P-CALL,09:55:00,149.835,Long-Long-Green-Red,-1.188,151.62,144.5,10:15:00,151.615,Long-Long-Green-Green,0,151.775,10:30:00,150.01,Long-Long-Red-Red,-1.1629,0,-2.3509,0
2022-10-19,C-PUT,09:55:00,148.785,Upper-Long-Green-Green,-1.5425,146.49,155.67,13:05:00,146.49,Long-Long-Red-Red,0,146.175,14:05:00,147.65,Upper-Upper-Red-Green,-1.0091,0,-2.5516,0
2022-10-20,P-PUT,09:50:00,149.895,Long-Bottom-Green-Red,-0.68955,150.93,146.79,09:55:00,150.9286,Bottom-Long-Red-Green,0,150.95,10:05:00,151.25,Upper-Long-Green-Green,-0.19874,0,-0.88829,0
2022-10-21,CALL,11:30:00,146.29,Long-Long-Green-Green,3.0898,144.2,152.55,15:55:00,150.81,Bottom-Upper-Green-Green,1,0.0,None,0.0,Bottom-Upper-Green-Green,0,-1,3.0898,1
2022-10-24,P-CALL,10:05:00,145.43,Bottom-Long-Red-Red,-2.221,148.66,135.74,12:20:00,148.66,Long-Long-Green-Green,0,149.19,12:40:00,148.125,Long-Bottom-Red-Red,-0.71385,0,-2.9349,0
2022-10-25,P-CALL,11:00:00,155.23,Bottom-Long-Green-Red,-0.63132,156.21,152.29,11:10:00,156.21,Long-Long-Green-Green,0,156.32,13:20:00,154.935,Long-Upper-Red-Green,-0.886,0,-1.5173,0
2022-10-26,PUT,12:45:00,155.77,Bottom-Long-Red-Red,1.8296,156.72,152.92,13:05:00,152.92000000000004,Long-Long-Red-Red,1,0.0,None,0.0,Long-Long-Red-Red,0,-1,1.8296,1
2022-10-27,PUT,09:50:00,154.4575,Long-Long-Green-Red,0.43216,156.61,148,15:55:00,153.79,Upper-Long-Green-Red,1,0.0,None,0.0,Upper-Long-Green-Red,0,-1,0.43216,1
2022-10-28,PUT,09:50:00,152.645,Long-Long-Green-Red,-1.0908,154.92,145.82,15:55:00,154.31,Upper-Long-Green-Red,0,0.0,None,0.0,Upper-Long-Green-Red,0,-1,-1.0908,0
2022-11-02,C-PUT,09:50:00,148.36,Long-Long-Red-Green,-0.90321,147.02,152.38,10:00:00,147.02,Long-Long-Green-Red,0,147.4639,12:25:00,143.06559999999996,Upper-Long-Red-Red,2.9826,1,2.0794,1
2022-11-03,C-CALL,10:45:00,132.79,Long-Long-Green-Green,-1.2875,131.08,137.92,11:25:00,131.0803,Long-Bottom-Red-Red,0,131.125,11:30:00,131.03,Bottom-Long-Red-Red,-0.07245,0,-1.36,0
2022-11-07,C-PUT,10:00:00,118.42,Long-Long-Green-Green,-1.9169,116.15,125.23,12:00:00,116.15,Long-Long-Red-Red,0,116.02,14:25:00,117.12,Long-Bottom-Green-Red,-0.94811,0,-2.865,0
2022-11-08,CALL,09:55:00,118.535,Upper-Long-Green-Green,1.3836,116.43,124.85,15:55:00,120.175,Bottom-Long-Green-Red,1,0.0,None,0.0,Bottom-Long-Green-Red,0,-1,1.3836,1
2022-11-09,P-CALL,09:50:00,116.95,Long-Bottom-Green-Red,-0.78735,117.87,114.19,11:45:00,117.8708,Long-Long-Green-Green,0,118.38,12:30:00,116.57,Bottom-Long-Green-Green,-1.529,0,-2.3163,0
